Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,223,255,242.711,8.923,5320,56,179,97.073,23.661,5320,56,179,97.073,23.661
G2,5320,74,255,229.369,39.937,5320,0,136,74.334,28.530,5320,0,136,74.334,28.530
G3,5320,136,255,234.270,27.442,5320,119,215,171.693,18.313,5320,119,230,174.562,21.487
G4,5320,223,255,247.998,7.229,5320,107,186,156.741,19.749,5320,107,186,156.741,19.749
G5,5320,99,255,224.032,32.417,5320,31,175,134.427,35.721,5320,31,175,134.427,35.721
G6,5320,28,198,132.386,39.708,5320,28,198,132.386,39.708,5320,67,250,202.507,38.498
G7,5320,100,255,209.361,38.428,5320,100,251,190.970,32.338,5320,128,255,201.994,30.422
G8,5320,205,255,241.490,14.591,5320,140,208,162.993,10.856,5320,140,208,162.993,10.856
G9,5320,240,255,254.578,1.602,5320,152,205,174.970,11.582,5320,152,205,174.970,11.582
G10,5320,29,255,179.131,68.869,5320,29,235,156.587,53.634,5320,44,235,166.694,44.868
G11,5320,33,221,171.653,40.271,5320,33,221,171.653,40.271,5320,73,255,229.251,36.658
G12,5320,142,255,230.252,23.500,5320,113,254,217.218,24.765,5320,113,255,230.095,30.033
G13,5320,124,255,224.945,30.249,5320,0,207,122.497,45.167,5320,0,207,122.497,45.167
G14,5320,74,255,207.835,42.798,5320,0,177,78.833,56.614,5320,0,177,78.833,56.614
G15,5320,129,255,206.087,25.802,5320,74,224,163.295,29.864,5320,74,224,163.295,29.864
G16,5320,125,255,225.519,30.146,5320,125,239,212.985,22.872,5320,129,240,213.953,21.800
G17,5320,124,255,217.939,30.631,5320,113,245,204.277,25.804,5320,113,255,211.046,28.474
G18,5320,49,255,175.722,55.583,5320,0,210,91.631,68.726,5320,0,210,91.631,68.726
G19,5320,45,251,157.582,42.722,5320,0,193,21.253,46.927,5320,0,193,21.253,46.927
G20,5320,116,255,227.754,32.527,5320,68,248,198.087,34.568,5320,68,248,198.087,34.568
G21,5320,152,255,208.501,34.813,5320,130,249,192.626,36.394,5320,130,249,192.626,36.394
G22,5320,90,255,205.785,24.982,5320,89,244,187.368,20.523,5320,90,244,187.373,20.505
G23,5320,111,255,229.605,26.171,5320,7,197,125.056,45.250,5320,7,197,125.056,45.250
G24,5320,77,254,203.397,38.432,5320,0,183,66.725,28.701,5320,0,183,66.725,28.701
G25,5320,162,255,222.895,28.092,5320,114,232,183.464,20.223,5320,114,232,183.464,20.223
G26,5320,94,255,213.317,32.550,5320,83,252,203.388,31.446,5320,83,253,203.893,31.956
G27,5320,84,255,205.901,39.128,5320,51,244,157.434,33.240,5320,51,254,158.204,34.881
G28,5320,101,255,183.480,37.832,5320,37,156,85.233,34.600,5320,37,156,85.233,34.600
G29,5320,123,255,227.401,25.010,5320,16,220,66.403,45.616,5320,16,220,66.403,45.616
G30,5320,180,255,231.498,20.623,5320,115,246,198.005,28.656,5320,115,255,200.761,32.597
G31,5320,38,239,168.115,30.953,5320,31,236,157.518,34.108,5320,31,252,158.292,35.643
G32,5320,34,232,167.585,48.123,5320,24,151,106.398,29.483,5320,24,151,106.398,29.483
G33,5320,94,252,161.673,34.160,5320,21,167,79.613,31.306,5320,21,167,79.613,31.306
G34,5320,63,255,181.995,58.214,5320,0,110,29.260,24.842,5320,0,110,29.260,24.842
G35,5320,51,253,149.280,59.941,5320,51,247,149.064,59.619,5320,201,255,246.761,12.934
G36,5320,44,253,154.596,65.837,5320,44,236,149.286,62.626,5320,57,255,214.010,38.589
G37,5320,163,255,230.689,24.654,5320,100,232,167.599,36.905,5320,100,238,168.183,37.792
G38,5320,170,255,247.061,14.584,5320,99,170,134.540,14.370,5320,99,170,134.540,14.370
G39,5320,27,255,186.653,56.671,5320,27,184,120.345,32.526,5320,41,184,122.476,29.599
G40,5320,44,206,88.046,26.399,5320,44,206,88.046,26.399,5320,89,255,206.299,21.906
G41,5320,59,255,183.047,55.020,5320,59,251,171.327,44.872,5320,139,255,201.476,26.851
G42,5320,63,255,212.602,38.943,5320,56,239,164.596,31.271,5320,56,241,164.755,31.549
G43,5320,0,223,47.006,45.807,5320,0,221,46.997,45.774,5320,100,255,227.600,30.982
G44,5320,30,243,165.468,34.833,5320,23,221,150.812,29.607,5320,23,254,176.849,41.651
G45,5320,30,255,119.749,61.820,5320,30,255,116.918,57.744,5320,38,255,140.344,54.980
G46,5320,126,243,174.985,24.553,5320,121,234,173.667,23.241,5320,121,255,234.191,21.183
