Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,224,255,244.547,8.127,5320,58,195,105.513,27.188,5320,58,195,105.513,27.188
G2,5320,84,255,222.499,39.773,5320,7,135,67.554,28.743,5320,7,135,67.554,28.743
G3,5320,136,255,230.840,32.733,5320,136,234,189.907,23.026,5320,136,234,195.752,21.190
G4,5320,171,255,227.278,22.228,5320,75,247,177.094,44.281,5320,75,253,179.115,45.741
G5,5320,119,255,226.771,23.588,5320,64,239,188.848,37.504,5320,64,255,193.474,42.255
G6,5320,21,185,117.966,35.578,5320,21,185,117.966,35.578,5320,61,250,207.405,40.121
G7,5320,76,255,189.909,38.851,5320,76,239,187.655,36.877,5320,112,255,219.265,31.117
G8,5320,160,255,207.204,20.623,5320,160,248,206.741,19.745,5320,190,255,234.260,17.778
G9,5320,169,234,207.038,11.316,5320,169,234,207.038,11.316,5320,212,255,246.777,10.458
G10,5320,113,209,146.441,20.283,5320,113,209,146.441,20.283,5320,134,255,214.994,37.816
G11,5320,35,175,130.594,29.245,5320,35,175,130.594,29.245,5320,80,255,224.052,37.623
G12,5320,97,246,188.935,28.918,5320,97,246,188.935,28.918,5320,127,255,238.944,24.699
G13,5320,123,255,212.795,29.115,5320,81,251,208.706,32.848,5320,81,255,217.605,37.926
G14,5320,31,252,179.603,44.375,5320,0,250,126.484,82.980,5320,0,255,131.867,89.393
G15,5320,113,242,198.033,24.909,5320,0,226,164.472,52.238,5320,0,255,188.453,68.051
G16,5320,63,225,132.011,33.118,5320,63,223,131.836,32.754,5320,110,247,203.917,25.972
G17,5320,97,239,179.541,36.991,5320,97,239,179.541,36.991,5320,121,255,223.713,31.692
G18,5320,43,253,173.089,55.650,5320,28,251,155.997,68.741,5320,28,255,158.698,71.768
G19,5320,43,242,158.365,41.047,5320,0,104,45.669,38.501,5320,0,104,45.669,38.501
G20,5320,57,255,193.788,39.885,5320,0,141,59.397,48.823,5320,0,141,59.397,48.823
G21,5320,84,218,135.933,28.463,5320,63,216,131.045,30.490,5320,63,255,177.620,46.334
G22,5320,58,205,98.212,29.907,5320,58,205,98.212,29.907,5320,169,255,233.061,18.577
G23,5320,64,255,212.904,59.221,5320,30,251,183.979,67.282,5320,30,253,184.118,67.407
G24,5320,23,221,142.579,38.769,5320,0,170,32.804,35.915,5320,0,170,33.630,37.822
G25,5320,35,255,157.955,56.253,5320,0,171,64.866,57.438,5320,0,188,70.489,62.641
G26,5320,88,216,173.371,29.770,5320,80,216,173.206,30.122,5320,80,255,217.597,39.983
G27,5320,84,254,215.146,29.627,5320,71,253,211.346,30.293,5320,71,255,228.240,29.978
G28,5320,93,251,181.622,37.228,5320,71,250,146.352,51.246,5320,71,253,148.647,53.658
G29,5320,32,239,187.433,37.200,5320,4,239,179.353,40.575,5320,4,255,198.020,45.264
G30,5320,94,235,181.669,35.258,5320,94,235,181.669,35.258,5320,120,255,212.225,34.991
G31,5320,35,215,141.190,48.022,5320,35,215,141.167,48.021,5320,41,255,169.529,56.858
G32,5320,36,249,180.127,46.551,5320,33,209,159.417,39.880,5320,33,246,163.710,42.619
G33,5320,87,242,165.347,30.539,5320,46,195,112.853,30.955,5320,46,195,112.853,30.955
G34,5320,41,255,181.609,55.550,5320,17,165,50.765,22.625,5320,17,255,51.217,25.006
G35,5320,2,234,86.751,75.231,5320,2,234,86.751,75.231,5320,89,255,210.157,33.901
G36,5320,0,210,113.918,73.529,5320,0,210,113.918,73.529,5320,80,255,224.212,28.194
G37,5320,125,255,209.516,31.568,5320,125,253,190.622,26.175,5320,128,254,205.024,24.442
G38,5320,146,255,245.698,14.895,5320,118,205,167.932,15.668,5320,118,205,167.932,15.668
G39,5320,37,255,187.955,55.373,5320,37,197,134.743,35.705,5320,44,197,137.977,32.623
G40,5320,0,130,27.750,24.784,5320,0,130,27.750,24.784,5320,81,255,186.662,36.041
G41,5320,12,255,137.755,70.185,5320,12,251,135.443,66.816,5320,119,255,206.963,32.868
G42,5320,56,255,206.357,38.854,5320,56,241,176.386,31.750,5320,58,245,179.275,32.932
G43,5320,0,185,12.992,31.996,5320,0,185,12.992,31.996,5320,96,255,229.780,30.149
G44,5320,3,249,140.888,48.584,5320,3,205,133.003,40.273,5320,36,248,176.706,31.151
G45,5320,16,255,109.195,65.623,5320,16,255,107.217,62.248,5320,34,255,143.628,56.251
G46,5320,123,244,160.520,27.530,5320,123,232,159.844,26.504,5320,128,255,235.909,20.796
