Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,214,255,244.103,8.470,5320,47,163,88.807,19.745,5320,47,163,88.807,19.745
G2,5320,60,255,215.480,47.702,5320,23,121,72.363,15.660,5320,23,121,72.363,15.660
G3,5320,143,255,233.894,25.689,5320,107,219,150.996,22.862,5320,107,224,152.505,25.520
G4,5320,164,255,227.472,25.249,5320,31,138,96.700,23.153,5320,31,138,96.700,23.153
G5,5320,42,255,213.811,40.213,5320,6,163,58.954,29.177,5320,6,163,58.954,29.177
G6,5320,34,212,144.351,41.214,5320,34,212,144.351,41.214,5320,65,254,203.183,39.370
G7,5320,120,255,216.520,34.287,5320,97,233,170.173,33.351,5320,97,239,175.203,36.199
G8,5320,192,255,239.029,16.071,5320,0,138,39.684,32.920,5320,0,138,39.684,32.920
G9,5320,177,255,228.723,22.274,5320,0,47,4.918,9.932,5320,0,47,4.918,9.932
G10,5320,40,255,189.113,35.383,5320,0,132,43.497,23.625,5320,0,132,43.497,23.625
G11,5320,40,248,184.204,43.293,5320,40,248,184.202,43.290,5320,75,255,228.734,35.597
G12,5320,120,255,237.647,21.626,5320,89,253,199.110,44.048,5320,89,255,202.034,46.488
G13,5320,68,255,223.895,32.984,5320,0,137,35.654,34.251,5320,0,137,35.654,34.251
G14,5320,35,255,197.116,57.358,5320,0,151,32.556,46.616,5320,0,151,32.556,46.616
G15,5320,24,255,181.876,49.837,5320,0,45,27.078,11.747,5320,0,45,27.078,11.747
G16,5320,39,255,178.191,62.125,5320,0,156,39.638,35.681,5320,0,156,39.638,35.681
G17,5320,116,255,222.636,30.499,5320,102,246,188.140,29.192,5320,102,255,191.930,33.626
G18,5320,38,255,178.267,57.338,5320,0,169,62.185,57.762,5320,0,169,62.185,57.762
G19,5320,90,255,236.792,20.253,5320,42,171,129.431,32.078,5320,42,171,129.431,32.078
G20,5320,169,255,229.523,16.402,5320,0,83,20.186,20.191,5320,0,83,20.186,20.191
G21,5320,110,255,222.519,31.581,5320,0,99,13.500,20.123,5320,0,99,13.500,20.123
G22,5320,52,246,205.135,37.435,5320,18,101,76.467,20.200,5320,18,101,76.467,20.200
G23,5320,69,255,207.589,55.339,5320,0,125,40.612,42.154,5320,0,125,40.612,42.154
G24,5320,40,255,175.010,52.228,5320,0,162,53.959,55.477,5320,0,162,53.959,55.477
G25,5320,172,255,236.084,17.635,5320,9,139,85.897,28.239,5320,9,139,85.897,28.239
G26,5320,128,255,219.532,24.396,5320,8,163,108.340,34.445,5320,8,163,108.340,34.445
G27,5320,107,255,226.111,31.344,5320,16,149,85.317,28.809,5320,16,149,85.317,28.809
G28,5320,110,252,185.833,34.825,5320,0,70,23.946,18.944,5320,0,70,23.946,18.944
G29,5320,95,255,228.224,34.594,5320,0,132,8.439,24.010,5320,0,132,8.439,24.010
G30,5320,145,255,234.100,17.851,5320,35,207,139.079,31.181,5320,35,207,139.079,31.181
G31,5320,35,255,209.350,41.671,5320,15,250,154.523,47.160,5320,15,253,154.789,47.541
G32,5320,34,231,175.912,45.087,5320,10,132,64.361,25.833,5320,10,132,64.361,25.833
G33,5320,87,255,162.033,42.566,5320,3,142,53.422,36.886,5320,3,142,53.422,36.886
G34,5320,44,255,176.868,60.094,5320,0,186,22.021,27.632,5320,0,255,23.440,35.033
G35,5320,158,255,224.448,21.258,5320,49,247,141.911,49.006,5320,49,255,142.975,50.901
G36,5320,50,254,216.850,32.259,5320,46,247,193.970,43.687,5320,46,255,199.233,48.239
G37,5320,160,255,228.190,28.034,5320,54,225,138.846,43.997,5320,54,225,138.848,44.002
G38,5320,160,255,244.983,17.256,5320,54,156,113.633,13.669,5320,54,156,113.633,13.669
G39,5320,30,255,187.853,56.684,5320,30,171,110.999,30.163,5320,38,232,116.586,29.056
G40,5320,73,240,156.179,30.103,5320,73,239,156.114,29.994,5320,83,255,195.512,41.298
G41,5320,81,255,196.867,45.981,5320,81,245,178.373,34.633,5320,141,253,194.939,26.964
G42,5320,61,255,211.358,40.641,5320,53,234,156.790,32.234,5320,53,235,156.938,32.494
G43,5320,5,228,52.757,46.338,5320,5,226,52.738,46.268,5320,95,255,228.522,31.454
G44,5320,59,249,162.967,34.456,5320,58,218,147.153,30.125,5320,58,251,172.772,44.573
G45,5320,30,255,118.703,60.446,5320,30,255,116.631,57.321,5320,39,255,142.459,56.026
G46,5320,122,249,185.402,23.131,5320,108,234,183.107,22.213,5320,108,255,235.248,24.440
