Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,197,255,243.364,10.265,5320,38,163,82.363,21.512,5320,38,163,82.363,21.512
G2,5320,82,255,221.308,43.544,5320,0,115,49.005,27.081,5320,0,115,49.005,27.081
G3,5320,135,255,234.515,27.645,5320,98,216,152.587,23.747,5320,98,234,153.903,26.200
G4,5320,218,255,249.141,8.278,5320,82,154,126.342,15.574,5320,82,154,126.342,15.574
G5,5320,92,255,225.067,38.994,5320,0,126,71.964,34.985,5320,0,126,71.964,34.985
G6,5320,37,229,149.392,41.351,5320,37,229,149.391,41.349,5320,62,253,208.522,34.216
G7,5320,117,255,217.606,33.231,5320,116,239,183.283,31.422,5320,117,246,187.505,32.946
G8,5320,198,255,239.127,16.521,5320,97,172,123.110,14.664,5320,97,172,123.110,14.664
G9,5320,186,255,252.846,7.989,5320,35,121,85.401,19.154,5320,35,121,85.401,19.154
G10,5320,108,255,184.290,39.250,5320,17,64,33.117,10.001,5320,17,64,33.117,10.001
G11,5320,42,253,188.559,52.861,5320,42,252,188.366,52.644,5320,79,255,220.402,44.290
G12,5320,123,255,236.226,24.010,5320,108,253,204.008,34.046,5320,108,255,205.942,35.244
G13,5320,177,255,223.951,19.766,5320,76,171,107.592,19.517,5320,76,171,107.592,19.517
G14,5320,127,255,218.517,29.067,5320,28,119,72.300,23.426,5320,28,119,72.300,23.426
G15,5320,118,255,201.825,32.307,5320,7,107,45.602,21.794,5320,7,107,45.602,21.794
G16,5320,122,255,211.260,34.683,5320,0,67,13.587,17.499,5320,0,67,13.587,17.499
G17,5320,119,255,224.850,31.386,5320,105,254,185.558,29.809,5320,105,254,185.568,29.833
G18,5320,182,255,232.656,18.694,5320,0,172,106.554,37.406,5320,0,172,106.554,37.406
G19,5320,201,255,241.576,11.606,5320,16,122,96.049,24.318,5320,16,122,96.049,24.318
G20,5320,130,255,241.669,19.367,5320,38,117,81.755,15.968,5320,38,117,81.755,15.968
G21,5320,142,255,226.707,28.937,5320,0,116,67.028,27.893,5320,0,116,67.028,27.893
G22,5320,135,250,202.102,25.757,5320,0,105,44.439,22.778,5320,0,105,44.439,22.778
G23,5320,51,255,190.815,62.711,5320,0,136,46.205,48.487,5320,0,136,46.205,48.487
G24,5320,80,255,217.417,35.813,5320,0,66,8.525,15.575,5320,0,66,8.525,15.575
G25,5320,186,255,242.746,13.677,5320,0,70,27.533,19.094,5320,0,70,27.533,19.094
G26,5320,95,255,222.170,30.607,5320,0,111,16.361,30.395,5320,0,111,16.361,30.395
G27,5320,85,255,221.940,31.235,5320,0,61,5.075,11.414,5320,0,61,5.075,11.414
G28,5320,97,255,182.061,37.546,5320,0,27,2.815,5.531,5320,0,27,2.815,5.531
G29,5320,98,255,207.928,33.918,5320,0,145,59.842,41.264,5320,0,145,59.842,41.264
G30,5320,168,255,226.636,20.977,5320,6,133,86.656,33.382,5320,6,133,86.656,33.382
G31,5320,29,255,215.163,42.491,5320,0,135,66.729,44.854,5320,0,135,66.729,44.854
G32,5320,27,212,158.879,38.066,5320,0,103,34.715,27.570,5320,0,103,34.715,27.570
G33,5320,76,255,162.642,45.153,5320,0,137,49.024,42.189,5320,0,137,49.024,42.189
G34,5320,34,255,180.121,61.264,5320,0,206,19.315,24.736,5320,0,255,19.432,25.509
G35,5320,137,255,220.188,31.323,5320,103,241,165.034,40.057,5320,103,241,165.034,40.057
G36,5320,69,255,222.600,33.592,5320,45,237,166.093,34.831,5320,45,237,166.206,34.908
G37,5320,152,255,240.811,23.473,5320,70,213,149.180,32.267,5320,70,213,149.180,32.267
G38,5320,177,255,246.677,13.362,5320,82,153,108.508,13.932,5320,82,153,108.508,13.932
G39,5320,27,255,185.522,56.133,5320,27,171,107.755,25.620,5320,37,250,116.053,33.478
G40,5320,53,238,169.436,29.922,5320,53,224,167.206,30.746,5320,54,242,182.633,38.826
G41,5320,80,255,204.363,45.147,5320,80,242,180.010,29.180,5320,95,253,191.920,22.726
G42,5320,55,255,210.893,41.575,5320,47,224,148.706,32.923,5320,47,226,148.753,33.003
G43,5320,0,238,44.323,54.186,5320,0,233,44.264,53.994,5320,73,255,218.916,40.469
G44,5320,39,240,174.946,39.707,5320,32,227,149.079,35.473,5320,32,253,163.738,44.310
G45,5320,33,255,130.515,56.607,5320,33,255,126.968,52.365,5320,41,255,149.772,54.885
G46,5320,119,254,186.595,25.791,5320,109,247,183.896,23.796,5320,111,255,235.781,23.901
