Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,213,255,243.137,8.934,5320,48,168,88.851,20.723,5320,48,168,88.851,20.723
G2,5320,85,255,221.826,45.741,5320,18,115,66.968,16.192,5320,18,115,66.968,16.192
G3,5320,136,255,233.655,27.418,5320,105,207,156.464,22.611,5320,105,236,159.233,26.967
G4,5320,165,255,227.386,24.407,5320,19,146,99.197,26.605,5320,19,146,99.197,26.605
G5,5320,50,255,224.969,35.594,5320,0,120,50.474,30.447,5320,0,120,50.474,30.447
G6,5320,30,208,133.803,40.998,5320,30,208,133.803,40.998,5320,69,251,205.738,38.715
G7,5320,100,255,211.086,37.036,5320,100,241,175.836,32.652,5320,110,245,185.060,35.779
G8,5320,177,255,232.482,20.634,5320,0,149,44.185,41.257,5320,0,149,44.185,41.257
G9,5320,112,255,217.464,27.458,5320,0,58,16.104,13.510,5320,0,58,16.104,13.510
G10,5320,41,255,144.090,54.914,5320,0,132,28.565,26.364,5320,0,132,28.565,26.364
G11,5320,32,215,160.819,36.252,5320,32,215,160.819,36.252,5320,73,255,227.258,37.478
G12,5320,117,255,225.689,25.036,5320,111,240,203.689,29.265,5320,111,255,219.039,37.346
G13,5320,153,255,221.644,27.724,5320,19,151,58.927,32.908,5320,19,151,58.927,32.908
G14,5320,108,255,223.195,30.994,5320,21,116,78.626,26.571,5320,21,116,78.626,26.571
G15,5320,64,255,197.577,41.399,5320,23,187,87.395,37.223,5320,23,187,87.395,37.223
G16,5320,53,255,150.898,63.518,5320,20,230,110.543,55.832,5320,20,246,114.306,60.251
G17,5320,115,255,209.562,37.194,5320,114,253,202.286,32.974,5320,116,255,218.984,30.760
G18,5320,156,255,230.349,24.298,5320,41,232,146.632,53.468,5320,41,232,146.632,53.468
G19,5320,159,255,224.849,21.540,5320,58,245,156.126,51.758,5320,58,245,156.126,51.758
G20,5320,128,255,224.623,23.869,5320,87,245,168.502,29.904,5320,87,245,168.502,29.904
G21,5320,69,255,210.152,42.397,5320,49,180,123.744,22.539,5320,49,180,123.744,22.539
G22,5320,42,255,203.451,46.435,5320,42,165,131.083,23.692,5320,42,165,131.196,23.465
G23,5320,176,255,227.847,18.160,5320,129,229,185.336,20.453,5320,129,229,185.336,20.453
G24,5320,150,255,247.742,13.743,5320,106,248,226.231,20.522,5320,106,249,226.387,20.605
G25,5320,155,255,243.108,22.151,5320,111,241,182.132,36.972,5320,111,241,182.141,36.986
G26,5320,153,255,225.691,25.539,5320,90,222,161.639,39.696,5320,90,222,161.639,39.696
G27,5320,97,255,230.599,27.600,5320,31,213,123.794,37.288,5320,31,213,123.794,37.288
G28,5320,94,253,185.736,36.641,5320,19,114,55.550,25.919,5320,19,114,55.550,25.919
G29,5320,150,255,228.229,21.842,5320,74,250,188.191,27.845,5320,74,252,190.696,29.523
G30,5320,122,255,201.191,32.563,5320,122,250,195.628,28.992,5320,163,255,232.288,21.220
G31,5320,41,233,187.238,44.068,5320,40,230,173.981,42.179,5320,41,254,191.141,47.495
G32,5320,40,248,177.489,48.871,5320,17,178,110.036,40.137,5320,17,178,110.036,40.137
G33,5320,82,250,164.257,32.349,5320,21,160,74.200,33.990,5320,21,160,74.200,33.990
G34,5320,47,255,181.836,55.844,5320,0,121,34.145,28.402,5320,0,121,34.152,28.407
G35,5320,78,179,122.359,20.477,5320,78,179,122.359,20.477,5320,149,255,217.963,23.904
G36,5320,48,228,157.907,50.130,5320,48,224,155.528,47.888,5320,62,255,221.502,34.809
G37,5320,162,255,220.876,18.530,5320,109,224,177.604,26.775,5320,109,252,181.846,32.121
G38,5320,140,255,246.947,15.452,5320,88,178,140.123,13.032,5320,88,178,140.123,13.032
G39,5320,17,255,187.463,60.348,5320,17,190,124.844,34.269,5320,37,240,133.228,34.926
G40,5320,68,194,119.662,17.907,5320,68,194,119.662,17.907,5320,117,253,218.727,20.501
G41,5320,59,255,172.896,53.383,5320,59,247,165.797,45.239,5320,128,255,202.320,28.974
G42,5320,55,255,213.105,37.722,5320,54,236,167.349,32.099,5320,54,243,167.993,32.786
G43,5320,0,217,29.181,47.266,5320,0,217,29.181,47.266,5320,80,255,224.541,39.519
G44,5320,7,246,159.976,40.646,5320,7,213,145.661,33.841,5320,44,255,176.973,39.822
G45,5320,24,255,122.105,61.331,5320,24,255,118.902,56.849,5320,29,255,146.436,53.868
G46,5320,126,246,172.003,26.306,5320,119,228,170.303,24.744,5320,119,255,233.786,22.810
