Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,194,255,241.874,11.441,5320,45,173,94.385,21.558,5320,45,173,94.385,21.558
G2,5320,83,255,216.406,47.440,5320,34,131,76.816,14.278,5320,34,131,76.816,14.278
G3,5320,132,255,230.071,32.964,5320,110,210,158.511,21.308,5320,110,219,163.057,25.715
G4,5320,102,255,230.130,25.197,5320,41,144,110.927,19.342,5320,41,144,110.927,19.342
G5,5320,67,255,204.073,39.177,5320,34,138,92.157,25.728,5320,34,138,92.157,25.728
G6,5320,29,194,125.484,37.361,5320,29,194,125.484,37.361,5320,65,254,201.054,38.589
G7,5320,99,252,188.065,32.266,5320,88,227,167.653,32.422,5320,88,244,181.222,38.484
G8,5320,90,255,185.347,49.328,5320,51,176,91.723,26.341,5320,51,176,91.723,26.341
G9,5320,129,255,209.784,22.574,5320,63,167,120.029,24.603,5320,63,167,120.043,24.619
G10,5320,91,226,183.686,28.123,5320,47,159,107.183,20.382,5320,47,160,107.212,20.447
G11,5320,30,201,153.894,34.981,5320,30,201,153.894,34.981,5320,73,255,229.771,37.075
G12,5320,89,243,195.198,24.578,5320,88,231,193.098,24.391,5320,91,255,220.051,36.893
G13,5320,93,255,227.270,34.811,5320,65,241,209.224,38.295,5320,65,241,209.230,38.298
G14,5320,102,247,179.660,33.824,5320,77,241,171.796,41.012,5320,77,241,178.755,43.759
G15,5320,30,195,142.040,35.678,5320,21,187,129.080,37.662,5320,21,192,131.783,38.846
G16,5320,60,255,197.581,53.597,5320,45,200,126.025,39.307,5320,45,200,126.025,39.307
G17,5320,100,255,198.269,35.507,5320,100,248,194.592,32.024,5320,114,255,216.583,28.369
G18,5320,139,255,212.910,32.037,5320,68,241,173.581,55.773,5320,68,241,173.590,55.776
G19,5320,147,255,220.920,27.627,5320,74,248,202.502,36.937,5320,74,249,203.440,37.129
G20,5320,80,255,208.514,40.065,5320,70,233,188.919,34.939,5320,70,233,188.924,34.935
G21,5320,34,255,155.043,52.894,5320,22,229,133.996,48.242,5320,22,229,133.996,48.242
G22,5320,45,246,192.139,41.175,5320,33,214,159.253,35.171,5320,33,214,159.253,35.171
G23,5320,190,255,246.477,9.760,5320,61,187,119.433,33.597,5320,61,187,119.433,33.597
G24,5320,167,255,226.602,23.469,5320,60,228,129.956,48.328,5320,60,228,129.956,48.328
G25,5320,101,255,215.878,35.624,5320,60,227,172.931,24.633,5320,60,227,172.931,24.633
G26,5320,6,255,207.003,45.338,5320,0,214,76.936,82.639,5320,0,214,76.936,82.639
G27,5320,104,255,222.352,31.311,5320,0,198,108.865,31.500,5320,0,198,108.865,31.500
G28,5320,105,253,186.883,35.485,5320,23,139,67.918,30.993,5320,23,139,67.918,30.993
G29,5320,136,255,228.514,24.459,5320,0,163,67.935,49.119,5320,0,163,67.935,49.119
G30,5320,147,253,226.600,13.966,5320,113,205,167.033,16.244,5320,113,205,167.033,16.244
G31,5320,19,252,146.272,44.494,5320,0,212,84.573,41.629,5320,0,212,84.573,41.629
G32,5320,39,231,170.036,47.035,5320,17,116,84.547,26.033,5320,17,116,84.547,26.033
G33,5320,85,255,158.679,37.360,5320,22,162,72.780,35.183,5320,22,162,72.780,35.183
G34,5320,57,255,180.327,56.517,5320,0,178,27.235,28.537,5320,0,255,28.096,32.977
G35,5320,94,255,214.680,33.663,5320,31,247,161.725,61.027,5320,31,249,171.986,65.605
G36,5320,69,255,194.367,38.188,5320,69,240,180.959,36.577,5320,74,255,200.600,41.526
G37,5320,163,255,231.703,25.549,5320,93,236,158.980,39.249,5320,93,236,159.043,39.357
G38,5320,170,255,244.347,16.064,5320,96,166,126.988,15.050,5320,96,166,126.988,15.050
G39,5320,27,255,186.780,53.435,5320,27,182,118.596,29.752,5320,43,224,122.180,30.078
G40,5320,72,217,147.205,14.507,5320,72,215,147.203,14.498,5320,91,255,211.674,20.353
G41,5320,71,255,193.241,49.573,5320,71,253,179.285,38.929,5320,142,254,200.222,26.155
G42,5320,61,255,210.809,40.976,5320,57,239,162.023,32.950,5320,57,240,162.335,33.308
G43,5320,0,222,40.439,47.570,5320,0,222,40.430,47.539,5320,74,255,224.067,36.910
G44,5320,17,248,158.527,38.042,5320,17,217,145.059,31.901,5320,60,255,175.094,42.442
G45,5320,30,255,119.535,59.663,5320,30,255,117.545,56.667,5320,38,255,145.706,54.615
G46,5320,127,246,172.224,28.954,5320,122,235,170.671,27.523,5320,124,255,236.969,22.128
