Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,209,255,243.469,9.200,5320,58,191,109.971,25.070,5320,58,191,109.971,25.070
G2,5320,69,255,219.222,46.891,5320,5,135,74.173,28.957,5320,5,135,74.173,28.957
G3,5320,123,255,230.497,33.344,5320,123,224,185.551,21.072,5320,134,228,190.614,20.179
G4,5320,153,255,229.592,19.088,5320,92,240,173.689,39.763,5320,92,240,173.733,39.794
G5,5320,137,255,242.308,22.104,5320,101,252,211.864,29.692,5320,101,252,213.057,29.702
G6,5320,28,190,121.791,36.453,5320,28,190,121.791,36.453,5320,70,254,205.384,36.639
G7,5320,94,255,199.071,40.757,5320,94,252,195.026,38.696,5320,129,255,216.589,31.509
G8,5320,161,255,234.735,16.981,5320,159,252,227.460,15.321,5320,160,254,227.728,15.550
G9,5320,112,254,186.290,27.921,5320,112,246,185.607,27.100,5320,116,255,201.757,27.782
G10,5320,26,204,138.701,42.997,5320,26,204,138.701,42.997,5320,100,255,224.875,28.507
G11,5320,31,195,144.917,37.248,5320,31,195,144.917,37.248,5320,74,255,225.201,43.387
G12,5320,102,254,209.833,28.282,5320,102,252,208.226,27.545,5320,135,255,239.167,25.448
G13,5320,163,255,227.308,20.993,5320,134,249,192.220,32.388,5320,134,250,192.250,32.431
G14,5320,124,253,201.175,21.560,5320,116,246,191.573,26.855,5320,116,255,207.532,37.365
G15,5320,16,204,90.310,53.928,5320,16,204,90.310,53.928,5320,68,255,179.651,47.045
G16,5320,0,107,27.313,29.579,5320,0,107,27.313,29.579,5320,39,255,165.214,62.752
G17,5320,107,255,204.312,40.325,5320,107,249,196.119,34.679,5320,132,255,216.638,30.761
G18,5320,165,255,237.781,22.470,5320,129,241,200.479,28.057,5320,129,241,200.479,28.057
G19,5320,132,255,214.525,24.951,5320,127,233,198.699,20.152,5320,127,233,201.384,19.391
G20,5320,34,254,198.932,58.294,5320,34,252,198.117,57.924,5320,70,255,218.351,49.834
G21,5320,32,252,159.753,64.633,5320,32,251,159.671,64.523,5320,68,255,190.394,52.714
G22,5320,55,253,192.008,33.578,5320,55,249,185.234,29.068,5320,79,255,200.877,22.073
G23,5320,219,255,246.185,8.563,5320,85,206,127.755,23.339,5320,85,206,127.755,23.339
G24,5320,180,255,243.386,10.996,5320,125,213,173.072,23.287,5320,125,213,173.072,23.287
G25,5320,115,255,221.484,28.329,5320,80,232,142.015,27.524,5320,80,233,142.075,27.645
G26,5320,128,255,229.973,25.684,5320,105,247,192.943,23.010,5320,105,249,193.107,23.275
G27,5320,82,255,224.246,31.337,5320,44,238,160.201,28.758,5320,44,239,160.203,28.762
G28,5320,90,255,182.118,38.885,5320,42,172,91.730,37.086,5320,42,172,91.730,37.086
G29,5320,167,255,234.891,22.701,5320,107,222,174.679,26.269,5320,107,222,174.679,26.269
G30,5320,154,255,239.766,21.065,5320,23,223,176.757,51.927,5320,23,223,176.757,51.927
G31,5320,46,255,220.457,44.843,5320,32,209,151.648,49.308,5320,32,209,151.648,49.308
G32,5320,38,247,177.973,49.325,5320,22,172,118.208,36.111,5320,22,172,118.208,36.111
G33,5320,85,248,164.687,31.010,5320,32,164,85.272,30.522,5320,32,164,85.272,30.522
G34,5320,43,255,184.523,56.223,5320,0,127,42.908,28.372,5320,0,127,42.911,28.372
G35,5320,116,255,195.061,36.640,5320,0,228,78.250,61.859,5320,0,228,78.250,61.859
G36,5320,51,255,211.120,32.205,5320,1,240,135.400,79.214,5320,1,244,136.316,80.276
G37,5320,158,255,225.704,16.645,5320,108,237,175.668,27.918,5320,108,239,176.088,28.631
G38,5320,143,255,246.527,16.165,5320,86,176,138.115,14.785,5320,86,176,138.115,14.785
G39,5320,1,255,183.113,69.628,5320,1,195,121.852,41.930,5320,35,255,139.131,41.241
G40,5320,106,228,175.953,20.241,5320,90,228,157.713,25.382,5320,90,255,176.373,36.178
G41,5320,82,255,192.686,45.134,5320,82,254,181.113,35.398,5320,113,255,198.692,29.100
G42,5320,55,255,214.309,39.043,5320,52,236,163.752,33.755,5320,52,240,163.868,33.942
G43,5320,0,225,46.458,49.681,5320,0,223,46.448,49.643,5320,82,255,227.985,35.082
G44,5320,24,246,170.869,39.262,5320,24,223,150.085,32.738,5320,35,253,175.158,44.426
G45,5320,30,255,125.361,56.829,5320,30,255,122.518,52.979,5320,43,255,149.205,52.218
G46,5320,115,250,165.138,33.044,5320,114,248,163.907,31.446,5320,120,255,236.870,23.085
