Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,215,255,243.289,8.580,5320,50,191,95.926,27.559,5320,50,191,95.926,27.559
G2,5320,75,255,214.225,47.180,5320,0,125,45.800,32.084,5320,0,125,45.800,32.084
G3,5320,132,255,229.717,33.435,5320,127,227,185.033,24.569,5320,127,227,190.978,23.453
G4,5320,177,255,227.790,21.496,5320,55,246,169.456,48.887,5320,55,254,170.656,50.197
G5,5320,155,255,232.224,23.206,5320,47,243,145.291,42.564,5320,47,244,145.358,42.698
G6,5320,22,184,115.489,35.168,5320,22,184,115.489,35.168,5320,66,249,199.792,39.012
G7,5320,90,253,192.704,38.333,5320,90,247,190.396,36.589,5320,132,255,219.699,30.839
G8,5320,178,254,208.024,18.421,5320,178,247,207.631,17.603,5320,201,255,240.796,14.481
G9,5320,151,255,210.954,25.588,5320,128,253,204.705,27.625,5320,128,255,224.980,33.371
G10,5320,50,243,161.091,37.138,5320,46,213,152.500,36.912,5320,46,254,157.010,41.552
G11,5320,36,175,136.416,27.590,5320,36,175,136.416,27.590,5320,82,255,231.821,31.948
G12,5320,93,241,191.312,24.766,5320,93,241,191.312,24.766,5320,116,255,241.414,21.605
G13,5320,139,240,205.082,20.385,5320,139,240,205.082,20.385,5320,143,255,228.149,27.854
G14,5320,97,218,186.608,24.804,5320,97,218,186.608,24.804,5320,137,255,241.891,22.891
G15,5320,96,255,179.347,44.400,5320,96,216,165.837,29.966,5320,125,255,195.677,33.275
G16,5320,62,255,213.582,26.478,5320,61,206,167.583,19.195,5320,62,206,167.587,19.191
G17,5320,92,253,189.412,41.568,5320,92,250,188.315,40.420,5320,116,255,224.439,29.218
G18,5320,144,255,219.584,32.736,5320,144,250,201.086,25.615,5320,156,253,204.795,22.384
G19,5320,92,255,196.583,44.409,5320,88,239,179.508,34.862,5320,88,239,187.757,27.725
G20,5320,111,236,189.580,19.466,5320,49,209,127.994,34.117,5320,49,222,128.814,35.802
G21,5320,92,255,197.386,41.065,5320,3,141,73.350,28.958,5320,3,141,73.350,28.958
G22,5320,92,255,207.588,30.181,5320,0,130,78.834,35.383,5320,0,130,78.834,35.383
G23,5320,193,255,246.607,11.360,5320,6,221,144.136,52.047,5320,6,221,144.136,52.047
G24,5320,50,255,211.473,44.433,5320,7,182,116.811,45.452,5320,7,182,116.811,45.452
G25,5320,81,255,203.998,46.541,5320,26,195,138.348,42.274,5320,26,195,138.348,42.274
G26,5320,0,255,170.778,52.518,5320,0,163,22.714,36.461,5320,0,163,22.714,36.461
G27,5320,64,255,215.172,36.121,5320,0,30,0.854,3.391,5320,0,30,0.854,3.391
G28,5320,106,255,184.937,37.565,5320,0,50,6.358,11.767,5320,0,50,6.358,11.767
G29,5320,40,255,210.908,40.810,5320,0,232,151.607,56.664,5320,0,232,151.607,56.664
G30,5320,150,255,229.762,27.878,5320,128,220,185.575,20.445,5320,128,220,185.575,20.445
G31,5320,0,255,189.933,59.699,5320,0,220,99.702,76.178,5320,0,220,99.702,76.178
G32,5320,38,229,171.415,43.963,5320,0,74,30.474,26.952,5320,0,74,30.474,26.952
G33,5320,87,255,159.828,38.085,5320,0,143,46.229,38.904,5320,0,143,46.229,38.904
G34,5320,62,255,178.079,60.026,5320,0,186,22.761,28.929,5320,0,255,23.635,33.614
G35,5320,101,255,209.249,36.440,5320,79,249,172.528,46.029,5320,79,250,173.947,45.995
G36,5320,12,255,222.031,31.472,5320,12,246,175.667,39.459,5320,12,247,175.961,39.573
G37,5320,159,255,231.297,25.905,5320,54,229,140.084,46.373,5320,54,229,140.107,46.413
G38,5320,172,255,242.774,17.448,5320,66,156,114.633,13.207,5320,66,156,114.633,13.207
G39,5320,20,255,187.734,53.415,5320,20,178,114.821,27.726,5320,34,231,119.090,29.508
G40,5320,74,243,168.701,27.246,5320,57,234,147.011,34.791,5320,57,249,161.387,46.510
G41,5320,72,255,199.373,45.591,5320,72,249,182.021,34.080,5320,130,254,197.115,24.993
G42,5320,59,255,212.100,38.575,5320,56,235,157.469,31.783,5320,56,236,158.077,32.510
G43,5320,0,229,45.382,48.612,5320,0,227,45.364,48.548,5320,0,255,221.116,44.744
G44,5320,0,242,162.981,36.189,5320,0,214,145.718,31.854,5320,0,255,169.389,45.321
G45,5320,28,255,119.270,56.089,5320,28,255,116.855,52.709,5320,39,255,142.420,52.227
G46,5320,107,247,152.418,29.686,5320,107,225,150.817,27.279,5320,129,255,233.347,22.678
