Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,84,255,227.690,25.146,5320,84,246,194.861,21.275,5320,141,255,205.064,26.037
G2,5320,176,255,240.860,17.395,5320,111,233,172.748,26.225,5320,111,242,173.374,27.204
G3,5320,17,213,120.117,40.113,5320,17,213,120.117,40.113,5320,39,255,205.428,46.847
G4,5320,15,224,139.422,39.482,5320,15,223,138.737,38.413,5320,35,255,216.231,41.159
G5,5320,4,232,86.405,43.169,5320,4,229,86.058,42.597,5320,17,255,164.459,58.688
G6,5320,0,59,20.124,15.189,5320,0,59,20.124,15.189,5320,87,255,225.999,35.787
G7,5320,0,128,90.931,38.612,5320,0,128,90.931,38.612,5320,76,255,223.462,38.034
G8,5320,55,144,113.777,18.206,5320,55,144,113.777,18.206,5320,226,255,253.041,4.450
G9,5320,0,128,47.843,41.652,5320,0,128,47.843,41.652,5320,29,255,209.539,47.062
G10,5320,0,72,33.236,18.058,5320,0,72,33.236,18.058,5320,52,255,220.380,28.796
G11,5320,30,255,100.219,61.897,5320,30,141,79.509,30.124,5320,32,255,227.349,59.990
G12,5320,26,115,58.119,11.318,5320,26,115,58.119,11.318,5320,121,255,228.506,32.679
G13,5320,0,109,26.899,24.415,5320,0,109,26.899,24.415,5320,116,255,221.372,32.905
G14,5320,0,138,59.051,39.700,5320,0,138,59.051,39.700,5320,49,255,179.327,64.097
G15,5320,11,168,57.385,37.511,5320,11,168,57.385,37.511,5320,48,255,189.891,62.427
G16,5320,70,219,163.568,37.786,5320,70,219,163.568,37.786,5320,180,255,240.831,14.935
G17,5320,33,126,62.988,21.141,5320,33,126,62.988,21.141,5320,122,255,226.996,30.461
G18,5320,50,205,125.137,28.406,5320,50,205,124.437,27.599,5320,117,255,241.909,25.568
G19,5320,63,255,148.271,37.566,5320,63,212,142.548,26.833,5320,85,255,211.922,34.970
G20,5320,0,162,91.712,30.276,5320,0,162,91.712,30.276,5320,51,255,175.204,58.112
G21,5320,0,254,138.651,58.579,5320,0,247,138.106,57.851,5320,17,255,199.258,52.344
G22,5320,50,255,203.127,42.311,5320,50,244,177.293,35.901,5320,52,255,177.968,36.439
G23,5320,103,220,149.830,28.367,5320,103,220,148.738,26.949,5320,138,255,227.058,20.816
G24,5320,72,255,181.140,29.841,5320,64,212,173.228,26.620,5320,64,255,205.357,44.123
G25,5320,0,167,63.371,54.054,5320,0,167,63.371,54.054,5320,132,255,222.493,23.257
G26,5320,0,213,24.418,56.503,5320,0,213,24.418,56.503,5320,93,255,204.766,39.329
G27,5320,0,255,138.480,92.809,5320,0,251,131.553,86.417,5320,123,255,211.231,24.526
G28,5320,106,255,218.056,31.420,5320,64,213,148.375,31.890,5320,64,213,148.375,31.890
G29,5320,82,193,134.600,30.788,5320,82,193,134.600,30.788,5320,121,255,208.415,36.669
G30,5320,29,165,107.738,18.349,5320,29,165,107.738,18.349,5320,171,255,239.747,14.225
G31,5320,0,133,87.347,32.397,5320,0,133,87.347,32.397,5320,102,255,217.016,39.233
G32,5320,0,238,138.520,53.644,5320,0,214,130.640,47.475,5320,31,222,161.547,43.274
G33,5320,47,252,172.465,47.872,5320,35,189,121.125,40.288,5320,35,189,121.133,40.289
G34,5320,81,250,145.206,38.668,5320,52,176,97.451,28.899,5320,52,176,97.451,28.899
G35,5320,27,130,76.458,19.829,5320,27,130,76.458,19.829,5320,127,255,228.392,31.540
G36,5320,0,202,29.942,38.091,5320,0,202,29.942,38.091,5320,59,255,207.149,49.454
G37,5320,25,255,205.337,46.057,5320,25,248,196.492,42.798,5320,56,255,205.869,36.884
G38,5320,205,255,243.750,11.299,5320,114,216,169.548,19.079,5320,114,216,169.548,19.079
G39,5320,43,255,227.903,47.434,5320,5,184,122.807,39.101,5320,5,184,122.807,39.101
G40,5320,6,220,137.842,57.178,5320,6,220,137.842,57.178,5320,100,255,222.979,34.019
G41,5320,63,240,200.484,26.698,5320,63,240,199.983,26.531,5320,141,255,220.317,24.641
G42,5320,167,255,230.473,22.269,5320,113,230,176.838,25.528,5320,113,230,176.892,25.534
G43,5320,144,255,223.352,21.995,5320,144,244,218.584,20.759,5320,144,255,223.640,23.538
G44,5320,48,255,203.972,34.677,5320,34,244,165.569,46.045,5320,34,244,165.586,46.057
G45,5320,119,255,215.551,36.012,5320,79,248,197.280,42.701,5320,79,248,198.991,42.842
G46,5320,3,156,81.945,40.557,5320,3,156,81.945,40.557,5320,94,255,232.004,25.816
