Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,83,255,224.920,23.704,5320,83,246,194.896,24.426,5320,132,255,206.142,29.723
G2,5320,169,255,239.738,17.984,5320,122,239,185.221,24.613,5320,122,244,187.237,26.922
G3,5320,25,206,120.555,39.520,5320,25,206,120.555,39.520,5320,56,255,205.014,47.114
G4,5320,24,216,131.175,37.105,5320,24,216,131.128,37.024,5320,53,255,215.718,40.555
G5,5320,6,162,67.138,35.153,5320,6,162,66.850,34.973,5320,47,255,179.527,52.314
G6,5320,0,59,19.500,15.388,5320,0,59,19.500,15.388,5320,101,255,225.403,35.761
G7,5320,0,129,90.860,38.686,5320,0,129,90.860,38.686,5320,74,255,219.478,41.176
G8,5320,41,137,110.311,18.426,5320,41,137,110.311,18.426,5320,214,255,252.517,5.601
G9,5320,0,120,36.460,38.739,5320,0,120,36.460,38.739,5320,35,255,204.684,47.119
G10,5320,0,113,15.967,27.423,5320,0,113,15.967,27.423,5320,196,255,244.926,12.365
G11,5320,32,255,100.587,60.628,5320,0,138,78.382,30.766,5320,0,255,223.895,65.372
G12,5320,31,114,66.037,10.791,5320,31,114,66.037,10.791,5320,123,255,227.647,30.846
G13,5320,0,111,21.389,25.630,5320,0,111,21.389,25.630,5320,73,255,189.927,43.690
G14,5320,0,33,0.210,1.810,5320,0,33,0.210,1.810,5320,62,255,190.655,39.305
G15,5320,0,168,15.094,35.686,5320,0,168,15.094,35.686,5320,46,255,194.509,51.502
G16,5320,0,206,107.501,58.274,5320,0,206,107.501,58.274,5320,78,255,188.152,46.602
G17,5320,25,123,67.460,20.585,5320,25,123,67.460,20.585,5320,107,255,223.983,33.049
G18,5320,0,140,84.436,38.313,5320,0,140,84.436,38.313,5320,51,255,221.532,49.296
G19,5320,0,111,34.033,23.983,5320,0,111,34.033,23.983,5320,52,255,194.641,58.131
G20,5320,0,236,145.311,61.600,5320,0,236,145.311,61.600,5320,55,255,206.063,41.607
G21,5320,65,255,208.857,42.673,5320,65,251,201.632,39.034,5320,72,255,208.016,38.200
G22,5320,73,255,208.253,37.496,5320,73,235,178.648,27.953,5320,75,235,178.688,27.892
G23,5320,17,250,167.383,40.815,5320,17,242,167.236,40.557,5320,76,255,240.140,25.164
G24,5320,0,251,98.471,76.459,5320,0,240,98.022,76.069,5320,0,255,178.762,58.191
G25,5320,1,232,161.215,39.833,5320,1,232,161.215,39.833,5320,19,255,201.880,33.731
G26,5320,62,244,136.210,46.253,5320,62,244,136.199,46.230,5320,123,255,211.787,33.774
G27,5320,93,255,201.244,42.898,5320,93,250,187.575,35.188,5320,143,255,217.516,26.468
G28,5320,125,255,221.937,31.338,5320,74,201,147.827,31.800,5320,74,201,147.827,31.800
G29,5320,126,255,197.730,30.969,5320,108,244,188.669,29.756,5320,108,251,204.035,28.143
G30,5320,14,209,123.506,42.333,5320,14,209,123.506,42.333,5320,160,255,230.149,24.106
G31,5320,10,159,74.975,40.598,5320,10,159,74.975,40.598,5320,152,255,229.163,29.162
G32,5320,34,239,157.158,45.712,5320,28,214,145.748,40.805,5320,28,226,165.824,46.493
G33,5320,45,253,174.727,47.903,5320,29,182,118.003,38.052,5320,29,182,118.003,38.052
G34,5320,83,244,147.992,36.592,5320,50,169,99.066,26.888,5320,50,169,99.066,26.888
G35,5320,5,185,56.493,44.489,5320,5,185,56.493,44.489,5320,112,255,211.054,35.459
G36,5320,1,165,21.420,22.330,5320,1,165,21.420,22.330,5320,63,255,210.330,32.214
G37,5320,45,255,212.761,28.716,5320,45,240,201.117,26.034,5320,63,252,210.059,24.660
G38,5320,200,255,243.074,10.763,5320,112,215,166.549,16.813,5320,112,215,166.549,16.813
G39,5320,47,255,229.944,43.600,5320,5,181,122.592,37.663,5320,5,181,122.592,37.663
G40,5320,2,225,98.455,68.879,5320,2,225,98.455,68.879,5320,57,255,190.427,52.095
G41,5320,29,244,203.559,40.131,5320,29,239,202.642,39.685,5320,78,255,217.702,29.582
G42,5320,160,255,229.603,23.852,5320,111,230,174.167,24.731,5320,111,230,174.180,24.728
G43,5320,148,255,213.376,23.147,5320,148,252,212.685,22.878,5320,155,255,223.611,25.790
G44,5320,63,255,200.216,33.468,5320,45,246,165.081,45.715,5320,45,249,165.254,45.953
G45,5320,120,255,219.675,33.463,5320,84,252,198.535,40.739,5320,84,253,198.615,40.814
G46,5320,7,155,83.563,41.178,5320,7,155,83.563,41.178,5320,107,255,233.046,26.437
