Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,95,255,231.458,19.080,5320,95,250,191.477,25.884,5320,127,255,197.582,31.158
G2,5320,175,255,240.622,16.561,5320,103,230,164.019,26.959,5320,103,239,164.315,27.456
G3,5320,21,232,141.376,43.823,5320,21,229,141.355,43.786,5320,42,255,208.080,47.933
G4,5320,14,234,149.642,42.373,5320,14,229,148.423,40.718,5320,28,255,215.316,43.091
G5,5320,1,231,107.086,65.358,5320,1,204,101.362,57.446,5320,48,255,167.941,48.734
G6,5320,7,86,42.716,13.872,5320,7,86,42.716,13.872,5320,53,255,222.218,34.280
G7,5320,19,154,113.522,38.619,5320,19,154,113.522,38.619,5320,69,255,223.074,38.259
G8,5320,95,159,141.964,11.213,5320,95,159,141.964,11.213,5320,218,255,252.448,5.517
G9,5320,0,144,50.343,51.460,5320,0,144,50.343,51.460,5320,33,255,210.159,53.237
G10,5320,0,107,8.727,22.014,5320,0,107,8.727,22.014,5320,74,255,196.868,41.289
G11,5320,47,255,132.502,51.738,5320,0,176,103.386,43.299,5320,0,255,213.148,80.276
G12,5320,48,153,117.182,18.758,5320,48,153,117.182,18.758,5320,109,255,227.211,31.047
G13,5320,0,151,56.367,48.360,5320,0,151,56.367,48.360,5320,78,255,190.252,42.041
G14,5320,0,159,39.652,44.285,5320,0,159,39.652,44.285,5320,62,255,214.675,33.382
G15,5320,0,249,113.422,63.398,5320,0,248,113.404,63.370,5320,124,255,211.035,29.409
G16,5320,0,245,43.745,56.111,5320,0,244,43.678,55.944,5320,58,249,141.859,45.871
G17,5320,64,241,134.548,32.064,5320,64,227,134.439,31.746,5320,120,255,226.564,28.248
G18,5320,31,250,179.526,50.981,5320,13,232,162.112,54.301,5320,13,255,206.158,61.685
G19,5320,38,255,194.230,55.595,5320,33,242,154.002,54.771,5320,33,255,167.718,59.473
G20,5320,98,255,197.457,38.802,5320,79,250,176.326,39.069,5320,79,255,182.128,39.442
G21,5320,45,255,195.208,56.269,5320,45,249,168.072,44.948,5320,49,251,172.693,38.641
G22,5320,33,255,205.096,44.474,5320,33,202,158.083,26.917,5320,38,202,158.668,25.556
G23,5320,150,255,233.938,20.110,5320,54,226,113.804,31.424,5320,54,236,113.884,31.652
G24,5320,149,255,215.015,32.463,5320,12,103,58.169,22.544,5320,12,103,58.169,22.544
G25,5320,72,255,202.755,33.375,5320,15,194,121.420,47.440,5320,15,194,121.420,47.440
G26,5320,9,255,185.703,60.154,5320,9,232,164.661,52.069,5320,42,241,166.826,48.706
G27,5320,177,255,232.823,18.988,5320,100,216,164.541,27.842,5320,100,216,164.541,27.842
G28,5320,119,255,220.817,29.261,5320,56,176,115.076,28.968,5320,56,176,115.076,28.968
G29,5320,169,255,231.093,25.149,5320,8,187,97.884,37.771,5320,8,187,97.884,37.771
G30,5320,60,254,177.817,40.275,5320,19,227,134.552,50.319,5320,19,227,134.552,50.319
G31,5320,52,255,173.012,61.031,5320,48,240,148.942,61.620,5320,48,240,148.942,61.620
G32,5320,36,239,164.300,40.565,5320,18,181,109.323,33.771,5320,18,181,109.323,33.771
G33,5320,45,251,173.633,47.089,5320,18,160,99.343,38.017,5320,18,160,99.343,38.017
G34,5320,82,250,146.739,36.979,5320,46,157,91.992,25.505,5320,46,157,91.992,25.505
G35,5320,81,255,219.243,36.081,5320,80,253,198.060,31.696,5320,80,255,203.539,33.844
G36,5320,115,255,208.937,30.704,5320,115,254,204.212,28.035,5320,140,255,225.463,20.608
G37,5320,155,255,229.891,17.616,5320,143,244,198.867,29.096,5320,143,244,199.116,29.234
G38,5320,205,255,244.652,10.409,5320,107,200,153.297,16.861,5320,107,200,153.297,16.861
G39,5320,49,255,231.043,42.115,5320,2,169,116.576,35.270,5320,2,169,116.576,35.270
G40,5320,128,252,200.192,26.147,5320,128,250,200.139,26.050,5320,151,255,239.966,18.088
G41,5320,137,255,227.409,22.093,5320,137,251,217.534,22.607,5320,159,255,218.834,22.909
G42,5320,159,255,232.591,19.461,5320,107,219,169.278,22.687,5320,107,219,169.278,22.687
G43,5320,129,253,217.115,24.232,5320,125,251,215.718,24.545,5320,125,255,227.069,24.323
G44,5320,49,255,202.060,38.374,5320,35,251,166.395,48.003,5320,35,252,166.511,48.182
G45,5320,121,255,215.565,37.074,5320,81,253,198.574,43.113,5320,81,253,199.013,43.308
G46,5320,17,169,92.921,43.182,5320,17,169,92.921,43.182,5320,114,255,231.487,25.121
