Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,93,255,228.802,21.118,5320,93,243,184.792,29.133,5320,120,255,191.740,34.504
G2,5320,180,255,240.764,16.733,5320,82,231,144.942,27.790,5320,82,241,145.123,28.308
G3,5320,37,234,135.120,46.512,5320,37,226,135.034,46.349,5320,70,255,201.655,47.695
G4,5320,28,236,143.516,45.613,5320,28,225,139.959,40.999,5320,50,255,202.800,41.111
G5,5320,10,255,156.958,70.197,5320,0,185,75.879,59.246,5320,0,255,98.406,76.557
G6,5320,0,68,16.387,14.001,5320,0,68,16.387,14.001,5320,64,255,225.036,36.124
G7,5320,0,132,87.750,35.745,5320,0,132,87.750,35.745,5320,78,255,221.991,33.766
G8,5320,4,135,96.148,24.185,5320,4,135,96.148,24.185,5320,192,255,248.889,9.296
G9,5320,0,239,45.768,59.645,5320,0,148,36.640,40.709,5320,39,255,167.486,65.072
G10,5320,0,228,48.151,55.514,5320,0,193,45.468,50.054,5320,51,255,167.028,48.520
G11,5320,17,252,88.968,60.613,5320,15,135,69.565,31.599,5320,15,255,224.373,63.041
G12,5320,9,80,42.364,9.629,5320,9,80,42.364,9.629,5320,118,255,229.210,32.703
G13,5320,0,74,8.135,12.716,5320,0,74,8.135,12.716,5320,89,255,215.456,31.710
G14,5320,0,2,0.004,0.075,5320,0,2,0.004,0.075,5320,93,255,214.592,31.496
G15,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,135,255,217.465,26.315
G16,5320,0,74,7.991,16.140,5320,0,74,7.991,16.140,5320,88,255,233.160,36.185
G17,5320,19,85,43.274,15.029,5320,19,85,43.274,15.029,5320,131,255,227.843,28.136
G18,5320,0,103,55.422,31.705,5320,0,103,55.422,31.705,5320,137,255,235.039,26.944
G19,5320,0,101,18.951,28.558,5320,0,101,18.951,28.558,5320,125,255,219.018,31.548
G20,5320,0,83,5.518,12.169,5320,0,83,5.518,12.169,5320,122,255,226.689,34.154
G21,5320,0,236,52.348,70.323,5320,0,235,52.344,70.312,5320,57,255,200.602,39.417
G22,5320,0,255,195.502,53.450,5320,0,242,178.704,46.177,5320,38,250,183.946,39.765
G23,5320,85,182,129.550,24.394,5320,85,182,129.550,24.394,5320,190,255,246.736,14.102
G24,5320,78,208,151.005,35.536,5320,78,208,151.005,35.536,5320,225,255,251.334,4.494
G25,5320,23,176,82.163,39.263,5320,23,176,82.163,39.263,5320,110,255,207.026,38.242
G26,5320,42,206,130.127,33.969,5320,42,206,130.127,33.969,5320,98,255,229.198,25.246
G27,5320,64,252,176.800,47.536,5320,64,225,165.373,36.736,5320,94,241,198.997,22.001
G28,5320,130,255,228.636,21.252,5320,76,207,158.617,27.765,5320,76,207,158.617,27.765
G29,5320,55,205,128.996,36.294,5320,55,205,128.996,36.294,5320,81,255,179.612,43.349
G30,5320,62,171,107.840,27.977,5320,62,171,107.840,27.977,5320,164,255,213.836,28.180
G31,5320,40,159,102.071,24.155,5320,40,159,102.071,24.155,5320,68,255,211.235,43.321
G32,5320,37,242,149.843,45.392,5320,28,194,135.679,37.870,5320,28,203,147.376,36.837
G33,5320,48,252,175.971,48.487,5320,33,186,118.093,39.185,5320,33,186,118.093,39.185
G34,5320,86,241,149.379,36.329,5320,42,162,95.769,27.485,5320,42,162,95.769,27.485
G35,5320,66,124,92.075,11.410,5320,66,124,92.075,11.410,5320,153,233,203.401,17.099
G36,5320,41,170,82.111,12.824,5320,41,170,82.111,12.824,5320,63,233,200.140,25.922
G37,5320,58,255,215.019,27.373,5320,58,243,203.920,26.059,5320,78,255,211.449,25.383
G38,5320,195,255,241.307,13.005,5320,114,214,166.238,17.832,5320,114,214,166.238,17.832
G39,5320,46,255,232.031,40.094,5320,6,180,122.969,37.811,5320,6,180,122.969,37.811
G40,5320,33,226,96.843,53.574,5320,33,226,96.843,53.574,5320,98,255,185.564,41.996
G41,5320,52,253,205.381,36.880,5320,52,253,204.596,36.629,5320,96,255,216.819,29.470
G42,5320,174,255,230.964,22.582,5320,112,230,177.364,24.218,5320,112,230,177.373,24.219
G43,5320,150,255,213.543,21.248,5320,150,244,212.237,20.497,5320,150,255,222.608,24.822
G44,5320,54,255,199.643,33.582,5320,39,248,168.715,45.125,5320,39,250,168.903,45.359
G45,5320,122,255,221.449,30.236,5320,91,250,195.722,39.289,5320,91,250,195.767,39.332
G46,5320,4,161,85.620,46.884,5320,4,161,85.620,46.884,5320,147,255,232.575,22.056
