Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,90,255,227.606,21.818,5320,90,243,198.018,24.299,5320,134,255,207.828,29.186
G2,5320,147,255,239.185,18.780,5320,121,238,186.180,23.332,5320,121,249,189.030,26.272
G3,5320,18,218,134.240,43.297,5320,18,218,134.240,43.297,5320,41,255,209.016,45.501
G4,5320,16,220,131.474,39.309,5320,16,218,131.207,38.854,5320,36,255,220.216,41.508
G5,5320,0,143,60.382,37.567,5320,0,143,60.382,37.567,5320,38,255,192.700,47.232
G6,5320,6,73,33.222,16.025,5320,6,73,33.222,16.025,5320,60,255,224.616,38.220
G7,5320,8,128,93.210,32.616,5320,8,128,93.210,32.616,5320,65,255,220.901,42.261
G8,5320,17,132,96.513,25.919,5320,17,132,96.513,25.919,5320,215,255,251.458,7.076
G9,5320,0,112,38.951,29.792,5320,0,112,38.951,29.792,5320,31,255,198.597,55.785
G10,5320,0,55,8.427,12.817,5320,0,55,8.427,12.817,5320,68,223,135.247,36.659
G11,5320,51,255,116.597,55.122,5320,0,159,90.692,34.315,5320,0,255,220.570,73.247
G12,5320,29,113,84.602,15.421,5320,29,113,84.602,15.421,5320,112,255,227.593,32.360
G13,5320,0,102,17.529,26.404,5320,0,102,17.529,26.404,5320,70,255,188.315,39.481
G14,5320,0,79,19.097,22.390,5320,0,79,19.097,22.390,5320,80,255,203.259,42.563
G15,5320,29,216,116.892,53.829,5320,29,216,116.892,53.829,5320,91,255,194.509,46.279
G16,5320,42,251,139.892,56.223,5320,42,246,138.588,55.256,5320,59,255,156.528,55.820
G17,5320,38,157,87.444,22.254,5320,38,157,87.444,22.254,5320,109,255,223.867,33.845
G18,5320,0,223,108.368,55.780,5320,0,223,108.368,55.780,5320,111,255,235.780,28.960
G19,5320,0,195,70.823,51.568,5320,0,195,70.523,51.411,5320,20,255,190.848,50.278
G20,5320,30,229,168.281,43.518,5320,30,229,168.281,43.518,5320,162,255,232.645,22.975
G21,5320,154,255,216.450,25.510,5320,154,247,209.552,20.758,5320,157,255,223.269,16.772
G22,5320,96,255,202.987,38.119,5320,88,220,163.367,26.850,5320,89,220,163.396,26.817
G23,5320,159,240,213.198,18.298,5320,159,240,213.198,18.298,5320,210,255,243.199,11.979
G24,5320,72,214,155.593,28.664,5320,72,214,155.593,28.664,5320,126,255,222.058,25.028
G25,5320,136,218,178.830,19.293,5320,136,218,178.830,19.293,5320,207,255,251.055,6.387
G26,5320,0,227,96.267,86.364,5320,0,227,95.709,85.631,5320,15,255,197.142,43.746
G27,5320,0,255,139.058,100.281,5320,0,229,115.957,81.723,5320,116,255,191.910,30.760
G28,5320,121,255,222.581,30.179,5320,63,185,133.654,29.104,5320,63,185,133.654,29.104
G29,5320,68,211,144.675,31.033,5320,68,211,144.675,31.033,5320,207,255,240.979,14.556
G30,5320,41,218,126.264,38.892,5320,41,218,126.264,38.892,5320,143,255,221.423,28.364
G31,5320,0,227,162.058,61.041,5320,0,226,155.766,59.210,5320,65,255,176.468,43.891
G32,5320,0,235,153.734,50.372,5320,0,173,122.229,38.981,5320,23,174,130.390,31.962
G33,5320,44,252,174.657,47.397,5320,26,168,107.777,36.804,5320,26,168,107.777,36.804
G34,5320,82,245,146.470,38.070,5320,46,163,93.804,27.063,5320,46,163,93.804,27.063
G35,5320,22,197,70.752,45.177,5320,22,197,70.752,45.177,5320,195,255,231.645,17.115
G36,5320,101,255,193.864,31.046,5320,101,248,190.062,28.396,5320,117,255,231.495,25.671
G37,5320,91,255,224.460,19.768,5320,91,245,198.868,26.375,5320,114,245,199.284,26.480
G38,5320,203,255,244.753,9.811,5320,110,205,158.735,16.368,5320,110,205,158.735,16.368
G39,5320,43,255,231.529,40.405,5320,7,175,120.100,34.929,5320,7,175,120.100,34.929
G40,5320,111,234,159.083,25.275,5320,111,234,159.083,25.275,5320,164,255,227.682,24.765
G41,5320,91,253,212.772,30.887,5320,91,252,208.463,30.325,5320,119,255,215.401,28.054
G42,5320,156,255,233.245,21.408,5320,110,230,173.170,23.519,5320,110,230,173.170,23.519
G43,5320,118,254,212.627,22.580,5320,118,252,212.134,22.377,5320,122,255,223.776,25.518
G44,5320,60,255,201.958,30.641,5320,44,250,169.759,43.737,5320,44,252,170.076,44.189
G45,5320,119,255,216.643,33.552,5320,95,252,200.472,39.526,5320,95,253,200.779,39.689
G46,5320,13,159,89.146,43.639,5320,13,159,89.146,43.639,5320,132,255,230.736,24.826
