Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,82,255,210.464,39.930,5320,82,254,195.169,32.994,5320,134,255,219.641,24.272
G2,5320,70,252,171.176,37.288,5320,70,240,170.879,36.754,5320,109,255,222.802,31.469
G3,5320,42,189,113.815,29.690,5320,42,189,113.815,29.690,5320,67,255,196.518,49.732
G4,5320,29,136,105.704,27.357,5320,29,136,105.704,27.357,5320,54,246,187.991,50.471
G5,5320,1,123,72.265,22.807,5320,1,123,72.265,22.807,5320,7,245,159.283,47.902
G6,5320,0,77,17.315,18.877,5320,0,77,17.315,18.877,5320,77,255,208.768,31.382
G7,5320,1,132,51.603,38.779,5320,1,132,51.603,38.779,5320,91,255,208.607,32.006
G8,5320,0,125,56.499,45.686,5320,0,125,56.499,45.686,5320,48,255,218.385,43.162
G9,5320,0,76,11.971,18.108,5320,0,76,11.971,18.108,5320,7,255,204.702,44.732
G10,5320,0,170,62.183,47.691,5320,0,170,62.183,47.691,5320,103,255,219.010,43.425
G11,5320,0,65,20.307,17.796,5320,0,65,20.307,17.796,5320,117,255,249.289,10.923
G12,5320,4,55,38.763,9.095,5320,4,55,38.763,9.095,5320,158,255,247.429,14.230
G13,5320,0,55,4.958,11.267,5320,0,55,4.958,11.267,5320,103,255,203.606,39.618
G14,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,53,255,206.460,49.898
G15,5320,0,164,26.495,42.455,5320,0,164,26.495,42.455,5320,82,255,211.017,36.110
G16,5320,74,197,145.177,28.803,5320,53,197,137.490,35.753,5320,53,255,157.750,52.900
G17,5320,14,108,53.801,17.734,5320,14,108,53.801,17.734,5320,61,255,221.904,36.999
G18,5320,0,131,74.117,36.713,5320,0,131,74.117,36.713,5320,100,255,236.919,28.543
G19,5320,0,213,62.306,56.379,5320,0,213,62.306,56.379,5320,31,255,163.736,50.676
G20,5320,0,212,88.440,60.222,5320,0,212,88.440,60.222,5320,13,255,166.980,60.965
G21,5320,26,202,132.556,46.035,5320,26,202,132.434,45.912,5320,145,255,239.943,18.780
G22,5320,44,223,150.067,47.145,5320,39,223,149.165,47.834,5320,39,255,207.391,50.343
G23,5320,109,210,145.612,19.946,5320,109,210,145.612,19.946,5320,205,255,250.105,9.088
G24,5320,73,213,149.975,31.597,5320,73,213,149.975,31.597,5320,119,255,203.157,33.857
G25,5320,0,211,102.758,74.569,5320,0,211,102.758,74.569,5320,50,255,192.976,59.295
G26,5320,0,85,11.402,19.118,5320,0,85,11.402,19.118,5320,152,255,245.819,15.912
G27,5320,18,218,120.338,40.251,5320,18,213,119.855,39.550,5320,129,255,222.843,28.863
G28,5320,121,255,217.570,32.263,5320,99,223,187.656,29.601,5320,99,232,188.681,30.142
G29,5320,102,215,152.432,28.176,5320,102,215,152.431,28.176,5320,143,255,205.820,26.625
G30,5320,0,132,41.055,41.485,5320,0,132,41.055,41.485,5320,89,255,210.233,30.428
G31,5320,0,102,11.755,19.361,5320,0,102,11.755,19.361,5320,62,255,219.871,33.567
G32,5320,18,227,124.995,54.773,5320,18,202,119.872,48.379,5320,37,228,157.213,40.903
G33,5320,73,240,163.390,36.598,5320,63,203,141.097,32.570,5320,65,203,141.109,32.572
G34,5320,73,238,141.770,39.589,5320,38,186,92.270,30.330,5320,38,186,92.270,30.330
G35,5320,30,247,166.062,50.774,5320,0,232,137.195,50.198,5320,0,255,189.245,56.399
G36,5320,10,245,100.123,55.771,5320,10,217,92.108,44.192,5320,34,255,211.002,47.685
G37,5320,108,255,181.807,33.422,5320,108,239,177.199,29.574,5320,140,255,220.451,33.161
G38,5320,179,255,244.590,16.133,5320,108,250,189.399,30.816,5320,108,255,189.955,31.692
G39,5320,40,255,208.708,54.863,5320,0,194,122.916,50.228,5320,0,194,122.916,50.228
G40,5320,3,238,107.139,48.004,5320,0,138,83.474,38.365,5320,0,255,184.906,82.941
G41,5320,84,208,124.506,24.004,5320,84,208,124.506,24.004,5320,203,255,243.161,11.013
G42,5320,126,255,217.968,26.234,5320,105,246,186.575,31.087,5320,105,255,201.133,39.367
G43,5320,52,253,148.383,54.696,5320,52,250,148.269,54.503,5320,114,255,203.916,33.245
G44,5320,61,243,197.161,31.217,5320,53,241,188.326,32.037,5320,53,255,205.591,35.927
G45,5320,114,255,227.633,18.222,5320,98,248,213.273,20.197,5320,98,255,217.520,22.181
G46,5320,23,155,73.652,24.064,5320,23,155,73.652,24.064,5320,177,255,236.731,16.051
