Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,78,255,200.943,48.805,5320,78,248,189.877,41.787,5320,130,255,225.179,21.817
G2,5320,44,239,139.389,36.880,5320,44,234,139.352,36.796,5320,145,255,229.407,24.422
G3,5320,33,188,113.629,30.497,5320,33,188,113.629,30.497,5320,60,255,199.135,47.967
G4,5320,19,133,95.820,31.634,5320,19,133,95.820,31.634,5320,52,250,187.452,51.753
G5,5320,0,105,30.784,32.695,5320,0,105,30.784,32.695,5320,16,243,167.678,51.739
G6,5320,0,80,21.499,21.046,5320,0,80,21.499,21.046,5320,81,255,207.905,33.042
G7,5320,6,136,63.212,35.143,5320,6,136,63.212,35.143,5320,89,255,209.314,32.513
G8,5320,0,126,67.805,43.733,5320,0,126,67.805,43.733,5320,57,255,223.363,39.832
G9,5320,0,81,7.185,16.444,5320,0,81,7.185,16.444,5320,20,255,210.565,42.155
G10,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,132,255,212.568,32.492
G11,5320,4,106,31.967,19.024,5320,4,106,31.967,19.024,5320,162,255,249.770,8.655
G12,5320,24,73,56.864,8.815,5320,24,73,56.864,8.815,5320,171,255,248.169,13.113
G13,5320,1,81,29.780,18.947,5320,1,81,29.780,18.947,5320,131,255,220.055,30.258
G14,5320,0,73,36.203,25.952,5320,0,73,36.203,25.952,5320,69,255,218.927,41.547
G15,5320,0,101,24.889,33.921,5320,0,101,24.889,33.921,5320,58,255,172.571,58.193
G16,5320,0,104,10.536,20.312,5320,0,104,10.536,20.312,5320,54,255,177.730,56.274
G17,5320,20,81,55.962,13.155,5320,20,81,55.962,13.155,5320,74,255,222.150,36.999
G18,5320,0,89,63.769,24.792,5320,0,89,63.769,24.792,5320,95,255,227.771,34.272
G19,5320,0,73,21.400,26.740,5320,0,73,21.400,26.740,5320,89,255,210.443,39.808
G20,5320,0,119,79.578,20.113,5320,0,119,79.578,20.113,5320,88,255,230.770,28.984
G21,5320,10,127,78.130,30.732,5320,10,127,78.130,30.732,5320,45,255,188.430,40.878
G22,5320,17,205,120.351,65.331,5320,17,205,120.351,65.331,5320,37,255,196.755,51.280
G23,5320,0,206,90.574,38.814,5320,0,206,90.574,38.814,5320,176,255,246.465,15.261
G24,5320,0,231,62.307,76.901,5320,0,231,62.307,76.901,5320,24,255,185.575,57.083
G25,5320,0,172,80.020,32.995,5320,0,172,80.020,32.995,5320,47,255,159.914,45.081
G26,5320,0,163,25.242,28.510,5320,0,163,25.242,28.510,5320,53,255,169.601,66.628
G27,5320,0,213,73.112,63.609,5320,0,213,73.112,63.609,5320,93,255,212.001,30.765
G28,5320,100,255,206.176,40.239,5320,88,242,189.471,37.657,5320,88,255,193.958,39.595
G29,5320,108,255,221.494,37.185,5320,83,253,177.389,50.941,5320,83,255,186.021,54.653
G30,5320,30,182,127.976,35.472,5320,30,180,127.723,35.204,5320,81,255,221.280,39.312
G31,5320,19,192,127.886,43.337,5320,19,192,127.886,43.337,5320,62,255,205.294,65.445
G32,5320,19,248,136.316,67.343,5320,19,247,136.120,67.113,5320,55,255,174.312,61.287
G33,5320,77,246,167.207,39.831,5320,77,239,157.705,39.245,5320,82,241,158.192,39.061
G34,5320,72,241,142.317,39.205,5320,49,193,99.637,30.297,5320,49,193,99.637,30.297
G35,5320,8,167,54.635,26.955,5320,8,165,54.192,25.980,5320,72,255,174.720,33.149
G36,5320,35,150,74.705,22.707,5320,35,150,74.705,22.707,5320,126,255,223.963,39.337
G37,5320,67,237,143.045,51.467,5320,67,236,143.040,51.459,5320,181,255,232.665,18.537
G38,5320,162,255,239.660,18.613,5320,93,239,197.969,30.541,5320,93,250,201.483,33.143
G39,5320,0,255,199.579,64.356,5320,0,213,124.761,53.357,5320,9,244,132.363,52.694
G40,5320,13,83,54.763,16.458,5320,13,83,54.763,16.458,5320,126,255,206.850,34.752
G41,5320,40,158,67.970,14.970,5320,40,158,67.970,14.970,5320,162,255,219.109,27.170
G42,5320,84,255,214.344,32.028,5320,69,240,186.098,32.559,5320,69,255,201.367,36.377
G43,5320,49,219,139.262,38.228,5320,49,219,139.262,38.228,5320,122,255,218.716,26.005
G44,5320,56,243,195.091,29.558,5320,45,238,184.950,30.388,5320,45,255,201.729,36.295
G45,5320,117,255,226.333,18.396,5320,98,247,212.155,20.040,5320,98,255,217.452,22.079
G46,5320,30,165,82.478,24.669,5320,30,165,82.478,24.669,5320,184,255,238.136,14.462
