Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,78,255,200.214,46.213,5320,78,251,189.263,39.955,5320,131,255,222.317,23.398
G2,5320,44,233,128.257,37.895,5320,44,219,128.084,37.501,5320,117,255,222.306,32.083
G3,5320,41,181,115.142,29.351,5320,41,181,115.142,29.351,5320,60,254,200.591,47.034
G4,5320,17,134,97.856,29.641,5320,17,134,97.856,29.641,5320,52,245,188.943,49.952
G5,5320,0,107,30.034,31.970,5320,0,107,30.034,31.970,5320,24,255,179.877,56.612
G6,5320,0,89,23.202,22.566,5320,0,89,23.202,22.566,5320,74,255,208.946,32.649
G7,5320,5,135,64.705,35.511,5320,5,135,64.705,35.511,5320,105,255,209.936,33.006
G8,5320,0,126,66.214,46.197,5320,0,126,66.214,46.197,5320,65,255,221.134,41.817
G9,5320,0,75,5.568,14.279,5320,0,75,5.568,14.279,5320,24,255,201.245,45.009
G10,5320,0,167,41.513,55.465,5320,0,167,41.513,55.465,5320,84,255,178.121,46.587
G11,5320,0,74,24.044,20.196,5320,0,74,24.044,20.196,5320,107,255,249.924,9.874
G12,5320,22,79,62.004,11.219,5320,22,79,62.004,11.219,5320,156,255,247.819,14.482
G13,5320,0,98,17.743,24.654,5320,0,98,17.743,24.654,5320,119,255,211.308,34.762
G14,5320,0,123,26.265,42.917,5320,0,123,26.265,42.917,5320,54,255,207.600,47.528
G15,5320,0,234,140.372,63.923,5320,0,234,140.372,63.923,5320,121,255,219.093,30.917
G16,5320,133,226,178.835,20.002,5320,130,226,178.690,20.022,5320,137,247,196.602,25.170
G17,5320,17,131,67.897,20.412,5320,17,131,67.897,20.412,5320,64,255,223.661,36.940
G18,5320,6,192,113.673,34.671,5320,6,192,113.673,34.671,5320,106,255,228.148,35.424
G19,5320,0,196,60.187,54.340,5320,0,196,60.187,54.340,5320,53,255,170.469,53.943
G20,5320,0,236,134.258,69.989,5320,0,236,134.258,69.989,5320,89,255,214.392,33.369
G21,5320,156,224,208.436,9.585,5320,156,224,208.436,9.585,5320,175,255,237.621,9.914
G22,5320,66,238,190.995,37.428,5320,65,238,190.895,37.503,5320,67,255,211.534,41.201
G23,5320,133,234,173.513,18.562,5320,133,230,173.280,18.136,5320,193,255,245.925,12.991
G24,5320,108,254,211.306,32.794,5320,108,254,203.787,28.416,5320,176,255,225.331,18.024
G25,5320,101,254,231.704,28.677,5320,101,254,231.692,28.668,5320,169,255,247.166,15.764
G26,5320,110,250,195.024,25.965,5320,110,250,195.024,25.965,5320,128,255,224.320,27.024
G27,5320,87,243,174.268,33.255,5320,87,209,164.725,26.953,5320,97,255,185.827,35.046
G28,5320,110,255,213.327,36.793,5320,77,187,155.386,27.110,5320,77,187,155.386,27.110
G29,5320,108,253,166.577,39.166,5320,108,253,162.634,37.348,5320,112,255,182.931,40.168
G30,5320,109,249,163.734,32.869,5320,109,249,163.734,32.869,5320,189,255,233.636,17.439
G31,5320,58,209,146.831,26.303,5320,58,209,146.830,26.304,5320,67,255,222.630,37.397
G32,5320,43,228,149.057,44.164,5320,37,188,130.049,33.963,5320,37,195,134.727,34.282
G33,5320,73,243,165.610,37.199,5320,49,190,127.222,31.627,5320,49,190,127.222,31.627
G34,5320,65,240,142.593,38.126,5320,37,180,89.579,28.536,5320,37,180,89.579,28.536
G35,5320,123,245,186.126,36.133,5320,11,238,163.805,41.629,5320,11,253,194.073,45.380
G36,5320,12,228,138.144,36.451,5320,12,211,133.348,37.794,5320,25,255,206.725,44.792
G37,5320,121,255,191.914,30.689,5320,121,240,182.023,27.833,5320,143,255,215.499,36.394
G38,5320,181,255,243.975,17.371,5320,105,249,181.235,30.177,5320,105,255,181.730,31.053
G39,5320,3,255,206.161,59.389,5320,0,186,119.512,49.676,5320,0,193,119.847,49.468
G40,5320,8,255,113.308,45.815,5320,8,143,93.823,34.710,5320,24,255,187.276,76.385
G41,5320,70,217,112.387,24.436,5320,70,217,112.387,24.436,5320,182,255,237.537,17.895
G42,5320,78,255,213.434,33.840,5320,63,247,178.512,32.646,5320,63,255,195.521,39.732
G43,5320,59,255,153.872,54.479,5320,59,240,152.298,52.280,5320,121,255,202.999,30.876
G44,5320,56,246,191.969,35.616,5320,46,245,181.972,36.325,5320,46,255,197.819,39.272
G45,5320,101,255,228.998,16.660,5320,82,248,210.698,21.139,5320,82,255,213.369,23.247
G46,5320,36,160,82.854,21.695,5320,36,160,82.854,21.695,5320,87,255,234.696,15.667
