Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,55,255,177.843,55.384,5320,55,251,173.089,51.246,5320,127,255,227.847,20.299
G2,5320,18,219,94.994,38.611,5320,18,219,94.994,38.611,5320,130,255,227.168,26.655
G3,5320,26,151,76.420,21.690,5320,26,151,76.420,21.690,5320,61,252,195.351,46.385
G4,5320,9,79,53.191,18.261,5320,9,79,53.191,18.261,5320,50,242,174.674,45.406
G5,5320,0,56,7.019,13.132,5320,0,56,7.019,13.132,5320,35,255,148.716,51.591
G6,5320,0,50,7.169,11.787,5320,0,50,7.169,11.787,5320,76,249,208.511,31.214
G7,5320,0,63,12.608,17.971,5320,0,63,12.608,17.971,5320,104,255,205.387,28.559
G8,5320,0,57,11.545,16.884,5320,0,57,11.545,16.884,5320,111,255,237.991,23.084
G9,5320,0,10,0.070,0.515,5320,0,10,0.070,0.515,5320,43,232,161.508,45.121
G10,5320,0,29,1.120,3.800,5320,0,29,1.120,3.800,5320,51,203,141.105,38.395
G11,5320,0,49,5.061,10.386,5320,0,49,5.061,10.386,5320,118,255,248.798,10.929
G12,5320,0,5,0.027,0.230,5320,0,5,0.027,0.230,5320,84,255,241.628,20.850
G13,5320,0,37,9.588,10.546,5320,0,37,9.588,10.546,5320,104,255,224.700,23.560
G14,5320,0,60,10.736,12.777,5320,0,60,10.736,12.777,5320,153,255,223.219,20.369
G15,5320,0,153,74.703,40.120,5320,0,153,74.703,40.120,5320,48,255,212.613,43.758
G16,5320,0,154,22.087,40.363,5320,0,154,22.087,40.363,5320,44,255,129.045,51.051
G17,5320,0,45,6.810,9.923,5320,0,45,6.810,9.923,5320,62,255,223.857,37.129
G18,5320,0,39,7.118,10.404,5320,0,39,7.118,10.404,5320,45,255,215.028,40.588
G19,5320,0,14,0.462,1.869,5320,0,14,0.462,1.869,5320,48,244,178.631,44.501
G20,5320,0,150,68.113,55.148,5320,0,150,68.113,55.148,5320,69,255,225.712,33.743
G21,5320,28,152,99.580,27.047,5320,28,152,99.580,27.047,5320,77,255,221.645,42.392
G22,5320,24,216,123.611,61.450,5320,24,216,123.610,61.450,5320,47,255,188.653,56.095
G23,5320,0,226,85.314,53.407,5320,0,214,85.194,53.129,5320,70,255,244.484,20.164
G24,5320,0,227,29.171,50.986,5320,0,215,29.041,50.528,5320,21,255,165.596,57.453
G25,5320,0,163,81.156,41.449,5320,0,163,81.156,41.449,5320,26,255,208.329,39.354
G26,5320,42,250,154.553,53.947,5320,42,247,154.452,53.790,5320,96,255,219.560,36.770
G27,5320,79,255,218.761,31.266,5320,79,250,190.602,35.865,5320,109,255,209.527,41.637
G28,5320,97,255,215.464,38.105,5320,74,211,166.629,29.909,5320,74,211,166.740,29.981
G29,5320,69,255,213.734,39.618,5320,0,243,128.005,70.450,5320,0,255,143.543,81.507
G30,5320,64,236,150.968,33.407,5320,64,227,149.748,31.443,5320,121,255,209.533,35.044
G31,5320,74,255,198.129,32.539,5320,74,246,197.332,31.471,5320,85,255,243.539,25.783
G32,5320,79,255,186.727,37.791,5320,60,242,154.792,39.942,5320,60,247,155.135,40.005
G33,5320,86,253,164.821,39.814,5320,53,196,126.249,31.725,5320,53,196,126.249,31.725
G34,5320,76,248,142.552,47.813,5320,37,179,87.662,34.545,5320,37,179,87.662,34.545
G35,5320,79,224,159.721,25.637,5320,73,204,154.829,23.424,5320,73,255,203.798,25.984
G36,5320,0,199,73.622,63.347,5320,0,199,73.619,63.344,5320,69,255,204.267,42.658
G37,5320,131,255,216.640,31.547,5320,122,249,196.661,35.520,5320,122,255,203.085,39.982
G38,5320,163,255,244.252,20.323,5320,76,217,155.117,27.106,5320,76,217,155.117,27.106
G39,5320,0,255,203.218,61.108,5320,0,180,108.659,50.532,5320,0,246,110.593,50.380
G40,5320,0,184,113.787,46.259,5320,0,184,113.787,46.259,5320,32,255,198.175,47.935
G41,5320,127,251,182.070,33.516,5320,127,250,180.871,31.582,5320,160,255,228.393,25.007
G42,5320,91,255,229.468,23.445,5320,70,245,173.662,35.853,5320,70,250,174.083,36.393
G43,5320,111,223,178.468,18.723,5320,111,223,178.468,18.723,5320,141,255,223.589,23.614
G44,5320,59,255,205.272,30.955,5320,45,253,191.504,34.565,5320,45,255,195.577,37.082
G45,5320,110,255,226.566,19.439,5320,99,250,212.730,19.069,5320,99,255,216.772,19.439
G46,5320,12,143,56.976,24.102,5320,12,143,56.976,24.102,5320,89,255,237.452,15.741
