Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,67,255,203.848,46.319,5320,67,253,191.073,37.872,5320,122,255,229.166,21.260
G2,5320,25,232,115.381,39.619,5320,25,226,115.345,39.521,5320,59,255,216.345,39.530
G3,5320,44,183,103.235,23.176,5320,44,183,103.235,23.176,5320,68,255,197.877,44.490
G4,5320,13,94,60.259,18.076,5320,13,94,60.259,18.076,5320,57,243,172.716,39.775
G5,5320,0,143,26.712,27.300,5320,0,143,26.712,27.300,5320,36,255,168.822,55.655
G6,5320,8,95,34.172,15.619,5320,8,95,34.172,15.619,5320,128,251,217.977,16.058
G7,5320,3,121,55.375,23.458,5320,3,121,55.375,23.458,5320,109,255,204.631,24.741
G8,5320,0,90,40.002,28.385,5320,0,90,40.002,28.385,5320,53,255,196.004,44.092
G9,5320,0,36,2.455,6.791,5320,0,36,2.455,6.791,5320,14,255,180.085,45.674
G10,5320,0,4,0.035,0.314,5320,0,4,0.035,0.314,5320,83,233,166.513,39.555
G11,5320,11,105,35.193,13.332,5320,11,105,35.193,13.332,5320,110,255,241.253,16.628
G12,5320,3,53,33.016,13.573,5320,3,53,33.016,13.573,5320,199,255,251.109,8.242
G13,5320,0,57,4.696,8.342,5320,0,57,4.696,8.342,5320,154,255,233.383,25.275
G14,5320,0,124,52.085,40.447,5320,0,124,52.085,40.447,5320,184,255,244.198,13.038
G15,5320,0,132,52.501,38.583,5320,0,132,52.501,38.583,5320,83,255,226.168,37.746
G16,5320,0,177,61.821,56.529,5320,0,177,61.821,56.529,5320,106,255,197.172,36.159
G17,5320,0,93,32.839,22.960,5320,0,93,32.839,22.960,5320,112,255,222.340,33.040
G18,5320,10,112,77.464,24.671,5320,10,112,77.464,24.671,5320,151,255,220.861,21.388
G19,5320,0,122,37.647,43.481,5320,0,122,37.647,43.481,5320,45,255,194.762,41.439
G20,5320,0,191,142.203,49.575,5320,0,191,142.203,49.575,5320,74,255,236.895,29.908
G21,5320,84,183,160.220,15.077,5320,84,183,160.220,15.077,5320,217,255,249.770,6.085
G22,5320,47,221,161.866,36.334,5320,47,221,161.703,36.312,5320,68,255,211.507,41.384
G23,5320,71,174,113.659,18.502,5320,71,174,113.659,18.502,5320,175,255,242.817,14.899
G24,5320,0,230,98.993,83.380,5320,0,230,98.993,83.380,5320,62,255,183.547,55.763
G25,5320,0,216,144.840,37.760,5320,0,216,144.840,37.760,5320,79,255,213.764,39.789
G26,5320,0,175,91.356,55.313,5320,0,175,91.356,55.313,5320,29,253,165.757,58.605
G27,5320,0,254,120.415,94.758,5320,0,217,99.575,75.894,5320,23,255,183.461,40.208
G28,5320,84,255,210.927,40.276,5320,53,189,138.596,33.653,5320,53,189,138.596,33.653
G29,5320,41,215,110.793,51.323,5320,41,215,110.793,51.323,5320,61,255,180.802,43.617
G30,5320,0,178,59.155,33.277,5320,0,178,59.155,33.277,5320,94,255,238.545,28.610
G31,5320,0,125,53.690,41.816,5320,0,125,53.690,41.816,5320,67,255,214.889,57.962
G32,5320,9,230,130.799,58.880,5320,9,208,118.360,50.574,5320,24,222,146.335,44.634
G33,5320,54,255,165.776,43.794,5320,28,206,117.265,40.137,5320,28,206,117.265,40.137
G34,5320,80,249,145.048,31.723,5320,39,176,74.376,25.048,5320,39,176,74.376,25.048
G35,5320,0,163,40.863,45.748,5320,0,163,40.863,45.748,5320,95,255,201.275,37.030
G36,5320,0,162,14.300,34.882,5320,0,162,14.300,34.882,5320,37,255,203.008,56.996
G37,5320,0,254,132.883,79.555,5320,0,243,130.665,76.727,5320,78,255,213.695,44.144
G38,5320,146,255,242.454,16.615,5320,111,237,175.157,26.815,5320,111,240,178.519,30.416
G39,5320,45,255,207.631,56.017,5320,15,181,129.430,41.726,5320,15,186,130.314,41.667
G40,5320,0,165,54.758,42.160,5320,0,165,54.758,42.160,5320,10,255,178.050,61.723
G41,5320,0,142,89.269,22.341,5320,0,142,89.269,22.341,5320,125,255,219.570,31.941
G42,5320,79,255,207.208,36.360,5320,73,243,177.676,33.717,5320,73,255,198.538,39.255
G43,5320,43,244,121.189,53.320,5320,43,244,121.189,53.320,5320,94,254,214.196,36.002
G44,5320,61,223,178.627,32.405,5320,58,216,175.869,31.208,5320,58,255,213.298,33.320
G45,5320,156,245,217.649,17.835,5320,156,239,213.332,16.568,5320,160,255,230.383,16.698
G46,5320,42,180,87.305,33.287,5320,42,180,87.305,33.287,5320,107,255,238.855,20.067
