Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,110,255,220.708,25.973,5320,91,241,167.277,37.766,5320,91,242,167.691,37.960
G2,5320,56,255,214.333,41.883,5320,52,173,139.195,25.043,5320,52,173,139.196,25.041
G3,5320,53,210,152.974,26.593,5320,53,205,152.343,27.064,5320,76,255,192.619,41.546
G4,5320,56,188,134.879,28.922,5320,42,188,131.077,32.717,5320,42,248,172.372,50.847
G5,5320,32,255,186.413,58.794,5320,13,216,107.504,57.591,5320,13,251,115.623,68.807
G6,5320,27,128,60.923,23.164,5320,27,128,60.923,23.164,5320,90,255,220.221,27.021
G7,5320,36,181,120.288,28.517,5320,36,181,120.288,28.517,5320,115,255,208.555,22.466
G8,5320,31,233,140.802,25.788,5320,21,216,138.345,27.467,5320,21,255,186.792,46.614
G9,5320,27,242,146.200,54.224,5320,16,226,105.903,45.919,5320,16,232,106.921,47.423
G10,5320,57,255,192.052,45.481,5320,24,249,158.143,58.114,5320,24,255,160.632,60.793
G11,5320,31,102,67.063,18.903,5320,31,102,67.063,18.903,5320,128,255,239.242,18.226
G12,5320,72,173,116.390,22.132,5320,72,173,116.390,22.132,5320,186,255,248.903,10.430
G13,5320,106,255,192.216,34.756,5320,106,246,190.708,33.173,5320,124,255,225.420,28.515
G14,5320,64,255,226.011,42.518,5320,33,239,171.346,49.519,5320,33,250,172.691,49.997
G15,5320,45,255,201.582,51.249,5320,21,179,78.773,39.348,5320,21,179,78.773,39.348
G16,5320,148,240,205.683,21.598,5320,16,101,43.845,19.722,5320,16,101,43.845,19.722
G17,5320,31,136,79.086,23.451,5320,31,136,79.086,23.451,5320,80,255,227.633,33.677
G18,5320,83,255,156.904,30.844,5320,83,237,156.036,29.130,5320,171,255,233.675,17.143
G19,5320,0,255,117.345,105.587,5320,0,252,112.361,99.805,5320,56,255,215.237,40.206
G20,5320,0,255,204.847,58.085,5320,0,236,159.010,45.579,5320,86,255,181.485,39.582
G21,5320,178,255,223.167,15.520,5320,38,245,143.330,62.602,5320,38,255,147.530,67.750
G22,5320,65,255,203.516,36.596,5320,57,254,183.189,52.018,5320,57,254,184.111,52.269
G23,5320,77,166,128.824,15.383,5320,77,166,128.824,15.383,5320,184,255,241.884,14.314
G24,5320,0,166,71.023,65.295,5320,0,166,71.023,65.295,5320,60,255,179.276,57.638
G25,5320,0,209,113.299,41.403,5320,0,209,113.299,41.403,5320,65,254,184.698,31.478
G26,5320,145,246,180.828,20.538,5320,145,240,179.504,20.036,5320,154,255,216.466,26.071
G27,5320,155,255,231.034,19.937,5320,53,234,151.455,44.494,5320,53,255,155.502,49.869
G28,5320,75,255,210.854,40.071,5320,30,144,100.944,30.550,5320,30,144,100.944,30.550
G29,5320,29,177,113.328,38.339,5320,29,177,113.328,38.339,5320,47,251,168.285,49.584
G30,5320,49,201,133.436,24.551,5320,49,201,133.436,24.551,5320,91,255,219.677,34.712
G31,5320,39,237,167.480,43.053,5320,39,237,161.880,40.042,5320,130,255,222.284,29.549
G32,5320,39,255,175.718,45.340,5320,13,223,117.096,35.158,5320,13,224,119.715,37.563
G33,5320,50,255,166.156,44.537,5320,10,181,93.358,37.932,5320,10,181,93.358,37.932
G34,5320,80,254,144.712,34.374,5320,30,161,62.207,25.961,5320,30,161,62.207,25.961
G35,5320,96,254,170.180,39.197,5320,74,252,156.074,30.993,5320,74,255,220.730,36.462
G36,5320,2,215,69.960,48.879,5320,2,197,69.827,48.568,5320,45,255,200.039,52.069
G37,5320,5,255,168.198,74.473,5320,5,248,156.858,64.574,5320,104,255,202.613,39.210
G38,5320,191,255,244.292,10.427,5320,97,218,152.164,26.148,5320,97,234,152.868,27.575
G39,5320,43,255,208.248,55.857,5320,13,189,118.224,39.431,5320,13,190,118.655,39.521
G40,5320,0,230,96.179,44.745,5320,0,197,94.209,44.379,5320,0,255,187.324,73.439
G41,5320,19,223,140.149,34.185,5320,19,220,140.144,34.174,5320,105,255,238.580,22.261
G42,5320,129,255,231.170,16.570,5320,101,242,188.956,32.216,5320,101,255,196.329,39.310
G43,5320,54,255,139.749,42.553,5320,54,217,137.881,39.229,5320,97,255,211.259,34.569
G44,5320,73,241,200.885,29.956,5320,66,241,195.145,29.526,5320,66,255,219.560,31.677
G45,5320,180,251,228.109,14.308,5320,149,248,218.973,16.202,5320,149,255,227.313,19.801
G46,5320,56,234,141.402,46.332,5320,56,233,141.372,46.287,5320,185,255,240.338,17.347
