Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,86,255,210.530,42.275,5320,86,245,192.954,34.570,5320,130,255,218.122,24.676
G2,5320,74,252,169.969,36.230,5320,74,242,169.792,35.901,5320,133,255,227.461,28.231
G3,5320,39,202,128.281,33.048,5320,39,202,128.281,33.048,5320,53,255,200.279,49.041
G4,5320,29,155,119.439,34.184,5320,29,155,119.439,34.184,5320,56,245,189.245,50.384
G5,5320,16,174,70.154,34.531,5320,16,174,70.154,34.531,5320,38,248,157.544,48.134
G6,5320,8,100,33.522,21.558,5320,8,100,33.522,21.558,5320,81,255,208.877,33.350
G7,5320,18,153,80.015,36.969,5320,18,153,80.015,36.969,5320,105,255,209.995,32.468
G8,5320,0,151,89.335,56.526,5320,0,151,89.335,56.526,5320,33,255,220.548,43.880
G9,5320,0,115,25.761,28.403,5320,0,115,25.761,28.403,5320,25,255,203.611,50.206
G10,5320,24,255,113.185,65.454,5320,24,220,107.074,56.213,5320,56,255,158.839,48.103
G11,5320,10,92,40.939,21.170,5320,10,92,40.939,21.170,5320,147,255,249.862,8.246
G12,5320,41,100,81.489,12.026,5320,41,100,81.489,12.026,5320,160,255,248.056,14.087
G13,5320,0,122,35.472,33.610,5320,0,122,35.472,33.610,5320,154,255,215.820,27.065
G14,5320,0,245,123.525,85.050,5320,0,244,123.459,84.963,5320,128,255,221.523,35.285
G15,5320,23,244,156.375,53.849,5320,23,244,156.291,53.736,5320,49,255,187.704,44.926
G16,5320,42,245,166.486,38.706,5320,42,240,161.279,36.588,5320,64,255,198.720,42.581
G17,5320,25,110,81.334,14.793,5320,25,110,81.334,14.793,5320,68,255,220.242,32.587
G18,5320,81,211,118.729,20.803,5320,81,211,118.729,20.803,5320,132,255,209.382,28.353
G19,5320,97,240,186.702,33.693,5320,97,240,183.415,32.062,5320,149,255,200.580,22.884
G20,5320,117,255,213.510,42.281,5320,117,250,207.420,37.859,5320,128,250,212.811,31.335
G21,5320,121,255,197.565,42.212,5320,105,244,187.619,33.415,5320,105,244,193.092,28.854
G22,5320,60,255,193.207,54.847,5320,43,252,180.996,57.469,5320,43,252,181.037,57.501
G23,5320,90,255,196.359,46.479,5320,64,251,177.701,42.632,5320,64,254,198.258,35.483
G24,5320,178,255,226.957,22.247,5320,86,248,165.561,29.503,5320,86,250,165.685,29.761
G25,5320,178,255,232.502,22.184,5320,81,236,164.849,41.171,5320,81,236,164.849,41.171
G26,5320,214,255,253.237,5.369,5320,93,219,167.931,32.205,5320,93,219,167.931,32.205
G27,5320,125,255,218.480,29.044,5320,72,217,140.840,31.094,5320,72,217,140.840,31.094
G28,5320,114,255,217.049,34.290,5320,59,149,115.268,24.780,5320,59,149,115.268,24.780
G29,5320,160,255,227.304,20.451,5320,0,115,20.189,29.255,5320,0,115,20.189,29.255
G30,5320,188,255,234.748,17.815,5320,0,122,42.228,31.723,5320,0,122,42.228,31.723
G31,5320,66,255,229.668,21.285,5320,17,133,72.452,27.245,5320,17,133,72.452,27.245
G32,5320,42,236,177.033,45.500,5320,18,133,83.823,25.092,5320,18,133,83.823,25.092
G33,5320,70,245,165.289,36.544,5320,25,153,93.221,25.432,5320,25,153,93.221,25.432
G34,5320,78,244,140.428,39.876,5320,36,147,72.765,25.094,5320,36,147,72.765,25.094
G35,5320,52,246,171.745,45.021,5320,0,55,22.121,13.795,5320,0,55,22.121,13.795
G36,5320,48,255,181.917,59.265,5320,0,188,32.794,43.892,5320,0,188,32.794,43.892
G37,5320,150,255,224.401,28.479,5320,91,192,146.721,29.612,5320,91,192,146.721,29.612
G38,5320,175,255,245.229,16.504,5320,66,159,121.871,21.261,5320,66,159,121.871,21.261
G39,5320,44,255,207.040,57.637,5320,0,148,93.675,42.317,5320,0,148,93.675,42.317
G40,5320,79,239,157.024,24.847,5320,0,191,63.956,54.063,5320,0,191,63.963,54.077
G41,5320,91,255,215.327,32.253,5320,2,246,168.447,37.117,5320,2,246,168.447,37.117
G42,5320,90,255,229.387,23.865,5320,62,213,141.289,29.003,5320,62,213,141.289,29.003
G43,5320,65,255,213.378,31.106,5320,63,246,202.084,30.552,5320,63,246,202.173,30.546
G44,5320,65,255,211.130,31.534,5320,44,231,168.490,33.125,5320,44,231,168.490,33.125
G45,5320,104,255,230.841,17.071,5320,74,233,190.619,19.589,5320,74,233,190.619,19.589
G46,5320,37,171,95.911,25.397,5320,37,171,95.911,25.397,5320,87,255,238.750,14.499
