Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,64,255,199.385,47.656,5320,64,249,189.951,41.785,5320,126,255,225.437,24.333
G2,5320,27,240,139.298,37.843,5320,27,240,139.298,37.843,5320,56,255,220.795,37.844
G3,5320,38,181,109.057,26.477,5320,38,181,109.057,26.477,5320,56,253,194.649,47.940
G4,5320,18,119,89.957,24.491,5320,18,119,89.957,24.491,5320,47,249,187.055,47.197
G5,5320,0,163,88.128,52.782,5320,0,163,88.128,52.782,5320,33,255,169.349,55.595
G6,5320,0,80,20.842,20.029,5320,0,80,20.842,20.029,5320,73,246,205.660,33.023
G7,5320,1,121,59.753,32.656,5320,1,121,59.753,32.656,5320,101,255,208.716,31.416
G8,5320,0,117,39.180,41.632,5320,0,117,39.180,41.632,5320,81,255,209.395,44.568
G9,5320,0,161,4.555,14.199,5320,0,161,4.555,14.199,5320,60,255,186.903,50.553
G10,5320,0,149,28.004,28.143,5320,0,149,28.004,28.143,5320,33,244,129.070,43.713
G11,5320,1,99,34.350,24.530,5320,1,99,34.350,24.530,5320,131,255,250.087,8.637
G12,5320,22,99,73.705,17.667,5320,22,99,73.705,17.667,5320,178,255,249.459,10.276
G13,5320,0,115,22.457,26.759,5320,0,115,22.457,26.759,5320,172,255,233.485,23.655
G14,5320,0,134,60.372,32.613,5320,0,134,60.372,32.613,5320,75,255,219.145,36.194
G15,5320,13,111,75.008,23.581,5320,13,111,75.008,23.581,5320,71,255,217.703,39.743
G16,5320,39,148,103.457,25.414,5320,39,148,103.457,25.414,5320,90,255,210.063,32.630
G17,5320,29,237,108.770,35.787,5320,29,224,108.551,35.112,5320,65,255,223.855,35.913
G18,5320,54,255,176.921,50.321,5320,54,229,156.541,43.491,5320,97,255,211.177,48.686
G19,5320,61,255,174.196,60.282,5320,61,218,141.464,33.169,5320,99,255,180.660,40.791
G20,5320,28,255,188.567,57.148,5320,28,232,164.495,43.466,5320,38,255,199.942,33.751
G21,5320,11,223,126.261,47.346,5320,11,223,126.248,47.329,5320,14,255,165.756,48.559
G22,5320,14,231,176.458,57.041,5320,14,231,176.457,57.041,5320,18,255,209.932,57.038
G23,5320,213,255,250.473,7.610,5320,79,213,130.485,25.480,5320,79,224,130.516,25.581
G24,5320,210,255,246.129,11.927,5320,11,133,69.488,31.764,5320,11,133,69.488,31.764
G25,5320,47,255,199.105,48.799,5320,15,225,99.111,62.161,5320,15,236,104.848,68.511
G26,5320,131,255,221.215,26.904,5320,131,249,216.775,24.220,5320,156,255,225.952,20.024
G27,5320,147,255,214.466,22.814,5320,93,227,185.561,34.884,5320,93,244,188.370,37.316
G28,5320,104,255,212.027,36.962,5320,67,190,150.511,27.624,5320,67,190,150.513,27.624
G29,5320,84,255,199.960,44.920,5320,17,237,98.702,53.092,5320,17,247,98.863,53.468
G30,5320,69,253,172.107,34.146,5320,10,227,127.549,69.771,5320,10,255,138.758,80.761
G31,5320,60,255,204.327,41.643,5320,59,244,197.198,36.827,5320,62,248,213.322,23.677
G32,5320,154,255,220.429,26.557,5320,93,222,153.377,26.343,5320,93,222,153.377,26.343
G33,5320,80,244,169.142,35.164,5320,58,186,120.896,25.856,5320,58,186,120.896,25.856
G34,5320,75,241,140.555,40.323,5320,42,176,86.277,28.482,5320,42,176,86.277,28.482
G35,5320,90,253,191.629,38.501,5320,90,235,180.683,31.525,5320,132,255,225.295,28.624
G36,5320,5,200,111.515,33.104,5320,5,200,111.458,33.025,5320,12,255,214.706,42.854
G37,5320,145,255,196.139,28.917,5320,111,251,180.704,33.993,5320,111,255,208.592,46.815
G38,5320,172,255,241.687,21.889,5320,101,228,168.987,29.132,5320,101,247,169.321,29.815
G39,5320,0,255,206.078,59.049,5320,0,182,117.966,47.687,5320,0,232,119.933,46.685
G40,5320,7,167,102.640,28.222,5320,7,165,102.548,28.256,5320,19,255,204.914,56.528
G41,5320,78,211,118.455,26.040,5320,78,211,118.455,26.040,5320,204,255,242.527,12.299
G42,5320,105,255,218.815,28.421,5320,88,251,183.164,34.592,5320,88,255,196.715,42.114
G43,5320,41,220,130.013,41.309,5320,41,220,130.013,41.309,5320,110,255,210.471,30.857
G44,5320,61,235,186.731,29.662,5320,55,234,182.079,29.425,5320,55,255,206.381,34.440
G45,5320,132,254,215.208,23.922,5320,122,248,208.942,24.024,5320,123,255,222.039,23.134
G46,5320,30,156,78.149,23.728,5320,30,156,78.149,23.728,5320,76,255,236.591,18.424
