Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,83,255,201.645,47.498,5320,83,251,188.489,39.366,5320,137,255,222.649,20.656
G2,5320,53,248,144.433,38.907,5320,53,244,144.341,38.706,5320,139,255,227.774,28.152
G3,5320,34,187,119.397,33.614,5320,34,187,119.397,33.614,5320,49,255,199.805,48.937
G4,5320,20,146,109.720,33.381,5320,20,146,109.720,33.381,5320,52,247,189.820,48.998
G5,5320,0,129,37.081,43.918,5320,0,129,37.081,43.918,5320,39,242,149.635,57.641
G6,5320,7,100,31.455,17.508,5320,7,100,31.455,17.508,5320,82,255,212.678,30.884
G7,5320,17,148,88.433,32.718,5320,17,148,88.433,32.718,5320,96,255,210.684,33.853
G8,5320,36,166,122.925,24.188,5320,36,166,122.925,24.188,5320,64,255,227.112,38.642
G9,5320,10,201,100.977,50.579,5320,10,201,100.960,50.548,5320,34,255,210.737,46.545
G10,5320,0,201,54.256,52.533,5320,0,201,54.254,52.528,5320,70,255,162.019,44.330
G11,5320,15,143,51.038,23.327,5320,15,143,51.038,23.327,5320,151,255,250.758,7.881
G12,5320,46,137,103.014,17.645,5320,46,137,103.014,17.645,5320,148,255,247.443,15.245
G13,5320,88,225,151.139,28.127,5320,88,225,150.648,27.438,5320,135,255,213.424,31.261
G14,5320,169,255,235.016,20.488,5320,138,253,199.676,24.452,5320,138,255,208.026,31.409
G15,5320,49,233,152.428,47.680,5320,49,232,144.309,43.885,5320,63,242,176.125,44.221
G16,5320,32,218,101.574,30.190,5320,32,218,101.573,30.188,5320,50,255,190.175,57.398
G17,5320,24,130,89.500,19.388,5320,24,130,89.500,19.388,5320,62,255,220.161,37.750
G18,5320,48,196,147.250,28.239,5320,48,195,146.007,27.569,5320,68,255,221.614,43.319
G19,5320,0,255,149.249,92.189,5320,0,245,119.321,67.909,5320,66,245,169.364,33.649
G20,5320,0,251,185.485,67.445,5320,0,237,161.949,59.902,5320,90,252,185.293,29.497
G21,5320,34,234,160.114,46.613,5320,34,232,159.651,46.058,5320,46,253,190.620,42.412
G22,5320,7,234,152.807,57.607,5320,7,234,152.806,57.606,5320,12,255,185.484,59.730
G23,5320,66,165,132.491,14.601,5320,66,165,132.491,14.601,5320,94,255,242.760,25.573
G24,5320,0,168,48.995,56.078,5320,0,168,48.995,56.078,5320,42,255,159.788,58.320
G25,5320,0,235,40.394,65.129,5320,0,235,40.366,65.069,5320,41,255,181.225,63.236
G26,5320,0,228,157.941,38.769,5320,0,228,157.941,38.769,5320,112,255,219.195,28.651
G27,5320,115,255,213.589,30.781,5320,115,238,200.846,24.904,5320,128,255,222.705,25.747
G28,5320,105,255,217.352,36.026,5320,76,230,166.783,30.222,5320,76,230,166.791,30.221
G29,5320,0,161,80.236,36.225,5320,0,161,80.236,36.225,5320,63,255,170.576,48.290
G30,5320,0,87,18.955,23.337,5320,0,87,18.955,23.337,5320,54,255,187.891,41.649
G31,5320,0,188,12.381,30.573,5320,0,188,12.381,30.573,5320,66,255,207.255,36.207
G32,5320,1,241,158.385,54.144,5320,1,231,142.586,46.258,5320,38,255,171.462,43.721
G33,5320,69,245,165.961,38.487,5320,48,193,132.324,32.453,5320,48,193,132.324,32.453
G34,5320,76,241,140.661,34.353,5320,42,178,87.384,27.599,5320,42,178,87.384,27.599
G35,5320,0,39,2.101,6.527,5320,0,39,2.101,6.527,5320,33,236,158.363,52.969
G36,5320,0,164,18.204,41.191,5320,0,164,18.204,41.191,5320,42,253,158.091,48.265
G37,5320,108,255,206.814,32.435,5320,108,250,192.757,28.214,5320,140,255,209.462,31.981
G38,5320,173,255,246.007,14.982,5320,90,223,165.532,28.234,5320,90,223,165.532,28.234
G39,5320,39,255,208.887,57.048,5320,1,183,113.944,47.459,5320,1,183,113.944,47.459
G40,5320,0,154,71.413,45.093,5320,0,154,71.413,45.093,5320,73,255,216.038,50.159
G41,5320,57,250,161.332,39.753,5320,57,246,160.910,38.898,5320,138,255,220.517,28.353
G42,5320,102,255,228.389,23.762,5320,78,243,175.880,37.760,5320,78,250,176.673,38.492
G43,5320,120,253,197.658,24.855,5320,120,253,197.655,24.851,5320,135,255,225.690,21.159
G44,5320,71,255,208.037,31.700,5320,54,248,186.777,36.754,5320,54,253,188.343,37.859
G45,5320,112,255,230.888,17.362,5320,93,250,209.978,18.130,5320,93,254,211.337,18.728
G46,5320,33,162,84.101,24.074,5320,33,162,84.101,24.074,5320,98,255,238.289,16.305
