Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,84,255,220.598,33.744,5320,84,247,193.824,28.503,5320,130,255,206.769,28.423
G2,5320,95,255,217.374,35.293,5320,95,254,203.482,34.738,5320,109,255,213.245,32.603
G3,5320,34,210,140.352,41.436,5320,34,210,140.352,41.436,5320,40,255,196.659,51.701
G4,5320,42,195,157.824,39.692,5320,42,195,157.802,39.724,5320,51,249,196.814,49.815
G5,5320,39,255,179.781,60.538,5320,18,193,115.297,41.007,5320,18,242,127.511,55.318
G6,5320,1,113,29.484,18.877,5320,1,113,29.484,18.877,5320,85,252,209.159,28.473
G7,5320,21,176,105.276,39.183,5320,21,176,105.276,39.183,5320,112,255,210.092,31.168
G8,5320,28,218,161.056,34.960,5320,28,218,161.055,34.958,5320,37,255,218.721,41.863
G9,5320,34,255,171.075,53.538,5320,31,245,147.651,52.900,5320,35,251,156.400,55.551
G10,5320,107,255,242.225,25.318,5320,79,239,195.757,29.302,5320,79,239,195.858,29.326
G11,5320,14,119,50.719,26.389,5320,14,119,50.719,26.389,5320,132,255,249.780,9.390
G12,5320,50,160,120.741,22.400,5320,50,160,120.741,22.400,5320,166,255,248.100,13.954
G13,5320,104,238,174.867,28.805,5320,76,238,167.291,32.383,5320,76,255,203.942,42.749
G14,5320,119,255,221.541,32.196,5320,50,232,119.530,39.007,5320,50,234,119.652,39.314
G15,5320,81,250,166.365,39.648,5320,35,146,78.748,26.171,5320,35,146,78.748,26.171
G16,5320,44,255,184.306,53.963,5320,27,191,124.101,42.475,5320,27,191,124.101,42.475
G17,5320,29,221,122.517,33.759,5320,29,221,122.517,33.759,5320,62,255,223.467,36.810
G18,5320,124,255,209.065,29.308,5320,65,248,185.264,49.877,5320,65,255,202.768,60.289
G19,5320,0,255,203.853,35.377,5320,0,116,69.656,20.659,5320,3,165,70.344,20.219
G20,5320,75,255,197.634,52.094,5320,9,162,98.593,37.239,5320,9,162,98.593,37.239
G21,5320,92,255,242.546,26.026,5320,37,174,127.034,29.419,5320,37,174,127.034,29.419
G22,5320,65,255,205.408,45.455,5320,22,214,122.028,53.971,5320,22,214,122.028,53.971
G23,5320,201,255,246.543,11.823,5320,102,253,213.621,35.588,5320,102,255,215.275,36.645
G24,5320,0,255,136.863,100.237,5320,0,171,49.870,45.967,5320,8,255,113.169,72.691
G25,5320,0,255,165.103,73.260,5320,0,158,86.342,44.011,5320,7,255,112.852,49.075
G26,5320,116,255,190.986,33.611,5320,17,149,71.407,28.754,5320,17,149,71.407,28.754
G27,5320,117,255,206.569,29.486,5320,0,45,10.485,13.153,5320,0,45,10.485,13.153
G28,5320,110,255,213.114,35.369,5320,0,94,19.342,27.425,5320,0,94,19.342,27.425
G29,5320,141,255,234.154,23.106,5320,48,180,119.559,26.747,5320,48,180,119.559,26.747
G30,5320,88,251,191.646,30.287,5320,49,242,160.169,43.050,5320,49,255,178.484,55.755
G31,5320,28,255,186.620,71.816,5320,28,209,119.766,43.928,5320,44,255,153.970,50.018
G32,5320,136,255,210.321,31.840,5320,0,76,15.915,17.468,5320,0,76,15.915,17.468
G33,5320,85,240,172.146,32.399,5320,0,133,41.192,30.645,5320,0,133,41.192,30.645
G34,5320,78,239,140.946,33.605,5320,26,129,57.770,21.337,5320,26,129,57.770,21.337
G35,5320,0,224,120.234,63.925,5320,0,208,118.480,62.263,5320,51,233,173.499,38.813
G36,5320,0,207,67.949,55.980,5320,0,201,65.969,52.952,5320,18,255,192.898,59.733
G37,5320,136,255,221.439,31.896,5320,20,251,166.294,61.592,5320,20,255,171.364,66.387
G38,5320,177,255,244.042,18.292,5320,43,210,122.519,26.793,5320,43,210,122.519,26.793
G39,5320,43,255,206.704,59.660,5320,0,136,93.135,40.726,5320,0,215,94.105,41.183
G40,5320,18,193,144.835,21.784,5320,18,193,144.835,21.784,5320,51,255,233.229,30.721
G41,5320,121,253,174.812,36.773,5320,121,245,173.756,35.130,5320,179,255,237.305,18.395
G42,5320,89,255,229.925,23.282,5320,62,241,165.006,39.898,5320,62,246,166.003,41.005
G43,5320,106,255,203.079,34.943,5320,106,230,175.755,26.737,5320,118,245,185.852,25.870
G44,5320,71,255,209.905,31.609,5320,50,240,176.048,34.797,5320,50,245,176.812,35.058
G45,5320,112,255,231.266,16.457,5320,82,229,187.272,20.040,5320,82,229,187.272,20.040
G46,5320,30,164,80.658,26.042,5320,30,164,80.658,26.042,5320,91,255,235.160,15.336
