Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,44,255,174.076,57.552,5320,44,253,170.300,53.661,5320,162,255,237.978,17.416
G2,5320,5,205,63.140,38.673,5320,5,205,63.140,38.673,5320,64,255,222.275,32.478
G3,5320,0,137,44.688,27.908,5320,0,137,44.688,27.908,5320,70,255,201.525,42.148
G4,5320,0,47,7.331,11.471,5320,0,47,7.331,11.471,5320,56,231,176.917,44.185
G5,5320,0,12,0.582,1.467,5320,0,12,0.582,1.467,5320,31,254,168.966,59.391
G6,5320,0,80,6.615,14.542,5320,0,80,6.615,14.542,5320,113,255,218.525,31.030
G7,5320,0,38,2.072,6.381,5320,0,38,2.072,6.381,5320,121,255,204.184,31.426
G8,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,156,255,230.873,28.470
G9,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,39,254,145.106,48.027
G10,5320,0,31,0.903,3.209,5320,0,31,0.903,3.209,5320,46,255,195.537,52.235
G11,5320,0,99,2.801,8.501,5320,0,99,2.801,8.501,5320,132,255,235.286,21.288
G12,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,97,255,242.550,21.433
G13,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,122,255,220.846,30.357
G14,5320,0,45,2.530,7.063,5320,0,45,2.530,7.063,5320,146,255,221.803,31.030
G15,5320,0,110,51.185,33.052,5320,0,110,51.185,33.052,5320,134,255,216.141,38.600
G16,5320,34,144,93.267,25.336,5320,34,144,93.267,25.336,5320,73,255,205.035,42.698
G17,5320,0,7,0.121,0.660,5320,0,7,0.121,0.660,5320,111,255,226.952,30.584
G18,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,201,255,249.897,9.238
G19,5320,0,52,6.142,12.043,5320,0,52,6.142,12.043,5320,60,255,227.556,34.568
G20,5320,0,103,55.771,25.203,5320,0,103,55.771,25.203,5320,46,255,189.964,58.299
G21,5320,0,138,31.790,36.213,5320,0,138,31.790,36.213,5320,59,250,177.467,47.587
G22,5320,0,216,137.079,52.416,5320,0,216,136.993,52.365,5320,46,255,207.980,35.676
G23,5320,0,51,3.929,8.991,5320,0,51,3.929,8.991,5320,113,255,202.062,23.866
G24,5320,0,139,39.035,46.569,5320,0,139,39.042,46.579,5320,68,255,197.152,36.984
G25,5320,35,168,116.177,28.578,5320,35,168,116.177,28.578,5320,79,255,201.474,42.148
G26,5320,0,90,16.701,24.037,5320,0,90,16.701,24.037,5320,43,246,132.939,41.763
G27,5320,0,238,93.376,90.573,5320,0,221,85.350,81.298,5320,91,255,195.572,34.941
G28,5320,85,255,206.876,40.464,5320,56,216,149.096,35.736,5320,56,216,149.100,35.742
G29,5320,43,255,188.569,40.849,5320,43,241,184.783,36.332,5320,177,255,243.878,11.275
G30,5320,39,201,129.593,35.512,5320,39,201,129.593,35.512,5320,141,255,219.683,18.926
G31,5320,0,107,50.854,27.978,5320,0,107,50.854,27.978,5320,122,255,216.040,40.076
G32,5320,4,241,117.406,56.545,5320,4,218,107.275,47.058,5320,30,232,154.670,42.852
G33,5320,49,255,163.572,44.796,5320,28,203,116.439,39.641,5320,28,203,116.439,39.641
G34,5320,82,251,143.723,34.912,5320,39,177,72.968,25.552,5320,39,177,72.968,25.552
G35,5320,30,255,136.461,67.553,5320,30,215,117.162,46.928,5320,55,255,210.783,35.353
G36,5320,0,112,24.182,23.473,5320,0,112,24.182,23.473,5320,46,255,201.546,56.108
G37,5320,11,255,148.231,73.476,5320,11,246,144.990,69.455,5320,68,255,215.739,41.558
G38,5320,174,255,243.494,13.437,5320,110,242,171.513,30.066,5320,110,243,172.539,31.627
G39,5320,39,255,208.129,56.199,5320,14,180,127.503,42.927,5320,14,180,128.024,42.752
G40,5320,22,151,79.306,33.658,5320,22,151,79.306,33.658,5320,33,255,196.750,41.692
G41,5320,36,170,102.494,26.840,5320,36,170,102.481,26.812,5320,169,255,231.050,18.477
G42,5320,117,255,223.469,23.806,5320,106,235,189.591,27.657,5320,106,255,202.525,35.958
G43,5320,49,253,129.321,53.149,5320,49,243,128.797,52.146,5320,114,254,205.655,32.382
G44,5320,60,239,193.945,32.580,5320,58,239,189.841,32.148,5320,58,255,218.337,33.299
G45,5320,107,250,224.514,16.912,5320,103,248,218.884,16.397,5320,103,255,229.692,18.040
G46,5320,8,145,54.338,30.044,5320,8,145,54.338,30.044,5320,92,255,238.948,22.522
