Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,53,255,201.738,44.020,5320,53,247,189.582,36.483,5320,98,255,220.299,24.507
G2,5320,23,245,105.769,48.708,5320,23,238,105.534,48.165,5320,64,255,205.174,41.578
G3,5320,33,171,95.784,23.908,5320,33,171,95.784,23.908,5320,76,252,193.341,38.633
G4,5320,13,105,74.019,19.922,5320,13,105,74.019,19.922,5320,52,245,192.720,43.254
G5,5320,0,82,29.158,28.009,5320,0,82,29.158,28.009,5320,36,255,200.726,52.718
G6,5320,0,91,19.263,19.587,5320,0,91,19.263,19.587,5320,99,255,207.654,30.303
G7,5320,12,114,53.677,23.399,5320,12,114,53.677,23.399,5320,113,255,203.327,23.634
G8,5320,0,94,47.422,28.358,5320,0,94,47.422,28.358,5320,76,255,206.176,29.158
G9,5320,0,75,15.547,13.786,5320,0,75,15.547,13.786,5320,16,255,216.102,38.049
G10,5320,0,141,22.479,34.959,5320,0,141,22.479,34.959,5320,49,255,180.850,54.308
G11,5320,0,61,27.933,16.551,5320,0,61,27.933,16.551,5320,170,255,243.269,13.192
G12,5320,14,57,42.608,7.489,5320,14,57,42.608,7.489,5320,202,255,250.671,8.595
G13,5320,0,57,13.219,14.977,5320,0,57,13.219,14.977,5320,170,255,230.491,19.873
G14,5320,0,184,56.443,44.621,5320,0,184,56.443,44.621,5320,86,255,232.519,26.378
G15,5320,59,255,194.868,49.080,5320,59,254,193.976,48.295,5320,85,255,231.537,37.948
G16,5320,61,244,148.467,41.051,5320,61,239,148.041,40.327,5320,83,255,185.017,46.745
G17,5320,21,87,41.988,16.999,5320,21,87,41.988,16.999,5320,88,255,227.743,32.900
G18,5320,0,103,65.101,23.698,5320,0,103,65.101,23.698,5320,73,255,223.100,38.823
G19,5320,0,71,1.077,4.418,5320,0,71,1.077,4.418,5320,37,255,193.919,55.932
G20,5320,0,244,63.141,75.720,5320,0,242,63.102,75.629,5320,89,255,208.489,38.064
G21,5320,95,255,225.404,28.942,5320,95,253,222.414,27.672,5320,155,255,240.254,15.064
G22,5320,60,255,189.346,37.860,5320,60,246,186.183,37.368,5320,65,255,200.173,43.018
G23,5320,2,175,111.048,24.112,5320,2,175,111.048,24.112,5320,121,255,239.823,20.380
G24,5320,0,190,83.955,71.583,5320,0,190,83.955,71.583,5320,90,255,196.074,47.701
G25,5320,0,168,80.198,32.351,5320,0,168,80.198,32.351,5320,93,255,197.280,35.085
G26,5320,66,255,180.023,50.276,5320,66,245,167.674,43.467,5320,112,255,200.905,33.466
G27,5320,76,255,211.502,24.904,5320,58,226,138.402,35.069,5320,58,226,138.402,35.069
G28,5320,78,255,207.502,43.122,5320,40,170,115.137,36.558,5320,40,170,115.137,36.558
G29,5320,102,255,189.573,34.059,5320,102,243,186.484,29.342,5320,170,255,241.352,12.547
G30,5320,8,197,98.083,39.369,5320,8,197,98.083,39.369,5320,170,255,229.178,23.440
G31,5320,1,250,141.447,79.185,5320,1,248,136.813,74.251,5320,130,255,235.681,20.756
G32,5320,38,242,172.270,50.842,5320,14,236,123.388,42.994,5320,14,237,127.313,44.272
G33,5320,52,255,164.047,44.893,5320,13,188,99.701,39.298,5320,13,188,99.701,39.298
G34,5320,82,254,143.158,35.185,5320,34,169,68.502,25.811,5320,34,169,68.502,25.811
G35,5320,9,255,153.992,76.633,5320,9,230,131.658,60.680,5320,77,255,231.785,44.661
G36,5320,0,211,32.149,48.091,5320,0,211,32.149,48.091,5320,30,255,203.250,54.828
G37,5320,16,255,161.844,69.990,5320,16,248,152.320,60.786,5320,79,255,206.467,42.980
G38,5320,175,255,243.727,11.191,5320,100,223,157.887,25.015,5320,100,242,159.631,28.365
G39,5320,33,255,209.361,53.545,5320,12,205,124.701,40.111,5320,12,205,125.123,40.235
G40,5320,0,245,88.988,49.894,5320,0,220,87.049,45.995,5320,18,255,185.596,52.059
G41,5320,36,174,112.733,22.164,5320,36,174,112.733,22.164,5320,135,255,222.165,29.805
G42,5320,65,255,211.311,33.307,5320,60,240,176.140,34.243,5320,60,255,193.702,43.062
G43,5320,47,253,133.983,56.363,5320,47,250,133.387,55.289,5320,108,255,209.360,32.791
G44,5320,61,228,182.401,30.280,5320,59,225,180.273,29.721,5320,59,255,212.664,34.135
G45,5320,174,244,221.054,14.096,5320,157,237,214.611,14.560,5320,157,255,227.420,19.051
G46,5320,40,163,78.864,29.612,5320,40,163,78.864,29.612,5320,180,255,240.492,21.794
