Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,88,255,218.373,36.699,5320,88,247,196.419,29.638,5320,127,255,214.501,24.848
G2,5320,99,254,188.714,34.601,5320,99,243,188.105,33.646,5320,145,255,230.857,24.697
G3,5320,44,214,138.019,38.847,5320,44,214,138.019,38.847,5320,59,255,197.563,48.940
G4,5320,30,185,135.816,40.834,5320,30,185,135.816,40.834,5320,51,252,189.222,47.906
G5,5320,0,178,59.165,61.032,5320,0,178,59.165,61.032,5320,49,255,202.983,47.055
G6,5320,14,109,43.334,20.363,5320,14,109,43.334,20.363,5320,80,254,206.298,30.560
G7,5320,33,183,120.138,34.640,5320,33,183,120.138,34.640,5320,80,255,209.714,30.736
G8,5320,78,245,174.253,25.219,5320,78,218,169.251,26.079,5320,86,255,215.517,46.712
G9,5320,0,255,118.972,59.743,5320,0,219,112.609,52.488,5320,37,222,154.083,38.450
G10,5320,0,195,118.245,45.326,5320,0,185,116.405,43.345,5320,62,251,192.512,38.756
G11,5320,39,141,78.470,25.183,5320,39,141,78.470,25.183,5320,166,255,247.967,10.951
G12,5320,73,223,153.736,26.460,5320,73,223,153.693,26.364,5320,159,255,248.521,10.888
G13,5320,122,255,220.498,27.504,5320,122,236,184.433,25.853,5320,127,254,190.707,29.864
G14,5320,170,255,240.325,19.891,5320,104,237,150.438,30.492,5320,104,237,150.439,30.492
G15,5320,71,255,161.319,51.578,5320,42,149,98.155,21.148,5320,42,160,101.189,23.282
G16,5320,41,233,155.818,54.094,5320,37,186,120.425,39.208,5320,37,186,133.406,32.349
G17,5320,38,234,142.910,30.892,5320,38,234,142.910,30.891,5320,67,255,227.934,33.785
G18,5320,0,255,216.411,50.403,5320,0,249,205.877,47.200,5320,57,255,225.380,37.435
G19,5320,0,255,112.119,116.686,5320,0,237,88.308,91.598,5320,63,255,193.807,43.486
G20,5320,0,255,181.543,67.128,5320,0,184,98.089,34.591,5320,61,255,120.565,40.634
G21,5320,56,255,174.272,47.076,5320,33,118,84.288,19.026,5320,33,118,84.288,19.026
G22,5320,52,255,193.014,53.991,5320,32,229,138.416,65.747,5320,32,229,138.416,65.747
G23,5320,0,255,234.775,44.410,5320,0,244,203.615,37.330,5320,80,254,211.430,22.152
G24,5320,0,251,97.331,91.961,5320,0,215,89.599,83.238,5320,33,255,157.431,52.760
G25,5320,0,255,208.555,54.611,5320,0,165,98.755,46.709,5320,0,255,103.935,49.010
G26,5320,91,255,205.183,38.907,5320,0,88,6.265,16.120,5320,0,88,6.265,16.120
G27,5320,133,250,208.486,24.098,5320,0,111,14.689,27.275,5320,0,111,14.689,27.275
G28,5320,100,255,214.126,35.254,5320,1,129,76.619,33.427,5320,1,129,76.619,33.427
G29,5320,80,255,204.536,39.156,5320,69,197,154.241,26.294,5320,69,197,154.255,26.311
G30,5320,152,255,226.508,24.602,5320,0,167,79.619,41.571,5320,0,167,79.619,41.571
G31,5320,74,255,200.171,33.693,5320,0,93,25.166,26.131,5320,0,93,25.166,26.131
G32,5320,40,227,155.108,38.840,5320,0,104,39.279,37.377,5320,0,104,39.279,37.377
G33,5320,77,255,158.280,41.239,5320,1,174,80.733,36.234,5320,1,174,80.733,36.234
G34,5320,67,249,140.226,47.232,5320,22,157,67.332,31.216,5320,22,157,67.332,31.216
G35,5320,141,255,211.002,31.469,5320,0,132,31.045,32.058,5320,0,132,31.045,32.058
G36,5320,13,255,203.145,46.992,5320,0,214,68.570,43.897,5320,0,232,70.506,48.249
G37,5320,109,255,218.676,30.317,5320,63,243,184.789,47.293,5320,63,255,193.037,54.173
G38,5320,147,255,245.972,22.356,5320,80,225,146.439,29.636,5320,80,240,146.543,29.915
G39,5320,0,255,199.827,62.500,5320,0,159,100.680,45.593,5320,1,244,103.587,45.570
G40,5320,41,229,153.157,30.077,5320,0,216,147.768,37.709,5320,0,255,202.530,64.286
G41,5320,109,238,160.716,28.710,5320,109,225,160.624,28.523,5320,206,255,243.563,10.718
G42,5320,109,255,224.375,24.914,5320,83,251,179.623,39.830,5320,83,255,187.443,46.535
G43,5320,57,255,169.267,54.861,5320,57,224,157.780,44.240,5320,106,252,195.465,27.609
G44,5320,61,250,200.445,35.206,5320,51,247,187.520,37.238,5320,51,255,197.116,39.015
G45,5320,103,255,231.461,17.328,5320,84,250,208.798,22.504,5320,84,255,209.569,23.611
G46,5320,40,176,96.322,26.709,5320,40,176,96.322,26.709,5320,186,255,239.122,13.704
