Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,63,255,189.437,51.441,5320,63,251,181.922,44.930,5320,133,255,233.228,19.548
G2,5320,17,221,97.973,36.615,5320,17,217,97.941,36.526,5320,51,255,215.197,34.742
G3,5320,13,155,77.091,21.342,5320,13,155,77.091,21.342,5320,34,255,194.389,37.963
G4,5320,0,68,20.862,16.497,5320,0,68,20.862,16.497,5320,47,242,183.382,43.672
G5,5320,0,94,13.305,18.942,5320,0,94,13.305,18.942,5320,38,246,152.022,56.519
G6,5320,0,90,22.736,19.761,5320,0,90,22.736,19.761,5320,125,245,209.237,24.629
G7,5320,0,85,31.275,20.808,5320,0,85,31.275,20.808,5320,110,254,210.920,21.713
G8,5320,0,43,6.996,12.621,5320,0,43,6.996,12.621,5320,86,255,212.771,28.262
G9,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,57,255,232.562,27.537
G10,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,42,219,135.633,39.981
G11,5320,4,106,31.729,12.311,5320,4,106,31.729,12.311,5320,132,255,240.378,16.930
G12,5320,0,42,12.131,11.559,5320,0,42,12.131,11.559,5320,200,255,249.029,10.073
G13,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,152,255,226.145,27.074
G14,5320,0,3,0.032,0.244,5320,0,3,0.032,0.244,5320,115,255,214.284,27.443
G15,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,77,242,181.758,32.345
G16,5320,0,106,22.627,29.600,5320,0,106,22.627,29.600,5320,46,255,180.485,44.215
G17,5320,0,49,14.803,13.652,5320,0,49,14.803,13.652,5320,72,255,222.110,39.763
G18,5320,0,58,34.899,17.857,5320,0,58,34.899,17.857,5320,59,255,231.017,33.754
G19,5320,0,117,40.235,22.151,5320,0,117,40.235,22.151,5320,66,255,213.302,37.442
G20,5320,0,181,70.528,60.272,5320,0,181,70.528,60.272,5320,62,255,194.865,49.611
G21,5320,0,254,119.562,69.013,5320,0,239,118.001,66.540,5320,43,255,173.068,67.194
G22,5320,22,255,181.556,53.259,5320,22,249,164.177,52.423,5320,29,255,190.212,51.781
G23,5320,13,236,123.459,67.364,5320,13,234,123.286,67.126,5320,55,255,200.829,48.312
G24,5320,56,255,159.439,43.215,5320,56,251,156.769,40.439,5320,124,255,207.376,29.508
G25,5320,125,255,202.254,29.863,5320,125,252,200.204,27.092,5320,159,255,241.883,12.385
G26,5320,29,255,203.912,40.888,5320,0,246,129.486,92.964,5320,0,255,138.852,101.810
G27,5320,14,255,209.055,35.106,5320,0,202,33.245,50.786,5320,0,202,33.246,50.790
G28,5320,83,255,211.865,39.373,5320,0,132,72.565,42.739,5320,0,132,72.565,42.739
G29,5320,115,255,220.069,33.111,5320,0,231,82.729,46.606,5320,0,233,82.760,46.691
G30,5320,162,255,241.373,16.878,5320,106,249,186.448,34.935,5320,106,255,187.779,36.476
G31,5320,14,248,192.627,41.405,5320,0,242,152.360,84.837,5320,0,255,165.548,94.121
G32,5320,33,241,160.450,44.182,5320,0,168,55.739,40.518,5320,0,168,55.758,40.553
G33,5320,56,255,165.544,44.243,5320,0,152,68.977,35.049,5320,0,152,68.977,35.049
G34,5320,85,251,145.742,33.457,5320,33,137,61.034,21.298,5320,33,137,61.034,21.298
G35,5320,78,255,177.138,34.444,5320,26,222,100.599,40.143,5320,26,238,101.036,41.168
G36,5320,54,252,169.290,43.957,5320,43,224,150.400,43.990,5320,43,249,160.431,53.227
G37,5320,81,255,212.644,43.607,5320,72,194,138.669,28.707,5320,72,194,138.669,28.707
G38,5320,189,255,244.988,10.713,5320,63,147,90.745,18.908,5320,63,147,90.745,18.908
G39,5320,31,255,208.597,55.752,5320,4,158,100.465,37.073,5320,4,164,101.016,37.213
G40,5320,132,248,190.042,26.952,5320,83,245,131.856,31.674,5320,83,245,131.865,31.688
G41,5320,175,254,218.536,20.710,5320,148,254,188.909,24.561,5320,148,255,189.071,24.898
G42,5320,73,255,231.202,24.965,5320,58,218,136.929,34.253,5320,58,218,136.929,34.253
G43,5320,86,253,213.767,33.179,5320,86,253,210.606,33.503,5320,89,255,215.101,34.482
G44,5320,66,255,207.541,38.195,5320,53,246,182.705,40.733,5320,53,246,182.758,40.800
G45,5320,127,255,234.279,15.932,5320,114,248,214.360,20.615,5320,114,248,214.385,20.638
G46,5320,41,165,76.235,29.148,5320,41,165,76.235,29.148,5320,165,255,241.120,16.833
