Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,81,255,207.294,41.361,5320,81,252,191.748,33.679,5320,132,255,217.985,22.746
G2,5320,66,249,155.018,39.479,5320,66,240,154.802,39.052,5320,126,255,221.856,31.485
G3,5320,40,185,115.193,28.912,5320,40,185,115.193,28.912,5320,59,255,197.336,46.672
G4,5320,24,134,96.887,29.423,5320,24,134,96.887,29.423,5320,55,249,181.326,49.797
G5,5320,0,110,38.581,33.054,5320,0,110,38.581,33.054,5320,40,249,151.190,55.458
G6,5320,0,84,20.241,20.957,5320,0,84,20.241,20.957,5320,87,252,207.180,32.270
G7,5320,11,133,61.593,33.018,5320,11,133,61.593,33.018,5320,98,255,209.550,28.757
G8,5320,0,126,69.370,44.595,5320,0,126,69.370,44.595,5320,65,255,223.076,40.101
G9,5320,0,88,7.689,17.678,5320,0,88,7.689,17.678,5320,34,255,203.165,49.028
G10,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,101,255,186.735,41.553
G11,5320,2,73,28.933,18.808,5320,2,73,28.933,18.808,5320,129,255,248.123,10.308
G12,5320,20,71,58.491,9.457,5320,20,71,58.491,9.457,5320,185,255,248.607,10.790
G13,5320,0,87,16.972,24.256,5320,0,87,16.972,24.256,5320,116,255,213.773,37.730
G14,5320,0,14,0.042,0.556,5320,0,14,0.042,0.556,5320,123,255,225.189,36.683
G15,5320,0,185,50.601,60.220,5320,0,185,50.601,60.220,5320,50,255,193.066,46.379
G16,5320,0,189,59.652,49.614,5320,0,189,59.652,49.614,5320,57,255,178.274,54.207
G17,5320,27,106,64.356,15.737,5320,27,106,64.356,15.737,5320,82,255,226.437,30.259
G18,5320,5,142,100.048,24.504,5320,5,142,100.048,24.504,5320,136,255,240.162,21.214
G19,5320,0,190,109.058,56.401,5320,0,190,109.058,56.401,5320,117,255,231.373,34.743
G20,5320,18,234,176.366,36.829,5320,18,233,175.850,36.638,5320,124,255,224.875,28.138
G21,5320,33,210,128.066,48.768,5320,33,203,127.218,47.837,5320,48,237,159.301,38.256
G22,5320,41,229,156.924,53.763,5320,41,229,156.904,53.749,5320,49,255,202.785,49.385
G23,5320,102,250,143.824,27.774,5320,102,250,143.815,27.744,5320,185,255,247.762,12.372
G24,5320,135,255,214.440,33.796,5320,109,250,199.361,28.707,5320,109,255,224.911,31.804
G25,5320,125,255,224.738,23.291,5320,123,250,218.121,21.884,5320,123,251,224.386,21.662
G26,5320,98,209,151.051,21.739,5320,98,209,150.966,21.731,5320,119,249,188.613,39.311
G27,5320,68,246,172.321,40.283,5320,68,235,165.202,34.392,5320,88,236,189.119,31.111
G28,5320,101,255,213.637,36.387,5320,73,202,165.025,30.069,5320,73,202,165.025,30.069
G29,5320,99,255,217.795,38.705,5320,91,254,188.508,35.798,5320,91,254,190.143,34.428
G30,5320,54,244,166.087,41.720,5320,54,244,165.901,41.433,5320,68,253,194.378,40.144
G31,5320,43,183,132.116,27.912,5320,43,183,132.116,27.912,5320,63,252,179.845,39.346
G32,5320,43,197,148.517,35.789,5320,42,196,136.650,33.322,5320,42,221,145.228,40.305
G33,5320,85,255,155.955,42.396,5320,65,205,125.752,35.598,5320,65,205,125.752,35.598
G34,5320,66,253,138.631,49.076,5320,31,182,82.268,36.978,5320,31,182,82.268,36.978
G35,5320,28,160,106.348,33.546,5320,28,160,106.348,33.546,5320,88,255,238.030,19.318
G36,5320,0,174,60.305,56.237,5320,0,174,60.305,56.237,5320,59,255,221.711,38.464
G37,5320,10,255,212.977,36.054,5320,10,251,201.739,32.956,5320,116,255,216.105,32.354
G38,5320,168,255,250.438,12.377,5320,90,225,166.387,29.132,5320,90,225,166.387,29.132
G39,5320,19,255,200.177,59.823,5320,13,182,113.098,44.889,5320,13,241,117.441,46.262
G40,5320,0,119,38.392,36.516,5320,0,119,38.392,36.516,5320,70,255,186.972,47.221
G41,5320,0,255,133.242,64.501,5320,0,250,132.319,62.940,5320,119,255,220.552,29.062
G42,5320,112,255,232.987,24.768,5320,93,254,185.822,36.111,5320,93,254,187.737,38.284
G43,5320,65,170,117.509,20.320,5320,65,170,117.509,20.320,5320,146,255,218.733,22.505
G44,5320,60,250,192.935,31.293,5320,52,248,183.530,33.127,5320,52,255,199.022,38.719
G45,5320,105,255,217.788,27.882,5320,97,253,211.366,26.078,5320,101,255,226.188,19.344
G46,5320,30,165,85.025,26.176,5320,30,165,85.025,26.176,5320,174,255,237.457,16.203
