Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,117,255,230.769,27.121,5320,117,252,202.457,26.510,5320,146,255,211.395,27.324
G2,5320,44,255,181.780,53.775,5320,44,254,179.977,51.904,5320,64,255,201.985,46.806
G3,5320,52,207,138.649,29.651,5320,52,207,138.649,29.651,5320,68,255,199.855,42.139
G4,5320,33,152,110.890,27.069,5320,33,152,110.890,27.069,5320,56,244,181.700,41.609
G5,5320,19,222,93.140,44.434,5320,19,204,90.530,40.328,5320,41,227,141.058,48.050
G6,5320,16,105,44.035,20.264,5320,16,105,44.035,20.264,5320,132,255,211.763,27.707
G7,5320,31,171,100.936,31.458,5320,31,171,100.936,31.458,5320,111,255,207.675,28.134
G8,5320,16,152,117.533,26.791,5320,16,152,117.533,26.791,5320,27,255,214.786,45.327
G9,5320,25,162,106.994,31.659,5320,25,162,106.994,31.659,5320,48,255,204.173,55.301
G10,5320,54,255,128.144,47.209,5320,54,246,126.460,44.488,5320,55,253,172.003,47.336
G11,5320,28,121,73.078,23.005,5320,28,121,73.078,23.005,5320,149,255,238.624,17.086
G12,5320,67,144,120.833,14.942,5320,67,144,120.833,14.942,5320,198,255,248.604,10.666
G13,5320,83,227,129.188,24.403,5320,83,227,127.991,22.959,5320,138,255,219.080,34.110
G14,5320,95,244,170.292,30.188,5320,81,231,164.893,31.676,5320,81,255,206.413,47.319
G15,5320,62,255,234.386,39.996,5320,62,251,212.841,35.059,5320,105,253,217.992,25.779
G16,5320,149,255,232.628,25.333,5320,1,253,182.345,68.870,5320,1,254,182.511,68.984
G17,5320,39,255,125.902,46.453,5320,39,234,124.104,42.577,5320,74,255,220.471,37.705
G18,5320,125,255,232.945,27.949,5320,96,238,171.528,42.801,5320,96,255,181.530,50.725
G19,5320,130,255,220.631,33.034,5320,65,164,104.239,18.312,5320,65,164,104.271,18.362
G20,5320,210,255,246.037,11.752,5320,117,235,185.123,31.332,5320,117,235,185.123,31.332
G21,5320,167,255,231.928,18.668,5320,147,250,220.589,20.002,5320,147,255,222.348,21.076
G22,5320,53,255,210.007,33.919,5320,52,252,188.329,40.952,5320,53,252,188.808,40.829
G23,5320,201,255,243.057,13.220,5320,64,170,103.188,23.084,5320,64,176,103.198,23.110
G24,5320,184,255,237.442,16.284,5320,62,169,110.539,33.638,5320,62,169,110.539,33.638
G25,5320,191,255,247.460,12.367,5320,125,217,180.321,18.597,5320,125,217,180.325,18.596
G26,5320,0,249,109.859,80.161,5320,0,214,95.965,64.252,5320,11,255,188.798,64.591
G27,5320,47,243,168.854,47.212,5320,42,178,115.821,28.137,5320,42,255,162.662,71.765
G28,5320,89,255,209.570,42.438,5320,22,155,90.994,33.748,5320,22,155,90.994,33.748
G29,5320,160,255,237.169,18.620,5320,61,148,97.075,14.367,5320,61,148,97.075,14.367
G30,5320,132,255,237.970,23.511,5320,114,248,182.172,33.873,5320,114,255,185.942,37.755
G31,5320,11,233,144.858,51.563,5320,11,225,142.463,50.130,5320,22,255,182.608,62.946
G32,5320,16,238,155.127,44.151,5320,9,185,103.317,34.759,5320,9,255,109.754,45.071
G33,5320,47,255,167.289,46.029,5320,7,161,79.419,33.713,5320,7,161,79.419,33.713
G34,5320,78,254,147.711,35.282,5320,29,147,62.154,23.728,5320,29,147,62.154,23.728
G35,5320,52,224,147.473,46.272,5320,52,214,139.584,47.998,5320,57,251,167.650,61.918
G36,5320,40,142,81.927,14.912,5320,40,142,81.927,14.910,5320,87,251,173.707,34.506
G37,5320,60,255,193.007,62.797,5320,60,237,152.164,40.321,5320,86,242,174.261,33.992
G38,5320,179,255,243.802,11.296,5320,66,183,111.912,21.181,5320,66,183,111.912,21.181
G39,5320,31,255,207.078,55.968,5320,8,160,104.700,38.377,5320,8,174,105.253,38.655
G40,5320,62,181,107.661,28.492,5320,62,181,107.661,28.492,5320,118,251,194.017,31.695
G41,5320,97,250,170.041,48.866,5320,97,235,164.724,42.464,5320,153,255,214.188,22.675
G42,5320,90,255,234.560,22.591,5320,71,238,157.192,40.383,5320,71,241,157.380,40.715
G43,5320,79,247,172.603,25.444,5320,79,247,172.603,25.444,5320,95,255,212.969,28.394
G44,5320,51,255,204.523,33.129,5320,44,251,186.075,38.432,5320,44,255,191.581,42.834
G45,5320,179,253,231.523,13.960,5320,148,252,219.505,17.712,5320,148,255,222.852,19.596
G46,5320,45,190,104.765,34.389,5320,45,190,104.765,34.389,5320,130,255,237.521,20.340
