Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,73,255,202.877,45.011,5320,73,249,190.376,37.831,5320,125,255,221.400,24.065
G2,5320,32,248,160.592,36.608,5320,32,238,160.460,36.355,5320,55,255,223.287,32.619
G3,5320,37,186,112.016,27.946,5320,37,186,112.016,27.946,5320,58,255,195.712,50.372
G4,5320,25,131,100.967,23.220,5320,25,131,100.967,23.220,5320,49,243,186.764,45.842
G5,5320,10,240,120.909,65.694,5320,10,215,107.310,51.279,5320,21,222,157.906,43.667
G6,5320,0,80,17.349,20.247,5320,0,80,17.349,20.247,5320,77,255,209.517,33.380
G7,5320,0,127,57.366,33.165,5320,0,127,57.366,33.165,5320,102,255,210.061,29.180
G8,5320,7,123,72.930,29.609,5320,7,123,72.930,29.609,5320,121,255,230.697,25.836
G9,5320,53,146,87.411,23.437,5320,53,146,87.411,23.437,5320,155,255,236.686,21.721
G10,5320,0,166,74.721,32.923,5320,0,166,74.721,32.923,5320,52,242,141.121,41.849
G11,5320,0,88,17.955,19.706,5320,0,88,17.955,19.706,5320,126,255,249.482,10.706
G12,5320,10,71,52.503,12.365,5320,10,71,52.503,12.365,5320,181,255,248.890,11.128
G13,5320,21,161,84.973,33.210,5320,21,161,84.973,33.210,5320,129,255,229.698,25.077
G14,5320,79,174,132.139,19.498,5320,79,174,132.139,19.498,5320,176,255,248.225,11.627
G15,5320,60,175,109.967,19.399,5320,60,175,109.967,19.399,5320,102,255,191.880,32.859
G16,5320,0,173,118.705,36.311,5320,0,173,118.705,36.311,5320,0,246,170.931,52.323
G17,5320,19,150,68.195,25.522,5320,19,150,68.195,25.522,5320,67,255,223.238,34.497
G18,5320,61,211,153.089,25.995,5320,61,211,153.089,25.995,5320,187,255,245.506,15.087
G19,5320,124,227,179.175,20.182,5320,124,227,179.175,20.182,5320,179,255,226.425,21.536
G20,5320,115,233,173.865,22.441,5320,115,233,173.865,22.441,5320,139,255,225.629,21.294
G21,5320,0,251,135.740,45.519,5320,0,251,134.865,45.769,5320,0,255,162.826,56.301
G22,5320,0,251,158.575,61.317,5320,0,250,158.088,61.410,5320,0,255,193.234,64.997
G23,5320,152,254,207.477,24.412,5320,152,249,205.711,22.011,5320,205,255,247.892,9.977
G24,5320,164,255,224.210,22.411,5320,105,242,186.744,37.274,5320,105,255,192.519,43.405
G25,5320,126,255,215.693,35.841,5320,126,250,208.337,32.516,5320,129,255,214.557,33.908
G26,5320,92,239,170.217,35.294,5320,92,239,170.211,35.297,5320,107,255,189.736,40.301
G27,5320,56,243,175.295,48.210,5320,56,238,165.325,43.821,5320,65,255,179.808,49.521
G28,5320,112,255,214.003,34.682,5320,78,202,161.209,27.669,5320,78,202,161.211,27.666
G29,5320,155,255,203.025,23.825,5320,86,245,153.685,31.227,5320,86,245,153.734,31.331
G30,5320,151,255,213.995,26.734,5320,141,253,206.707,23.258,5320,142,255,232.660,27.310
G31,5320,56,211,160.903,28.892,5320,56,211,160.902,28.895,5320,66,255,202.486,39.715
G32,5320,47,228,145.492,46.001,5320,39,176,125.143,34.592,5320,39,185,128.444,34.565
G33,5320,60,240,167.558,39.002,5320,38,187,128.857,32.412,5320,38,187,128.857,32.412
G34,5320,75,237,141.538,38.006,5320,43,179,90.808,28.246,5320,43,179,90.808,28.246
G35,5320,161,255,225.852,18.799,5320,106,240,190.165,33.042,5320,106,255,200.505,40.720
G36,5320,10,255,177.437,52.685,5320,10,243,172.518,48.378,5320,23,255,218.454,40.358
G37,5320,129,255,196.303,30.216,5320,129,244,184.597,28.522,5320,143,255,213.834,37.897
G38,5320,176,255,244.391,18.325,5320,102,241,177.795,28.495,5320,102,247,177.929,28.772
G39,5320,35,255,212.210,56.472,5320,0,186,122.671,48.168,5320,0,186,122.671,48.168
G40,5320,10,255,121.682,39.811,5320,0,181,107.680,33.725,5320,0,255,195.068,68.526
G41,5320,79,228,119.813,27.382,5320,79,222,119.760,27.201,5320,192,255,239.857,16.948
G42,5320,116,255,221.376,28.133,5320,96,246,185.419,34.285,5320,96,255,198.335,41.364
G43,5320,63,255,152.496,52.609,5320,63,252,151.917,51.751,5320,122,254,203.913,30.306
G44,5320,66,245,197.396,31.448,5320,57,244,187.475,32.953,5320,57,255,202.804,36.084
G45,5320,104,255,227.463,17.466,5320,89,247,212.680,18.520,5320,89,255,216.373,20.611
G46,5320,30,163,79.289,26.298,5320,30,163,79.289,26.298,5320,89,255,238.165,14.986
