Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,75,255,197.149,45.628,5320,75,244,185.969,38.937,5320,134,255,221.954,23.366
G2,5320,59,235,145.586,34.718,5320,59,224,145.459,34.450,5320,123,255,223.205,29.466
G3,5320,34,174,107.161,28.571,5320,34,174,107.161,28.571,5320,60,255,200.784,46.943
G4,5320,21,123,98.664,23.179,5320,21,123,98.664,23.179,5320,51,254,195.455,45.835
G5,5320,0,108,33.627,31.640,5320,0,108,33.627,31.640,5320,33,255,196.392,58.853
G6,5320,0,71,10.462,16.299,5320,0,71,10.462,16.299,5320,88,254,207.995,31.276
G7,5320,0,122,41.325,37.745,5320,0,122,41.325,37.745,5320,81,255,211.824,32.769
G8,5320,0,113,50.620,40.531,5320,0,113,50.620,40.531,5320,58,255,218.967,43.988
G9,5320,0,60,3.208,9.946,5320,0,60,3.208,9.946,5320,26,255,182.570,51.698
G10,5320,0,34,10.558,10.905,5320,0,34,10.558,10.905,5320,47,255,188.091,51.814
G11,5320,0,38,7.247,10.846,5320,0,38,7.247,10.846,5320,161,255,250.349,7.317
G12,5320,0,31,17.899,6.890,5320,0,31,17.899,6.890,5320,180,255,248.157,12.499
G13,5320,0,42,4.762,8.654,5320,0,42,4.762,8.654,5320,133,255,214.056,29.595
G14,5320,0,98,10.930,22.890,5320,0,98,10.930,22.890,5320,98,255,215.120,39.006
G15,5320,10,100,53.037,21.358,5320,10,100,53.037,21.358,5320,140,255,223.640,21.366
G16,5320,12,163,77.868,45.709,5320,12,163,77.868,45.709,5320,51,255,167.732,53.295
G17,5320,4,40,16.862,8.322,5320,4,40,16.862,8.322,5320,63,255,223.040,36.042
G18,5320,0,51,28.307,13.736,5320,0,51,28.307,13.736,5320,183,255,238.417,17.129
G19,5320,0,97,38.313,20.438,5320,0,97,38.313,20.438,5320,146,255,237.617,19.365
G20,5320,23,98,57.348,20.137,5320,23,98,57.348,20.137,5320,203,255,240.472,10.669
G21,5320,2,153,88.081,36.313,5320,2,153,88.081,36.313,5320,190,255,245.887,13.132
G22,5320,9,185,119.392,45.640,5320,9,185,119.392,45.640,5320,79,255,216.181,39.343
G23,5320,0,36,12.808,8.302,5320,0,36,12.808,8.302,5320,217,255,251.490,6.887
G24,5320,0,31,5.517,7.273,5320,0,31,5.517,7.273,5320,212,255,247.931,8.965
G25,5320,0,41,17.099,13.292,5320,0,41,17.099,13.292,5320,163,255,233.917,23.109
G26,5320,0,33,1.457,4.267,5320,0,33,1.457,4.267,5320,41,255,166.070,45.081
G27,5320,0,148,32.057,42.159,5320,0,148,32.057,42.159,5320,65,255,174.022,39.513
G28,5320,87,252,185.232,37.149,5320,87,252,185.120,37.300,5320,109,255,213.489,36.285
G29,5320,0,28,4.087,6.720,5320,0,28,4.087,6.720,5320,41,255,198.722,56.993
G30,5320,0,1,5.639E-4,0.024,5320,0,1,5.639E-4,0.024,5320,86,255,230.395,34.697
G31,5320,0,47,0.113,1.757,5320,0,47,0.113,1.757,5320,62,255,217.555,43.273
G32,5320,0,214,69.889,72.416,5320,0,214,69.889,72.416,5320,41,234,153.661,46.827
G33,5320,44,243,156.701,41.385,5320,44,224,155.022,40.737,5320,60,232,166.289,40.127
G34,5320,65,243,140.941,41.555,5320,45,208,108.117,33.829,5320,45,208,108.117,33.829
G35,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,54,255,173.209,38.138
G36,5320,0,90,6.673,16.320,5320,0,90,6.673,16.320,5320,34,255,204.229,49.576
G37,5320,60,253,152.595,44.877,5320,60,250,152.467,44.624,5320,154,255,223.626,32.207
G38,5320,148,255,240.461,22.848,5320,110,252,203.194,32.317,5320,110,255,205.963,33.224
G39,5320,0,255,204.872,60.280,5320,0,214,133.925,53.654,5320,13,236,135.548,52.606
G40,5320,0,98,21.665,20.686,5320,0,98,21.665,20.686,5320,157,255,239.913,12.728
G41,5320,14,202,68.314,40.867,5320,14,202,68.314,40.867,5320,172,255,239.131,18.504
G42,5320,99,255,212.945,33.201,5320,87,240,186.533,33.634,5320,87,255,202.578,37.597
G43,5320,56,232,140.600,37.289,5320,56,227,140.579,37.245,5320,104,255,206.947,34.220
G44,5320,70,241,195.734,29.854,5320,60,239,191.605,30.907,5320,60,255,209.289,34.575
G45,5320,120,254,224.625,18.548,5320,104,251,214.671,19.434,5320,104,255,222.164,21.716
G46,5320,16,146,64.802,24.042,5320,16,146,64.802,24.042,5320,103,255,237.325,16.059
