Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,70,255,197.173,47.984,5320,70,247,187.370,42.520,5320,146,255,223.439,24.145
G2,5320,28,236,131.857,39.916,5320,28,236,131.857,39.916,5320,95,255,222.212,31.279
G3,5320,33,175,108.092,24.627,5320,33,175,108.092,24.627,5320,59,254,196.814,46.704
G4,5320,14,117,75.710,25.157,5320,14,117,75.710,25.157,5320,52,250,191.967,54.918
G5,5320,0,62,13.820,17.100,5320,0,62,13.820,17.100,5320,42,255,168.083,54.069
G6,5320,4,86,30.152,22.869,5320,4,86,30.152,22.869,5320,85,246,205.473,29.420
G7,5320,11,125,61.810,30.504,5320,11,125,61.810,30.504,5320,110,255,210.046,32.798
G8,5320,2,108,50.019,29.512,5320,2,108,50.019,29.512,5320,118,255,224.437,32.576
G9,5320,0,52,6.145,11.698,5320,0,52,6.145,11.698,5320,131,255,218.508,32.963
G10,5320,0,48,2.058,6.832,5320,0,48,2.058,6.832,5320,27,255,153.814,60.553
G11,5320,6,91,39.589,22.332,5320,6,91,39.589,22.332,5320,116,255,250.323,9.677
G12,5320,31,87,70.909,12.238,5320,31,87,70.909,12.238,5320,178,255,248.687,11.803
G13,5320,11,136,62.857,31.172,5320,11,136,62.857,31.172,5320,164,255,234.782,22.077
G14,5320,31,141,83.722,22.354,5320,31,141,83.722,22.354,5320,128,255,238.655,21.754
G15,5320,0,166,58.747,44.314,5320,0,166,58.747,44.314,5320,48,251,165.246,51.759
G16,5320,0,138,12.013,19.570,5320,0,138,12.013,19.570,5320,41,253,164.200,40.516
G17,5320,26,177,89.889,25.380,5320,26,177,89.889,25.380,5320,69,255,227.470,33.676
G18,5320,71,253,162.801,32.617,5320,71,248,162.059,31.271,5320,184,255,246.316,14.884
G19,5320,58,255,168.110,44.632,5320,58,227,161.832,36.124,5320,115,255,213.867,31.288
G20,5320,98,201,175.125,19.280,5320,98,201,175.125,19.280,5320,122,255,244.459,22.621
G21,5320,11,196,65.727,51.462,5320,11,196,65.727,51.462,5320,35,255,152.882,61.396
G22,5320,17,217,125.056,66.885,5320,17,217,125.056,66.885,5320,46,255,206.045,45.215
G23,5320,179,255,232.603,19.135,5320,179,250,226.190,15.912,5320,196,255,245.227,13.370
G24,5320,176,255,241.556,12.834,5320,149,228,189.843,18.765,5320,149,231,190.199,19.076
G25,5320,38,254,181.017,50.958,5320,38,253,179.740,49.495,5320,86,255,220.797,35.081
G26,5320,0,176,26.443,30.605,5320,0,176,26.443,30.605,5320,8,255,174.688,51.159
G27,5320,0,236,91.941,84.489,5320,0,210,88.793,80.424,5320,3,255,190.405,50.728
G28,5320,101,255,215.014,34.856,5320,78,211,177.284,30.574,5320,78,215,177.453,30.637
G29,5320,190,255,230.309,15.774,5320,146,234,185.954,19.201,5320,146,244,186.349,19.967
G30,5320,107,254,203.667,27.116,5320,107,253,202.702,25.693,5320,196,255,245.046,10.737
G31,5320,29,196,122.791,40.088,5320,29,196,122.791,40.088,5320,62,255,202.592,41.266
G32,5320,28,219,131.703,48.289,5320,28,176,120.289,38.646,5320,45,199,133.942,33.758
G33,5320,69,255,161.307,38.588,5320,52,208,132.646,32.832,5320,52,208,132.646,32.832
G34,5320,80,245,139.037,44.425,5320,38,186,87.557,33.935,5320,38,186,87.557,33.935
G35,5320,186,255,232.883,19.476,5320,0,241,145.636,80.807,5320,0,255,152.085,86.441
G36,5320,9,254,170.933,49.396,5320,0,241,147.226,58.555,5320,0,255,191.104,68.492
G37,5320,115,255,195.043,30.377,5320,115,245,188.822,29.083,5320,127,255,219.288,36.742
G38,5320,172,255,244.162,20.348,5320,90,236,177.760,30.446,5320,90,252,178.282,31.395
G39,5320,0,255,202.912,60.472,5320,0,189,117.945,50.539,5320,5,235,120.097,49.615
G40,5320,9,255,120.836,49.174,5320,0,147,91.742,43.896,5320,0,255,177.348,86.595
G41,5320,83,215,124.989,26.070,5320,83,215,124.989,26.070,5320,200,255,241.554,13.654
G42,5320,105,255,215.799,29.711,5320,87,243,182.477,35.087,5320,87,255,196.740,42.720
G43,5320,49,255,152.138,55.773,5320,49,242,150.743,53.824,5320,113,255,204.076,32.237
G44,5320,49,249,193.802,33.558,5320,43,243,184.878,34.076,5320,43,255,201.231,36.730
G45,5320,102,255,228.841,18.129,5320,87,250,212.742,21.277,5320,87,255,215.815,23.247
G46,5320,40,170,97.396,24.894,5320,40,170,97.396,24.894,5320,110,255,237.010,17.637
