Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,90,255,215.380,37.905,5320,90,252,183.168,34.405,5320,104,254,186.861,35.919
G2,5320,39,255,152.518,68.097,5320,39,254,146.569,63.936,5320,54,255,159.950,54.953
G3,5320,27,205,128.279,38.854,5320,27,202,128.200,38.739,5320,76,255,202.609,42.557
G4,5320,17,176,98.494,46.273,5320,17,176,98.494,46.273,5320,35,255,175.581,63.522
G5,5320,46,185,104.387,31.579,5320,46,185,104.387,31.579,5320,145,255,243.586,16.730
G6,5320,0,97,20.908,18.398,5320,0,97,20.908,18.398,5320,71,255,207.006,31.330
G7,5320,0,178,136.032,28.331,5320,0,178,136.032,28.331,5320,103,255,221.023,25.629
G8,5320,21,249,127.321,58.297,5320,21,249,127.320,58.295,5320,41,255,185.418,50.846
G9,5320,38,246,119.618,44.296,5320,38,244,119.601,44.249,5320,120,255,215.343,26.266
G10,5320,36,228,95.764,48.526,5320,36,222,95.646,48.234,5320,58,255,213.454,49.102
G11,5320,18,213,122.043,46.255,5320,0,213,116.050,49.430,5320,0,255,238.594,47.354
G12,5320,58,223,169.398,33.362,5320,58,223,169.398,33.362,5320,177,255,243.985,14.364
G13,5320,148,255,226.603,25.264,5320,141,253,221.201,23.685,5320,141,255,228.478,23.640
G14,5320,102,255,212.399,39.532,5320,102,252,202.972,33.961,5320,110,253,208.856,29.868
G15,5320,43,255,176.385,56.197,5320,43,231,143.809,53.380,5320,47,233,148.020,53.173
G16,5320,83,255,219.190,30.842,5320,62,214,116.997,24.267,5320,62,215,116.998,24.272
G17,5320,104,252,185.240,26.420,5320,104,246,184.477,25.838,5320,110,255,226.020,31.758
G18,5320,146,255,232.402,26.624,5320,40,253,208.638,41.701,5320,40,255,212.736,41.982
G19,5320,114,255,226.286,30.071,5320,16,233,167.644,51.463,5320,16,233,167.656,51.460
G20,5320,70,250,185.618,42.947,5320,37,199,108.043,34.357,5320,37,199,108.043,34.357
G21,5320,49,210,150.311,37.808,5320,10,168,78.704,28.228,5320,10,168,78.704,28.228
G22,5320,22,255,174.021,57.812,5320,9,213,114.296,49.537,5320,9,213,114.296,49.537
G23,5320,180,255,239.189,18.377,5320,44,224,110.713,35.536,5320,44,227,110.720,35.559
G24,5320,132,255,238.417,25.211,5320,0,110,25.474,24.983,5320,0,110,25.474,24.983
G25,5320,121,255,224.371,26.289,5320,0,124,83.407,33.729,5320,0,124,83.407,33.729
G26,5320,77,255,209.646,29.342,5320,38,140,95.094,20.568,5320,38,140,95.094,20.568
G27,5320,166,255,227.193,27.513,5320,81,168,131.630,20.931,5320,81,168,131.630,20.931
G28,5320,119,244,192.061,27.338,5320,56,168,106.285,21.338,5320,56,168,106.285,21.338
G29,5320,56,255,231.160,28.580,5320,0,99,48.346,26.976,5320,0,99,48.346,26.976
G30,5320,56,255,188.004,49.963,5320,7,169,62.904,30.292,5320,7,169,62.904,30.292
G31,5320,206,255,246.061,10.801,5320,89,224,152.089,33.670,5320,89,224,152.089,33.670
G32,5320,85,255,211.793,42.076,5320,37,182,84.267,19.680,5320,37,182,84.267,19.680
G33,5320,94,251,206.786,36.264,5320,48,129,94.036,15.576,5320,48,129,94.036,15.576
G34,5320,104,228,163.520,30.887,5320,44,143,91.329,24.202,5320,44,143,91.329,24.202
G35,5320,90,255,219.661,31.186,5320,0,240,175.645,36.682,5320,0,240,175.645,36.682
G36,5320,159,255,246.216,7.886,5320,144,239,224.355,10.445,5320,144,239,224.355,10.445
G37,5320,63,255,222.358,35.962,5320,50,234,169.014,38.406,5320,50,234,169.014,38.406
G38,5320,128,255,227.649,32.558,5320,54,195,124.703,33.597,5320,54,195,124.703,33.597
G39,5320,49,255,223.922,41.364,5320,0,159,104.281,37.983,5320,0,159,104.281,37.983
G40,5320,149,255,223.796,16.537,5320,149,245,216.811,15.845,5320,168,255,222.945,18.017
G41,5320,112,253,214.426,22.786,5320,107,237,205.153,22.629,5320,107,255,208.784,25.496
G42,5320,145,255,230.973,25.630,5320,114,235,177.067,23.605,5320,114,235,177.219,23.590
G43,5320,76,233,150.609,38.275,5320,76,233,150.609,38.275,5320,134,255,229.329,26.390
G44,5320,92,246,182.461,28.637,5320,79,232,173.070,32.170,5320,79,255,199.083,45.361
G45,5320,93,220,164.548,28.387,5320,93,220,164.413,28.423,5320,134,255,238.020,23.190
G46,5320,21,158,66.062,28.883,5320,21,158,66.062,28.883,5320,141,255,239.901,18.835
