Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,89,255,219.886,37.105,5320,89,244,180.802,32.972,5320,97,246,182.166,33.254
G2,5320,45,255,159.602,62.148,5320,45,254,156.811,59.886,5320,51,254,166.852,56.061
G3,5320,52,221,145.129,36.826,5320,52,221,145.044,36.740,5320,76,255,202.132,43.042
G4,5320,34,248,146.237,52.557,5320,34,211,141.552,48.970,5320,35,255,165.109,64.471
G5,5320,144,255,230.828,22.609,5320,131,250,204.704,27.564,5320,131,253,208.250,28.901
G6,5320,14,137,44.927,17.721,5320,14,137,44.927,17.721,5320,72,255,209.323,29.399
G7,5320,26,214,160.473,28.317,5320,26,214,160.471,28.314,5320,120,255,221.852,23.571
G8,5320,48,255,176.799,50.436,5320,48,221,148.872,35.253,5320,49,231,152.116,37.085
G9,5320,183,255,229.039,19.096,5320,119,198,163.401,16.690,5320,119,198,163.401,16.690
G10,5320,95,255,234.952,18.098,5320,54,203,179.527,18.108,5320,54,203,179.527,18.108
G11,5320,41,229,145.862,44.032,5320,0,228,140.287,48.862,5320,0,255,242.024,43.972
G12,5320,78,253,200.454,32.657,5320,78,249,200.101,32.264,5320,174,255,244.147,14.922
G13,5320,144,255,220.292,29.998,5320,114,248,175.759,29.206,5320,114,249,175.926,29.435
G14,5320,186,255,243.911,14.035,5320,126,175,157.993,10.114,5320,126,175,157.993,10.114
G15,5320,80,255,227.389,36.255,5320,48,196,157.196,31.960,5320,48,196,157.196,31.960
G16,5320,117,255,212.659,25.442,5320,62,195,123.150,22.219,5320,62,195,123.150,22.219
G17,5320,109,255,204.682,28.691,5320,91,243,201.158,27.413,5320,91,255,220.459,33.611
G18,5320,143,255,225.426,30.800,5320,8,229,159.231,43.439,5320,8,229,159.307,43.480
G19,5320,167,255,220.291,21.600,5320,0,150,80.924,52.333,5320,0,150,80.924,52.333
G20,5320,81,255,229.515,34.819,5320,0,125,51.287,34.513,5320,0,125,51.287,34.513
G21,5320,63,255,174.655,45.341,5320,15,91,46.301,15.727,5320,15,91,46.301,15.727
G22,5320,60,216,132.999,37.650,5320,17,155,66.395,33.137,5320,17,155,66.395,33.137
G23,5320,186,255,237.573,18.073,5320,0,187,58.551,41.845,5320,0,187,58.551,41.845
G24,5320,148,255,230.015,26.066,5320,0,20,0.567,2.144,5320,0,20,0.567,2.144
G25,5320,131,255,222.481,21.779,5320,0,77,5.930,12.537,5320,0,77,5.930,12.537
G26,5320,92,255,193.804,40.777,5320,12,181,64.539,51.393,5320,12,181,64.539,51.393
G27,5320,106,255,223.371,33.247,5320,53,182,135.273,31.822,5320,53,182,135.273,31.822
G28,5320,105,223,190.258,23.820,5320,40,133,73.185,19.833,5320,40,133,73.185,19.833
G29,5320,140,255,221.043,31.120,5320,0,98,33.312,28.853,5320,0,98,33.312,28.853
G30,5320,119,255,216.219,27.778,5320,0,83,11.773,19.207,5320,0,83,11.773,19.207
G31,5320,78,255,229.593,27.589,5320,0,143,81.866,38.549,5320,0,143,81.866,38.549
G32,5320,78,255,203.944,43.227,5320,36,109,78.225,15.409,5320,36,109,78.225,15.409
G33,5320,102,255,204.877,37.990,5320,32,122,76.253,20.848,5320,32,122,76.253,20.848
G34,5320,99,232,165.653,31.152,5320,41,134,85.389,23.130,5320,41,134,85.389,23.130
G35,5320,131,232,193.645,17.882,5320,20,174,77.982,38.668,5320,20,174,77.982,38.668
G36,5320,84,255,201.795,48.602,5320,0,169,24.675,34.149,5320,0,169,24.675,34.149
G37,5320,43,255,217.562,35.041,5320,0,215,154.234,45.364,5320,0,215,154.234,45.364
G38,5320,136,255,229.541,26.946,5320,44,195,114.374,35.379,5320,44,195,114.374,35.379
G39,5320,49,255,221.806,42.966,5320,0,153,100.359,38.026,5320,0,153,100.359,38.026
G40,5320,55,239,159.933,41.187,5320,13,239,122.240,61.205,5320,13,255,155.894,86.675
G41,5320,48,254,206.124,36.455,5320,12,250,188.141,56.262,5320,12,255,197.073,61.584
G42,5320,149,255,229.627,27.223,5320,114,236,175.163,23.627,5320,114,236,175.490,23.573
G43,5320,65,212,146.244,30.101,5320,65,212,146.244,30.101,5320,120,255,228.780,24.612
G44,5320,96,245,182.902,28.418,5320,84,233,172.322,33.197,5320,84,255,199.342,46.463
G45,5320,91,224,164.611,29.690,5320,91,224,164.386,29.713,5320,133,255,239.277,23.304
G46,5320,55,180,90.466,26.678,5320,55,180,90.466,26.678,5320,133,255,237.823,19.412
