Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,74,255,219.145,38.006,5320,74,252,184.789,35.098,5320,85,253,187.433,35.807
G2,5320,27,255,146.993,61.482,5320,27,249,142.289,58.309,5320,42,250,157.613,52.516
G3,5320,49,209,136.904,34.259,5320,49,208,136.779,34.124,5320,78,255,206.820,41.844
G4,5320,18,185,104.353,47.109,5320,18,185,104.353,47.109,5320,33,255,165.233,64.961
G5,5320,43,174,141.351,18.627,5320,43,174,141.351,18.627,5320,103,255,242.490,21.064
G6,5320,11,103,37.303,16.247,5320,11,103,37.303,16.247,5320,78,255,219.304,30.296
G7,5320,15,181,141.017,28.630,5320,15,181,141.017,28.630,5320,89,255,221.556,25.253
G8,5320,28,225,121.947,45.010,5320,28,225,121.947,45.010,5320,47,255,165.457,52.120
G9,5320,93,253,190.955,29.620,5320,93,238,190.036,28.249,5320,175,255,247.836,10.076
G10,5320,18,244,104.908,55.909,5320,18,233,103.608,53.443,5320,67,252,170.593,35.333
G11,5320,42,219,130.469,46.872,5320,0,219,124.825,49.926,5320,0,255,240.044,45.158
G12,5320,67,232,179.824,31.673,5320,67,232,179.824,31.673,5320,163,255,244.120,15.574
G13,5320,119,254,209.554,29.134,5320,110,247,205.356,31.997,5320,110,255,215.325,35.486
G14,5320,153,255,247.711,15.705,5320,115,254,185.758,35.608,5320,115,255,186.939,37.462
G15,5320,155,255,239.146,16.456,5320,72,228,146.714,30.516,5320,72,229,147.226,31.322
G16,5320,190,255,243.810,12.144,5320,40,192,116.637,37.059,5320,40,192,116.637,37.059
G17,5320,111,254,196.342,26.235,5320,111,253,195.441,25.972,5320,115,255,226.129,31.315
G18,5320,115,255,227.301,32.472,5320,30,245,191.099,43.291,5320,30,247,193.239,44.040
G19,5320,76,255,209.801,45.392,5320,0,147,67.228,40.982,5320,0,147,67.228,40.982
G20,5320,144,255,241.033,18.577,5320,0,126,33.734,31.605,5320,0,126,33.734,31.605
G21,5320,71,255,213.413,39.718,5320,0,67,10.609,15.868,5320,0,67,10.609,15.868
G22,5320,51,228,164.734,48.269,5320,2,131,53.977,33.713,5320,2,131,53.977,33.713
G23,5320,119,255,241.232,17.053,5320,27,223,131.878,26.910,5320,27,223,131.878,26.911
G24,5320,34,255,175.210,57.250,5320,0,138,32.499,33.735,5320,0,138,32.499,33.735
G25,5320,41,255,184.917,56.268,5320,0,146,77.340,50.864,5320,0,146,77.340,50.864
G26,5320,36,255,191.806,53.698,5320,0,57,11.930,12.844,5320,0,57,11.930,12.844
G27,5320,161,255,226.139,20.981,5320,0,123,81.949,31.501,5320,0,123,81.949,31.501
G28,5320,125,255,189.272,26.363,5320,60,125,88.617,15.466,5320,60,125,88.617,15.466
G29,5320,84,255,230.759,39.625,5320,0,139,35.952,19.467,5320,0,139,35.952,19.467
G30,5320,110,255,230.312,35.116,5320,13,143,94.463,30.597,5320,13,143,94.463,30.597
G31,5320,181,255,237.133,13.270,5320,0,83,10.537,19.794,5320,0,83,10.537,19.794
G32,5320,36,255,204.209,42.646,5320,0,74,17.169,19.905,5320,0,74,17.169,19.905
G33,5320,141,255,221.768,27.162,5320,40,103,64.255,13.839,5320,40,103,64.255,13.839
G34,5320,89,224,163.106,29.108,5320,36,124,79.786,19.542,5320,36,124,79.786,19.542
G35,5320,112,255,231.264,21.211,5320,0,183,114.426,38.263,5320,0,183,114.426,38.263
G36,5320,80,255,228.101,21.774,5320,0,171,24.994,37.789,5320,0,171,24.994,37.789
G37,5320,46,255,220.089,35.731,5320,0,178,123.348,44.456,5320,0,178,123.348,44.456
G38,5320,135,255,227.962,30.260,5320,28,168,94.589,36.621,5320,28,168,94.589,36.621
G39,5320,55,255,223.724,41.236,5320,0,143,92.877,35.218,5320,0,143,92.877,35.218
G40,5320,164,255,220.740,25.835,5320,9,250,151.897,56.184,5320,9,250,152.131,56.489
G41,5320,117,255,219.476,24.867,5320,8,242,164.109,37.455,5320,8,242,164.186,37.566
G42,5320,153,255,230.623,25.461,5320,102,216,156.574,20.503,5320,102,216,156.574,20.503
G43,5320,90,255,188.792,32.836,5320,90,253,187.999,31.586,5320,122,255,230.494,23.356
G44,5320,104,248,195.942,25.824,5320,77,243,179.670,35.113,5320,77,255,192.921,45.484
G45,5320,104,240,181.216,28.971,5320,104,238,180.698,29.183,5320,120,255,238.169,23.496
G46,5320,51,180,104.600,26.571,5320,51,180,104.600,26.571,5320,141,255,243.647,16.266
