Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,97,255,219.790,36.378,5320,97,232,170.285,31.306,5320,100,236,171.954,32.648
G2,5320,46,255,153.309,57.072,5320,46,222,129.411,45.561,5320,46,223,135.578,44.923
G3,5320,44,213,140.597,39.932,5320,44,204,140.360,39.620,5320,71,255,203.243,41.951
G4,5320,32,254,140.066,52.238,5320,32,224,138.954,50.637,5320,36,255,168.189,64.847
G5,5320,157,255,231.226,16.450,5320,157,248,226.965,14.077,5320,168,255,240.092,13.342
G6,5320,16,94,42.421,14.894,5320,16,94,42.421,14.894,5320,74,255,211.752,31.253
G7,5320,29,192,151.380,30.839,5320,29,192,151.380,30.839,5320,79,255,223.026,26.336
G8,5320,44,255,174.663,50.928,5320,44,224,164.242,42.601,5320,49,233,172.842,43.069
G9,5320,185,255,233.022,18.004,5320,156,250,207.623,19.389,5320,156,255,208.675,20.965
G10,5320,56,235,166.323,44.210,5320,51,235,151.675,44.648,5320,51,255,158.989,49.291
G11,5320,51,232,145.230,47.236,5320,0,231,139.112,51.686,5320,0,255,239.887,44.998
G12,5320,70,245,194.583,34.644,5320,70,245,194.583,34.644,5320,164,255,244.297,14.722
G13,5320,160,255,220.800,24.926,5320,159,249,212.921,21.926,5320,159,255,215.805,22.685
G14,5320,182,255,235.755,16.806,5320,151,251,207.423,17.695,5320,151,251,208.626,18.637
G15,5320,72,255,148.504,45.579,5320,9,211,102.195,42.514,5320,9,211,102.195,42.514
G16,5320,158,255,216.061,23.774,5320,4,180,112.445,40.900,5320,4,180,112.445,40.900
G17,5320,112,255,208.985,27.477,5320,95,248,206.846,28.148,5320,95,255,226.111,32.953
G18,5320,173,255,230.266,20.839,5320,151,252,216.375,22.706,5320,151,255,221.224,22.275
G19,5320,147,255,200.964,28.256,5320,70,247,161.892,41.071,5320,70,248,166.614,44.670
G20,5320,34,255,176.164,54.508,5320,0,212,44.197,53.565,5320,0,212,44.197,53.565
G21,5320,47,255,230.003,32.056,5320,0,73,3.521,10.646,5320,0,73,3.521,10.646
G22,5320,23,255,167.948,64.968,5320,0,167,45.780,48.222,5320,0,167,45.780,48.222
G23,5320,156,255,234.246,23.882,5320,49,227,119.921,48.950,5320,49,227,119.921,48.950
G24,5320,167,255,233.956,16.422,5320,57,172,104.476,25.549,5320,57,172,104.476,25.549
G25,5320,49,255,228.241,35.778,5320,0,100,40.140,28.504,5320,0,100,40.140,28.504
G26,5320,0,255,169.529,50.268,5320,0,164,13.405,32.318,5320,0,164,13.405,32.318
G27,5320,98,255,221.887,38.330,5320,0,189,139.858,41.182,5320,0,189,139.858,41.182
G28,5320,97,255,175.662,31.857,5320,62,157,104.689,22.197,5320,62,157,104.689,22.197
G29,5320,134,255,216.836,31.046,5320,55,203,94.539,21.802,5320,55,203,94.539,21.802
G30,5320,138,255,211.994,28.369,5320,5,220,116.747,54.374,5320,5,220,116.747,54.374
G31,5320,72,255,166.982,39.605,5320,0,206,37.276,56.641,5320,0,206,37.276,56.641
G32,5320,38,255,197.241,53.073,5320,0,141,47.125,48.989,5320,0,141,47.125,48.989
G33,5320,132,255,221.686,28.761,5320,71,142,107.735,13.268,5320,71,142,107.735,13.268
G34,5320,102,227,164.610,29.294,5320,47,145,94.980,23.612,5320,47,145,94.980,23.612
G35,5320,228,255,249.275,6.569,5320,184,240,213.060,11.687,5320,184,240,213.279,11.869
G36,5320,99,255,233.334,28.723,5320,59,246,206.133,34.830,5320,59,247,209.296,36.180
G37,5320,87,255,218.466,34.161,5320,54,228,171.784,38.166,5320,54,228,171.906,38.192
G38,5320,134,255,225.882,30.415,5320,56,201,125.371,35.132,5320,56,201,125.371,35.132
G39,5320,54,255,223.757,41.390,5320,0,162,107.617,38.684,5320,0,162,107.617,38.684
G40,5320,166,236,202.936,17.522,5320,166,235,202.907,17.470,5320,193,255,238.248,14.248
G41,5320,120,253,213.418,23.241,5320,120,253,210.922,22.590,5320,128,255,224.031,26.202
G42,5320,144,255,229.562,26.657,5320,120,241,181.095,23.735,5320,120,241,181.589,23.666
G43,5320,82,213,138.898,33.105,5320,82,213,138.898,33.105,5320,150,255,231.452,20.747
G44,5320,105,245,178.029,26.913,5320,92,234,169.408,29.124,5320,92,255,201.036,41.749
G45,5320,85,216,158.898,29.985,5320,85,216,158.726,30.000,5320,143,255,237.612,24.562
G46,5320,49,188,91.453,31.061,5320,49,188,91.453,31.061,5320,142,255,242.137,18.400
