Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,72,255,179.050,42.543,5320,69,250,170.805,37.623,5320,69,254,188.608,42.986
G2,5320,70,254,168.289,45.430,5320,60,226,144.638,46.127,5320,60,241,151.304,53.104
G3,5320,92,206,182.149,18.003,5320,92,206,182.149,18.003,5320,177,255,248.198,11.554
G4,5320,42,206,136.214,45.134,5320,42,206,136.129,45.179,5320,95,250,200.469,39.205
G5,5320,75,255,183.862,47.678,5320,75,247,175.200,44.355,5320,106,255,223.356,30.717
G6,5320,0,104,18.823,22.042,5320,0,104,18.823,22.042,5320,79,255,208.052,39.130
G7,5320,19,204,149.072,34.602,5320,19,204,149.072,34.602,5320,88,255,215.397,28.944
G8,5320,51,240,135.285,44.061,5320,51,234,135.083,43.627,5320,102,255,192.359,39.404
G9,5320,80,255,214.179,47.685,5320,80,252,200.183,39.927,5320,161,255,235.263,17.680
G10,5320,205,255,240.762,7.886,5320,115,230,167.745,25.522,5320,115,232,167.750,25.534
G11,5320,39,181,125.948,37.217,5320,39,181,125.948,37.217,5320,115,255,252.458,10.446
G12,5320,85,238,183.625,29.886,5320,85,238,183.625,29.886,5320,192,255,246.960,13.732
G13,5320,132,255,216.341,30.080,5320,17,249,192.494,47.969,5320,17,255,195.752,49.900
G14,5320,58,255,213.132,37.383,5320,0,219,61.488,70.541,5320,0,222,61.535,70.635
G15,5320,116,255,223.321,30.154,5320,0,162,98.579,32.811,5320,0,162,98.579,32.811
G16,5320,52,255,163.035,61.114,5320,28,249,113.152,61.953,5320,28,249,113.158,61.956
G17,5320,81,254,188.974,27.173,5320,81,249,188.796,26.829,5320,101,255,225.563,30.464
G18,5320,110,255,211.073,34.859,5320,0,248,170.851,62.329,5320,0,248,172.142,63.018
G19,5320,13,255,163.854,58.680,5320,0,119,24.956,37.150,5320,0,119,24.956,37.150
G20,5320,0,255,228.824,32.087,5320,0,163,91.490,50.474,5320,0,163,91.490,50.474
G21,5320,21,255,213.131,47.565,5320,10,191,124.820,38.770,5320,10,191,124.820,38.770
G22,5320,64,255,227.218,33.783,5320,56,192,142.826,32.257,5320,56,192,142.826,32.257
G23,5320,128,255,222.158,29.392,5320,0,239,135.977,35.479,5320,0,239,135.977,35.479
G24,5320,112,255,239.225,23.488,5320,47,140,125.480,11.224,5320,47,140,125.480,11.224
G25,5320,121,255,219.056,29.025,5320,19,152,85.115,36.228,5320,19,152,85.115,36.228
G26,5320,212,255,245.105,10.625,5320,0,126,14.711,22.135,5320,0,126,14.711,22.135
G27,5320,199,255,247.398,10.161,5320,0,108,10.856,20.252,5320,0,108,10.856,20.252
G28,5320,104,255,223.722,32.423,5320,0,122,42.072,34.653,5320,0,122,42.072,34.653
G29,5320,115,255,229.707,27.183,5320,0,126,48.813,51.909,5320,0,126,48.813,51.909
G30,5320,173,255,234.809,16.821,5320,0,119,16.100,27.087,5320,0,119,16.100,27.087
G31,5320,41,255,180.489,57.031,5320,0,49,7.620,11.697,5320,0,49,7.620,11.697
G32,5320,50,250,163.786,49.314,5320,0,88,16.895,24.528,5320,0,88,16.895,24.528
G33,5320,64,252,190.077,50.114,5320,0,100,55.198,30.465,5320,0,100,55.198,30.465
G34,5320,92,237,166.354,33.819,5320,35,133,80.948,24.824,5320,35,133,80.948,24.824
G35,5320,123,255,218.587,33.145,5320,0,196,58.865,56.599,5320,0,196,58.865,56.599
G36,5320,77,251,195.226,31.570,5320,0,197,85.577,49.909,5320,0,197,85.577,49.909
G37,5320,52,255,214.878,39.852,5320,0,201,139.328,45.592,5320,0,201,139.328,45.592
G38,5320,160,255,227.248,29.535,5320,62,177,116.661,31.710,5320,62,177,116.661,31.710
G39,5320,37,255,222.933,46.469,5320,0,145,94.767,36.776,5320,0,145,94.767,36.776
G40,5320,174,255,215.213,20.169,5320,156,239,191.499,18.884,5320,156,250,192.152,20.012
G41,5320,100,250,208.402,21.867,5320,80,242,181.033,25.731,5320,80,250,181.453,26.430
G42,5320,169,255,230.893,25.020,5320,118,226,171.395,19.382,5320,118,226,171.405,19.384
G43,5320,70,249,171.827,47.461,5320,70,245,171.326,46.785,5320,131,255,226.161,22.628
G44,5320,103,254,188.193,28.629,5320,88,236,180.538,28.724,5320,88,255,206.435,36.083
G45,5320,74,228,144.632,37.287,5320,74,228,144.568,37.211,5320,166,255,242.988,14.057
G46,5320,0,141,59.475,41.615,5320,0,141,59.475,41.615,5320,87,255,233.557,26.802
