Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,58,245,138.098,55.222,5320,58,245,136.647,53.448,5320,92,255,196.250,32.981
G2,5320,29,205,106.847,39.634,5320,29,205,106.847,39.634,5320,88,255,208.446,37.025
G3,5320,2,107,75.482,17.589,5320,2,107,75.482,17.589,5320,129,255,231.678,18.603
G4,5320,0,60,21.038,18.809,5320,0,60,21.038,18.809,5320,56,252,201.113,43.872
G5,5320,0,106,15.883,26.994,5320,0,106,15.883,26.994,5320,75,254,218.253,25.558
G6,5320,0,56,6.875,12.325,5320,0,56,6.875,12.325,5320,104,255,211.241,38.387
G7,5320,0,102,51.226,24.874,5320,0,102,51.226,24.874,5320,124,255,216.750,27.273
G8,5320,0,42,2.876,6.964,5320,0,42,2.876,6.964,5320,59,255,191.162,43.608
G9,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,83,255,212.573,31.665
G10,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,65,255,194.667,50.244
G11,5320,0,206,79.390,53.378,5320,0,206,78.584,52.321,5320,86,255,241.466,25.388
G12,5320,3,112,41.991,17.763,5320,3,112,41.991,17.763,5320,203,255,246.152,14.058
G13,5320,0,49,7.189,12.776,5320,0,49,7.189,12.776,5320,166,255,233.058,22.734
G14,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,173,255,227.014,23.725
G15,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,65,252,143.673,44.028
G16,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,148,255,210.837,27.819
G17,5320,49,156,88.147,22.817,5320,49,156,88.128,22.770,5320,147,255,233.382,24.801
G18,5320,0,131,61.580,39.010,5320,0,131,61.580,39.010,5320,145,255,238.399,21.714
G19,5320,0,120,22.589,26.554,5320,0,120,22.589,26.554,5320,125,255,217.871,29.295
G20,5320,0,123,19.677,34.010,5320,0,123,19.677,34.010,5320,0,255,156.655,51.466
G21,5320,0,157,40.406,47.527,5320,0,157,40.360,47.513,5320,0,255,175.709,50.180
G22,5320,0,246,121.150,61.665,5320,0,242,121.121,61.616,5320,25,255,199.732,48.489
G23,5320,41,255,173.233,52.136,5320,41,234,161.878,40.333,5320,127,255,212.859,31.363
G24,5320,36,228,143.543,33.275,5320,36,204,143.009,32.626,5320,123,255,219.898,25.840
G25,5320,0,193,131.384,19.547,5320,0,193,131.384,19.547,5320,47,255,212.249,28.463
G26,5320,0,207,71.057,67.093,5320,0,207,71.057,67.093,5320,29,255,181.176,44.145
G27,5320,0,255,191.081,80.204,5320,0,249,171.973,71.140,5320,58,255,213.728,29.556
G28,5320,77,255,221.542,37.625,5320,34,247,129.444,44.378,5320,34,248,129.507,44.477
G29,5320,135,255,229.981,28.021,5320,110,248,180.696,30.917,5320,110,255,188.153,36.790
G30,5320,36,249,140.174,46.477,5320,36,244,139.285,44.727,5320,99,255,223.894,33.821
G31,5320,0,91,12.907,22.788,5320,0,91,12.907,22.788,5320,50,220,128.340,40.145
G32,5320,0,220,55.586,68.409,5320,0,186,51.533,61.682,5320,0,255,138.046,53.499
G33,5320,50,250,191.748,49.276,5320,31,178,104.307,31.544,5320,31,178,104.309,31.541
G34,5320,97,255,166.989,31.008,5320,58,179,99.133,24.641,5320,58,179,99.133,24.641
G35,5320,91,240,193.161,30.287,5320,24,226,169.095,36.256,5320,24,251,186.594,44.660
G36,5320,0,200,140.899,44.592,5320,0,200,140.899,44.592,5320,65,255,219.148,39.651
G37,5320,0,255,145.046,58.843,5320,0,247,140.611,52.979,5320,54,255,203.711,41.594
G38,5320,108,255,245.547,10.058,5320,104,244,162.489,35.580,5320,104,255,163.409,37.285
G39,5320,49,255,218.408,48.412,5320,0,178,101.741,45.007,5320,0,178,101.741,45.007
G40,5320,92,202,151.777,28.829,5320,92,202,151.777,28.829,5320,183,255,236.661,17.670
G41,5320,71,175,117.431,15.169,5320,71,175,117.431,15.169,5320,123,255,222.862,29.642
G42,5320,25,255,210.655,37.919,5320,87,249,183.617,27.066,5320,25,252,194.584,28.664
G43,5320,25,167,117.259,40.119,5320,25,167,117.259,40.119,5320,116,255,221.003,32.406
G44,5320,76,229,157.696,36.546,5320,76,225,156.560,35.632,5320,91,255,219.699,32.295
G45,5320,21,192,109.704,43.219,5320,21,192,109.704,43.219,5320,150,255,243.198,17.119
G46,5320,0,124,47.308,28.224,5320,0,124,47.308,28.224,5320,110,255,227.261,27.759
