Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,55,255,162.481,45.022,5320,55,244,160.251,42.697,5320,72,255,195.914,42.277
G2,5320,29,239,131.846,42.594,5320,29,239,131.845,42.592,5320,72,255,171.677,47.067
G3,5320,58,166,142.055,15.600,5320,58,166,142.055,15.600,5320,108,255,247.999,13.716
G4,5320,0,154,70.017,49.186,5320,0,154,70.017,49.186,5320,52,247,189.303,53.877
G5,5320,0,133,18.257,32.074,5320,0,133,18.257,32.074,5320,81,255,233.531,25.328
G6,5320,0,60,5.903,10.839,5320,0,60,5.903,10.839,5320,76,255,212.392,35.344
G7,5320,0,143,98.820,32.724,5320,0,143,98.820,32.724,5320,76,255,214.219,31.254
G8,5320,0,129,65.463,34.664,5320,0,129,65.463,34.664,5320,75,255,184.089,38.601
G9,5320,0,185,51.792,52.331,5320,0,185,51.792,52.331,5320,49,255,205.430,33.615
G10,5320,0,209,133.767,64.671,5320,0,209,133.767,64.671,5320,49,255,224.816,43.660
G11,5320,8,127,71.497,31.322,5320,8,127,71.497,31.322,5320,123,255,247.209,19.565
G12,5320,27,139,101.023,22.989,5320,27,139,101.023,22.989,5320,187,255,248.252,12.300
G13,5320,82,141,119.503,14.642,5320,82,141,119.503,14.642,5320,152,255,224.252,27.253
G14,5320,82,209,142.882,31.670,5320,82,209,142.882,31.670,5320,157,255,230.235,21.261
G15,5320,186,224,210.254,7.971,5320,186,224,210.254,7.971,5320,242,255,253.681,2.598
G16,5320,0,196,96.678,73.737,5320,0,196,96.678,73.737,5320,35,255,206.048,52.636
G17,5320,74,142,114.650,11.938,5320,74,142,114.644,11.934,5320,129,255,229.223,25.213
G18,5320,98,159,140.354,12.949,5320,98,159,140.354,12.949,5320,176,255,238.077,18.102
G19,5320,100,204,152.267,18.395,5320,100,204,152.267,18.395,5320,157,255,236.595,22.857
G20,5320,116,239,204.929,26.994,5320,116,239,204.928,26.995,5320,130,255,235.075,30.803
G21,5320,87,249,183.570,41.483,5320,87,241,179.741,37.735,5320,122,255,216.431,31.600
G22,5320,1,255,192.214,65.293,5320,1,251,183.764,59.683,5320,47,254,209.939,43.951
G23,5320,74,164,133.554,19.875,5320,74,164,133.554,19.875,5320,143,255,245.699,14.425
G24,5320,60,211,142.185,34.235,5320,60,211,142.185,34.235,5320,108,255,213.856,39.103
G25,5320,105,235,188.196,28.636,5320,80,225,177.818,36.179,5320,80,255,194.013,43.857
G26,5320,146,255,227.165,21.955,5320,99,227,158.352,23.854,5320,99,245,159.048,25.691
G27,5320,197,255,244.764,13.342,5320,80,215,147.088,22.749,5320,80,215,147.088,22.749
G28,5320,100,255,222.231,31.254,5320,52,213,119.409,37.131,5320,52,213,119.409,37.131
G29,5320,30,217,123.329,41.977,5320,30,217,123.323,41.969,5320,67,255,200.751,39.470
G30,5320,177,251,217.521,17.425,5320,137,230,198.121,21.146,5320,137,255,201.342,24.103
G31,5320,185,255,233.350,17.823,5320,133,249,199.810,28.389,5320,133,250,199.831,28.424
G32,5320,46,253,180.183,39.501,5320,29,251,127.375,46.488,5320,29,255,127.689,47.110
G33,5320,80,252,188.025,49.534,5320,33,142,99.203,32.961,5320,33,142,99.203,32.961
G34,5320,92,231,166.763,32.613,5320,41,151,101.523,26.992,5320,41,151,101.523,26.992
G35,5320,85,255,193.381,33.997,5320,65,224,167.642,33.918,5320,65,228,170.681,36.790
G36,5320,185,255,236.772,16.367,5320,160,247,200.174,17.717,5320,160,247,200.193,17.714
G37,5320,56,255,218.364,35.161,5320,48,251,190.848,36.924,5320,48,254,191.031,36.987
G38,5320,180,255,230.270,23.611,5320,100,203,142.822,26.258,5320,100,203,142.822,26.258
G39,5320,48,255,223.592,45.477,5320,0,168,110.094,41.697,5320,0,168,110.094,41.697
G40,5320,64,255,174.237,50.474,5320,54,202,137.792,33.675,5320,54,218,138.913,34.788
G41,5320,99,252,200.062,26.411,5320,99,239,195.881,25.500,5320,99,255,199.300,27.590
G42,5320,150,255,229.958,27.064,5320,133,245,188.730,23.343,5320,133,245,189.546,22.790
G43,5320,28,231,147.391,53.493,5320,28,231,147.364,53.464,5320,83,255,215.028,32.499
G44,5320,78,254,176.654,30.880,5320,78,243,171.662,29.882,5320,96,255,208.495,34.778
G45,5320,42,212,127.770,44.869,5320,42,212,127.715,44.797,5320,179,255,240.562,16.461
G46,5320,0,136,61.051,38.602,5320,0,136,61.051,38.602,5320,87,255,235.640,24.855
