Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,203,255,243.115,9.592,5320,55,174,101.741,21.307,5320,55,174,101.741,21.307
G2,5320,80,255,218.846,45.000,5320,33,123,90.252,17.272,5320,33,123,90.252,17.272
G3,5320,135,255,232.391,29.135,5320,123,210,163.084,17.572,5320,123,220,165.725,20.864
G4,5320,158,255,230.508,22.614,5320,79,162,127.702,20.017,5320,79,162,127.702,20.017
G5,5320,47,255,208.920,46.548,5320,22,184,124.573,28.443,5320,22,184,124.573,28.443
G6,5320,33,201,130.559,38.041,5320,33,201,130.559,38.041,5320,79,254,201.897,33.672
G7,5320,109,255,213.058,36.634,5320,109,244,182.300,30.127,5320,126,249,190.269,31.418
G8,5320,172,255,238.080,16.406,5320,43,165,89.126,26.031,5320,43,165,89.126,26.031
G9,5320,168,255,223.775,27.479,5320,44,192,109.586,31.930,5320,44,192,109.896,32.441
G10,5320,15,248,137.304,60.608,5320,15,215,132.845,56.550,5320,78,234,183.936,32.761
G11,5320,28,236,182.433,44.020,5320,28,236,182.433,44.020,5320,65,255,233.069,37.435
G12,5320,135,255,233.258,19.964,5320,124,242,212.148,26.434,5320,124,255,219.860,32.233
G13,5320,85,255,221.666,30.121,5320,23,174,111.945,24.846,5320,23,174,111.945,24.846
G14,5320,96,255,214.356,41.721,5320,36,183,99.864,32.868,5320,36,183,99.864,32.868
G15,5320,14,248,151.643,53.601,5320,14,208,136.511,45.004,5320,50,215,144.026,39.962
G16,5320,14,192,95.722,39.008,5320,14,192,95.722,39.008,5320,59,252,147.699,57.008
G17,5320,132,255,223.548,30.940,5320,130,242,201.117,24.607,5320,132,255,204.127,27.170
G18,5320,56,255,174.457,59.750,5320,0,201,86.702,67.208,5320,0,201,86.702,67.208
G19,5320,80,255,206.552,36.498,5320,0,129,42.612,32.987,5320,0,129,42.612,32.987
G20,5320,139,255,228.584,22.791,5320,14,253,203.961,48.054,5320,14,255,208.880,51.319
G21,5320,48,255,178.612,63.871,5320,48,244,172.786,58.395,5320,50,253,178.394,58.876
G22,5320,40,255,181.587,38.987,5320,40,229,151.994,27.798,5320,42,229,152.327,27.557
G23,5320,87,255,219.361,47.735,5320,0,161,79.311,55.463,5320,0,161,79.311,55.463
G24,5320,96,255,205.603,33.642,5320,0,22,0.438,1.858,5320,0,22,0.438,1.858
G25,5320,110,255,232.214,37.739,5320,0,250,184.199,67.815,5320,0,255,184.973,68.495
G26,5320,134,255,231.132,25.020,5320,0,242,119.959,76.738,5320,0,242,120.243,77.118
G27,5320,88,255,226.274,31.285,5320,0,147,29.392,37.499,5320,0,147,29.392,37.499
G28,5320,101,255,184.519,36.427,5320,17,124,50.478,28.196,5320,17,124,50.478,28.196
G29,5320,88,255,182.771,39.382,5320,0,247,70.820,68.761,5320,0,250,70.847,68.831
G30,5320,116,255,234.117,23.430,5320,6,246,202.474,34.702,5320,6,255,206.565,37.127
G31,5320,24,255,220.832,49.568,5320,0,228,137.495,60.092,5320,0,255,148.692,68.291
G32,5320,31,246,179.165,48.662,5320,0,126,61.318,40.797,5320,0,126,61.318,40.797
G33,5320,83,255,160.437,40.462,5320,11,159,65.245,38.791,5320,11,159,65.245,38.791
G34,5320,32,255,182.054,59.513,5320,0,165,25.700,27.414,5320,0,255,26.131,29.727
G35,5320,33,246,116.129,60.649,5320,33,243,116.118,60.627,5320,96,255,217.917,36.200
G36,5320,42,254,144.865,67.784,5320,41,242,136.736,60.288,5320,46,255,217.289,39.366
G37,5320,149,255,228.336,29.650,5320,75,233,158.604,42.715,5320,75,237,158.720,42.908
G38,5320,174,255,244.655,15.383,5320,88,169,123.791,13.798,5320,88,169,123.791,13.798
G39,5320,22,255,186.823,55.612,5320,22,180,117.010,29.591,5320,39,253,124.379,33.993
G40,5320,18,230,97.824,37.394,5320,18,229,97.822,37.389,5320,78,243,195.845,38.260
G41,5320,70,255,193.149,56.840,5320,70,252,178.155,45.590,5320,107,255,202.606,28.042
G42,5320,62,255,215.030,40.452,5320,53,224,161.418,36.876,5320,53,232,161.486,36.978
G43,5320,1,227,61.189,50.603,5320,1,227,61.167,50.537,5320,113,255,218.457,32.571
G44,5320,6,240,174.195,38.108,5320,4,219,152.000,35.176,5320,4,233,165.172,43.776
G45,5320,33,255,129.219,58.615,5320,32,255,125.503,54.230,5320,32,255,147.427,55.167
G46,5320,122,250,172.523,28.509,5320,119,232,170.573,26.465,5320,120,255,234.943,24.021
