Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,179,255,239.067,16.553,5320,73,247,165.761,36.608,5320,73,247,166.016,36.991
G2,5320,57,255,218.824,45.980,5320,32,229,151.713,32.388,5320,32,235,152.258,33.450
G3,5320,83,255,187.715,42.027,5320,83,253,185.602,40.329,5320,139,255,227.385,25.336
G4,5320,61,226,150.066,42.637,5320,61,220,146.896,39.191,5320,96,255,201.408,33.328
G5,5320,80,194,142.772,20.730,5320,76,194,141.616,20.263,5320,76,255,174.196,25.411
G6,5320,12,127,54.748,28.906,5320,12,127,54.748,28.906,5320,54,255,199.819,53.364
G7,5320,38,190,124.933,31.099,5320,38,190,124.933,31.099,5320,79,255,205.949,29.692
G8,5320,98,184,137.432,21.473,5320,98,184,137.432,21.473,5320,178,255,237.302,15.447
G9,5320,108,201,159.116,19.126,5320,108,201,159.115,19.128,5320,133,255,232.107,25.733
G10,5320,22,233,157.492,48.417,5320,0,192,100.986,58.333,5320,0,232,104.474,61.361
G11,5320,20,159,118.630,24.634,5320,20,159,118.630,24.634,5320,124,255,248.360,15.310
G12,5320,100,192,149.503,18.989,5320,100,192,149.503,18.989,5320,172,255,234.782,19.743
G13,5320,113,202,171.476,20.374,5320,113,202,171.476,20.374,5320,131,255,222.394,31.091
G14,5320,88,228,185.853,32.899,5320,88,228,185.852,32.900,5320,105,255,219.465,35.509
G15,5320,146,255,230.127,26.773,5320,110,251,193.275,33.719,5320,110,255,202.196,39.971
G16,5320,73,255,194.192,50.885,5320,36,155,95.984,26.693,5320,36,155,95.984,26.693
G17,5320,6,238,168.995,32.691,5320,6,232,167.943,31.124,5320,101,255,228.823,24.095
G18,5320,44,255,148.724,45.356,5320,44,211,138.741,33.086,5320,52,255,174.980,45.915
G19,5320,40,255,171.057,61.448,5320,23,228,130.579,51.112,5320,23,254,137.035,56.852
G20,5320,80,255,208.740,44.347,5320,4,233,102.298,54.531,5320,4,234,103.110,55.972
G21,5320,147,255,224.902,27.279,5320,0,107,34.355,24.529,5320,0,107,34.355,24.529
G22,5320,116,255,218.205,30.737,5320,0,108,60.073,28.110,5320,0,108,60.073,28.110
G23,5320,88,255,217.622,33.279,5320,0,201,72.940,61.409,5320,0,204,73.082,61.572
G24,5320,106,255,237.610,22.797,5320,0,135,43.332,38.986,5320,0,135,43.332,38.986
G25,5320,82,240,175.623,27.398,5320,0,46,6.465,10.878,5320,0,46,6.465,10.878
G26,5320,136,255,211.471,24.879,5320,0,2,0.002,0.056,5320,0,2,0.002,0.056
G27,5320,190,255,240.917,12.280,5320,0,14,0.279,1.457,5320,0,14,0.279,1.457
G28,5320,132,255,204.698,31.110,5320,0,24,2.034,4.872,5320,0,24,2.034,4.872
G29,5320,126,255,227.781,24.950,5320,0,1,3.759E-4,0.019,5320,0,1,3.759E-4,0.019
G30,5320,121,255,210.847,33.792,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G31,5320,145,255,232.688,22.944,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G32,5320,53,254,175.656,48.848,5320,0,17,0.390,1.835,5320,0,17,0.390,1.835
G33,5320,55,255,197.353,57.439,5320,0,66,8.523,12.556,5320,0,66,8.523,12.556
G34,5320,161,255,230.664,19.880,5320,0,208,87.316,59.946,5320,0,208,87.316,59.946
G35,5320,198,255,242.952,14.407,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G36,5320,108,255,220.453,39.390,5320,0,14,0.286,1.448,5320,0,14,0.286,1.448
G37,5320,148,255,220.989,28.483,5320,0,94,41.346,31.925,5320,0,94,41.346,31.925
G38,5320,157,255,221.843,23.878,5320,1,134,59.884,38.966,5320,1,134,59.884,38.966
G39,5320,29,255,212.329,45.732,5320,23,241,154.861,42.813,5320,23,241,156.558,44.417
G40,5320,141,255,211.480,29.289,5320,0,172,24.930,42.465,5320,0,172,24.930,42.465
G41,5320,116,255,216.749,30.699,5320,0,189,92.537,51.483,5320,0,189,92.537,51.483
G42,5320,66,255,228.297,29.630,5320,50,199,146.928,20.272,5320,50,199,146.928,20.272
G43,5320,142,255,208.361,25.210,5320,111,221,185.910,22.352,5320,111,221,185.999,22.326
G44,5320,77,255,202.134,38.738,5320,55,242,151.680,45.766,5320,55,242,151.680,45.766
G45,5320,74,255,201.724,38.596,5320,74,243,193.238,40.575,5320,83,253,200.735,41.907
G46,5320,29,252,152.138,63.664,5320,29,251,151.488,62.951,5320,165,255,242.683,17.383
