Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,206,255,241.286,9.906,5320,81,248,169.981,42.947,5320,81,252,172.041,45.618
G2,5320,53,255,217.758,44.418,5320,29,233,159.068,36.734,5320,29,239,159.889,37.455
G3,5320,59,245,168.383,39.335,5320,59,239,168.291,39.185,5320,136,255,228.936,25.047
G4,5320,63,242,140.647,35.634,5320,63,231,140.155,34.707,5320,108,243,201.192,26.885
G5,5320,80,210,157.473,23.068,5320,53,209,151.833,24.381,5320,53,226,173.780,29.215
G6,5320,11,129,47.868,26.900,5320,11,129,47.868,26.900,5320,55,255,196.139,52.645
G7,5320,14,215,129.789,41.363,5320,14,215,129.789,41.363,5320,77,255,203.555,29.014
G8,5320,109,234,167.345,32.698,5320,109,234,167.345,32.698,5320,183,255,234.141,18.988
G9,5320,116,229,174.058,25.462,5320,116,229,174.058,25.462,5320,133,255,225.490,31.051
G10,5320,29,255,164.913,62.306,5320,0,216,83.255,71.671,5320,0,236,85.514,74.323
G11,5320,28,168,123.677,27.952,5320,28,168,123.677,27.952,5320,162,255,247.060,18.515
G12,5320,108,219,166.551,26.594,5320,108,219,166.551,26.594,5320,169,255,234.755,20.904
G13,5320,166,251,229.751,15.467,5320,166,251,223.011,14.697,5320,187,255,232.875,14.893
G14,5320,160,255,230.712,25.691,5320,156,251,219.811,22.304,5320,156,255,223.139,22.243
G15,5320,184,255,239.872,12.552,5320,62,251,194.906,43.145,5320,62,254,195.318,43.390
G16,5320,62,255,206.848,43.932,5320,30,200,127.135,36.273,5320,30,200,127.135,36.273
G17,5320,18,255,187.792,33.546,5320,18,234,180.196,25.958,5320,90,255,226.349,27.026
G18,5320,151,255,230.918,19.971,5320,33,244,181.189,50.732,5320,33,255,191.038,56.550
G19,5320,230,255,250.650,6.270,5320,13,227,144.142,54.881,5320,13,227,144.142,54.881
G20,5320,192,255,240.269,15.599,5320,0,165,29.463,34.006,5320,0,165,29.463,34.006
G21,5320,137,255,225.902,32.298,5320,0,122,28.652,36.443,5320,0,122,28.652,36.443
G22,5320,68,255,210.358,40.111,5320,0,117,76.896,24.883,5320,0,117,76.896,24.883
G23,5320,206,255,250.172,8.397,5320,0,111,8.321,19.339,5320,0,111,8.321,19.339
G24,5320,194,255,244.667,13.486,5320,0,62,3.703,10.363,5320,0,62,3.703,10.363
G25,5320,172,255,230.863,20.451,5320,0,8,0.024,0.356,5320,0,8,0.024,0.356
G26,5320,173,255,226.378,21.589,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G27,5320,197,255,235.498,13.977,5320,0,23,0.644,2.782,5320,0,23,0.644,2.782
G28,5320,115,255,207.391,32.558,5320,0,45,4.916,10.151,5320,0,45,4.916,10.151
G29,5320,172,255,238.192,16.398,5320,0,43,7.308,10.250,5320,0,43,7.308,10.250
G30,5320,118,250,203.435,27.396,5320,0,158,43.400,53.201,5320,0,158,43.400,53.201
G31,5320,46,250,183.676,46.618,5320,0,148,24.354,41.505,5320,0,148,24.354,41.505
G32,5320,31,249,181.309,48.274,5320,0,94,15.654,25.226,5320,0,94,15.654,25.226
G33,5320,42,255,197.972,55.695,5320,0,127,36.068,32.939,5320,0,127,36.068,32.939
G34,5320,168,255,228.955,20.445,5320,0,225,91.267,68.008,5320,0,225,91.267,68.008
G35,5320,69,226,174.130,30.311,5320,26,226,153.371,40.700,5320,26,255,164.988,52.675
G36,5320,133,250,213.988,24.012,5320,102,246,187.081,30.291,5320,102,255,203.187,39.956
G37,5320,148,255,218.032,25.843,5320,56,217,154.215,44.556,5320,56,236,158.547,49.257
G38,5320,157,255,227.173,21.390,5320,62,182,113.456,31.976,5320,62,182,113.456,31.976
G39,5320,49,255,204.755,51.964,5320,40,244,167.933,41.838,5320,40,245,169.799,42.360
G40,5320,113,207,169.105,26.050,5320,113,207,169.105,26.050,5320,168,255,237.307,23.614
G41,5320,63,255,198.278,37.545,5320,63,249,190.231,30.984,5320,77,255,213.657,31.870
G42,5320,87,255,230.260,28.098,5320,83,249,193.753,25.826,5320,83,250,193.844,25.983
G43,5320,69,243,118.909,39.027,5320,69,240,118.903,39.011,5320,107,255,218.865,28.338
G44,5320,90,255,199.904,29.515,5320,90,254,195.034,28.205,5320,92,255,209.353,32.395
G45,5320,88,255,170.678,26.616,5320,88,209,169.935,26.305,5320,101,255,208.281,33.710
G46,5320,33,241,128.536,61.862,5320,33,240,128.184,61.476,5320,97,255,236.205,19.957
