Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,137,255,215.824,32.882,5320,125,252,198.319,29.082,5320,125,255,220.858,25.874
G2,5320,24,237,159.422,54.082,5320,24,237,159.422,54.082,5320,58,255,223.979,44.161
G3,5320,34,206,114.998,28.193,5320,34,206,114.998,28.193,5320,132,255,227.257,27.547
G4,5320,6,156,59.165,35.892,5320,6,156,59.165,35.892,5320,111,247,194.030,30.308
G5,5320,0,87,33.735,25.488,5320,0,87,33.735,25.488,5320,73,245,157.224,37.234
G6,5320,5,88,36.537,17.220,5320,5,88,36.537,17.220,5320,53,255,197.324,40.117
G7,5320,28,160,88.422,34.934,5320,28,160,88.422,34.934,5320,81,255,191.544,43.459
G8,5320,15,151,81.846,27.462,5320,15,151,81.846,27.462,5320,136,255,232.177,23.495
G9,5320,0,95,48.377,22.840,5320,0,95,48.377,22.840,5320,86,255,209.131,37.070
G10,5320,0,41,4.512,9.359,5320,0,41,4.512,9.359,5320,97,245,183.363,39.451
G11,5320,0,107,77.630,17.349,5320,0,107,77.630,17.349,5320,124,255,243.022,16.428
G12,5320,50,219,129.727,41.413,5320,50,219,129.727,41.413,5320,133,255,235.397,24.417
G13,5320,35,231,148.122,49.069,5320,35,231,148.122,49.069,5320,98,255,205.338,45.594
G14,5320,0,172,77.234,51.739,5320,0,172,77.234,51.739,5320,108,255,212.365,37.129
G15,5320,0,105,23.168,24.608,5320,0,105,23.168,24.608,5320,128,255,235.254,16.101
G16,5320,0,26,1.824,4.601,5320,0,26,1.824,4.601,5320,95,253,173.681,34.148
G17,5320,0,249,146.160,56.172,5320,0,249,146.160,56.171,5320,99,255,214.422,38.072
G18,5320,64,251,135.552,40.544,5320,64,248,133.707,41.083,5320,70,255,149.689,43.943
G19,5320,69,255,196.189,51.705,5320,68,249,180.984,46.986,5320,70,255,186.173,46.482
G20,5320,27,251,117.292,38.910,5320,27,201,114.922,33.404,5320,52,255,219.873,31.901
G21,5320,0,255,62.151,68.093,5320,0,218,59.514,61.931,5320,116,255,198.184,38.347
G22,5320,4,255,156.918,71.191,5320,4,226,147.338,62.144,5320,68,239,189.721,38.710
G23,5320,91,255,210.559,38.790,5320,62,242,99.770,27.826,5320,62,247,99.808,28.010
G24,5320,39,237,153.630,40.857,5320,22,179,100.032,33.620,5320,22,179,100.032,33.620
G25,5320,52,229,169.035,35.580,5320,51,222,165.302,35.321,5320,51,255,182.945,43.808
G26,5320,79,255,196.517,53.039,5320,5,227,104.881,59.970,5320,5,255,107.493,64.069
G27,5320,197,255,248.324,11.735,5320,0,179,37.474,49.447,5320,0,179,37.474,49.447
G28,5320,129,255,213.138,31.953,5320,0,158,72.295,41.525,5320,0,158,72.295,41.525
G29,5320,81,255,213.157,37.305,5320,70,231,163.866,29.536,5320,70,231,163.866,29.536
G30,5320,89,255,230.562,30.001,5320,80,247,216.246,31.246,5320,80,247,216.261,31.242
G31,5320,100,255,186.080,36.741,5320,0,218,74.285,70.696,5320,0,218,74.285,70.696
G32,5320,35,252,185.104,48.008,5320,0,150,41.179,52.623,5320,0,150,41.179,52.623
G33,5320,51,255,197.150,58.769,5320,0,164,97.464,52.021,5320,0,164,97.464,52.021
G34,5320,133,255,214.715,31.593,5320,47,250,156.563,56.100,5320,47,255,156.903,56.647
G35,5320,79,255,182.671,49.022,5320,76,252,170.533,53.580,5320,78,255,177.054,54.825
G36,5320,37,255,204.497,42.332,5320,28,236,156.073,35.411,5320,28,236,156.223,35.484
G37,5320,168,255,221.539,22.142,5320,114,236,179.928,29.802,5320,114,236,179.959,29.836
G38,5320,122,255,219.298,27.184,5320,105,205,146.479,25.854,5320,105,205,146.479,25.854
G39,5320,41,255,204.453,50.252,5320,38,252,188.396,46.842,5320,38,255,196.572,48.042
G40,5320,84,242,179.224,35.697,5320,66,240,176.909,39.412,5320,66,255,201.520,48.903
G41,5320,121,252,196.010,31.194,5320,121,249,192.312,29.351,5320,143,255,199.992,30.045
G42,5320,72,255,224.819,30.426,5320,68,248,204.979,27.915,5320,69,255,205.820,28.147
G43,5320,67,244,137.993,28.980,5320,67,244,137.992,28.978,5320,131,255,215.849,30.822
G44,5320,64,247,166.804,29.229,5320,63,247,154.241,36.022,5320,64,255,178.862,51.064
G45,5320,60,255,133.487,28.931,5320,59,204,132.803,27.775,5320,61,255,190.159,37.363
G46,5320,17,203,100.985,43.870,5320,17,203,100.677,43.267,5320,138,255,239.129,19.385
