Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,106,255,201.548,42.272,5320,106,246,189.528,36.184,5320,130,255,226.284,23.276
G2,5320,10,206,122.426,54.369,5320,10,206,122.426,54.369,5320,67,255,208.607,49.238
G3,5320,18,190,104.269,25.716,5320,18,190,104.269,25.716,5320,130,255,229.597,25.310
G4,5320,11,124,68.656,22.063,5320,11,124,68.656,22.063,5320,48,255,193.068,41.500
G5,5320,0,66,22.255,20.858,5320,0,66,22.255,20.858,5320,76,224,148.377,34.745
G6,5320,4,87,38.201,17.901,5320,4,87,38.201,17.901,5320,50,255,197.653,39.498
G7,5320,15,147,77.920,32.678,5320,15,147,77.920,32.678,5320,78,255,191.742,46.265
G8,5320,13,130,71.138,20.594,5320,13,130,71.138,20.594,5320,101,255,229.752,33.097
G9,5320,0,79,28.805,21.175,5320,0,79,28.805,21.175,5320,117,255,192.466,34.342
G10,5320,0,71,19.932,20.534,5320,0,71,19.932,20.534,5320,67,255,186.569,58.363
G11,5320,0,126,79.575,21.471,5320,0,126,79.575,21.471,5320,77,255,240.988,19.084
G12,5320,56,197,131.471,31.374,5320,56,197,131.471,31.374,5320,129,255,235.098,25.255
G13,5320,75,226,174.704,35.032,5320,75,226,174.702,35.030,5320,134,255,226.129,32.269
G14,5320,33,255,147.134,64.973,5320,33,252,147.017,64.792,5320,162,255,233.227,24.207
G15,5320,26,150,84.299,29.542,5320,26,150,84.299,29.542,5320,158,255,224.203,22.261
G16,5320,0,62,9.377,13.576,5320,0,62,9.377,13.576,5320,61,255,183.934,48.161
G17,5320,0,245,145.919,38.899,5320,0,244,145.897,38.846,5320,61,255,228.390,27.444
G18,5320,122,255,197.631,31.932,5320,121,243,194.872,31.312,5320,121,255,211.837,40.542
G19,5320,135,255,216.892,29.701,5320,135,253,213.649,28.219,5320,147,255,218.736,24.675
G20,5320,42,251,159.996,56.994,5320,23,245,155.027,58.341,5320,23,255,203.253,52.780
G21,5320,11,255,126.476,73.570,5320,11,253,120.023,68.854,5320,81,255,218.137,34.630
G22,5320,4,255,153.717,75.620,5320,4,251,151.446,73.302,5320,60,255,206.984,48.864
G23,5320,213,255,248.098,9.460,5320,143,240,196.204,21.246,5320,143,240,196.212,21.257
G24,5320,215,255,242.621,10.353,5320,197,251,222.160,12.486,5320,197,252,222.263,12.610
G25,5320,53,255,206.033,54.085,5320,16,251,126.797,65.101,5320,16,252,126.873,65.235
G26,5320,62,255,196.821,51.145,5320,6,218,65.039,46.977,5320,6,218,65.049,47.003
G27,5320,202,255,243.270,10.301,5320,66,236,118.857,45.619,5320,66,236,118.870,45.648
G28,5320,131,255,208.052,35.181,5320,53,196,114.801,37.585,5320,53,196,114.801,37.585
G29,5320,84,255,193.302,44.533,5320,80,241,176.887,39.325,5320,80,241,176.887,39.325
G30,5320,134,255,213.955,31.565,5320,79,237,168.983,37.455,5320,79,237,169.918,37.579
G31,5320,49,255,233.949,26.732,5320,30,241,142.324,40.595,5320,30,241,142.334,40.616
G32,5320,29,255,191.068,50.472,5320,12,171,95.616,38.896,5320,12,171,95.616,38.896
G33,5320,40,255,199.846,57.488,5320,14,177,121.006,47.386,5320,14,177,121.006,47.386
G34,5320,135,255,215.969,32.869,5320,68,251,169.401,55.864,5320,68,255,170.251,57.041
G35,5320,67,220,134.102,27.193,5320,67,218,134.048,27.145,5320,88,222,169.675,30.496
G36,5320,53,249,161.171,40.156,5320,52,235,155.455,36.133,5320,55,237,172.053,29.742
G37,5320,167,255,219.069,23.400,5320,141,237,191.028,22.294,5320,141,237,193.599,24.582
G38,5320,121,255,218.354,27.483,5320,107,214,157.523,24.743,5320,107,214,157.523,24.743
G39,5320,25,255,198.406,49.164,5320,25,245,187.260,46.032,5320,33,255,201.077,44.726
G40,5320,89,230,173.338,30.072,5320,89,230,173.338,30.072,5320,116,255,223.608,33.072
G41,5320,114,248,186.340,32.000,5320,114,247,185.078,30.904,5320,142,255,204.061,32.551
G42,5320,81,255,223.325,31.265,5320,80,247,208.081,28.854,5320,80,255,209.919,29.102
G43,5320,36,238,110.545,40.172,5320,36,238,110.545,40.172,5320,117,255,216.823,32.523
G44,5320,49,240,167.711,29.244,5320,49,240,157.365,29.176,5320,51,255,188.283,45.299
G45,5320,68,255,127.733,28.570,5320,68,213,127.067,27.007,5320,71,252,189.551,35.142
G46,5320,11,209,108.823,43.435,5320,11,208,108.788,43.362,5320,131,255,244.092,17.040
