Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,166,255,229.939,24.753,5320,112,250,199.570,31.721,5320,112,255,216.483,37.936
G2,5320,39,255,186.134,57.524,5320,39,251,185.614,56.982,5320,51,255,218.266,46.355
G3,5320,39,205,118.854,36.054,5320,39,205,118.854,36.054,5320,140,255,236.052,21.750
G4,5320,4,185,71.299,42.949,5320,4,185,71.299,42.949,5320,157,254,214.574,20.209
G5,5320,0,90,14.604,21.484,5320,0,90,14.604,21.484,5320,55,235,193.324,32.624
G6,5320,5,65,31.356,15.100,5320,5,65,31.356,15.100,5320,54,255,199.958,49.098
G7,5320,18,93,62.294,19.225,5320,18,93,62.294,19.225,5320,64,255,205.224,33.616
G8,5320,0,43,7.778,8.740,5320,0,43,7.778,8.740,5320,164,255,230.061,20.214
G9,5320,0,9,0.187,0.936,5320,0,9,0.187,0.936,5320,131,255,236.236,25.639
G10,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,64,255,192.389,48.089
G11,5320,23,85,63.460,11.929,5320,23,85,63.460,11.929,5320,175,255,243.164,15.673
G12,5320,8,85,56.851,18.309,5320,8,85,56.851,18.309,5320,155,255,234.166,19.393
G13,5320,0,44,2.533,6.437,5320,0,44,2.533,6.437,5320,140,255,231.369,26.564
G14,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,173,255,234.693,17.928
G15,5320,0,1,0.028,0.166,5320,0,1,0.028,0.166,5320,137,255,192.944,29.801
G16,5320,0,154,29.025,38.947,5320,0,154,29.025,38.947,5320,72,255,178.789,42.984
G17,5320,18,200,95.450,44.924,5320,18,200,95.448,44.918,5320,172,255,233.171,23.989
G18,5320,0,207,46.999,58.438,5320,0,207,46.942,58.294,5320,129,255,231.664,25.463
G19,5320,0,144,6.245,17.041,5320,0,144,6.084,16.718,5320,0,255,230.728,31.605
G20,5320,0,20,0.479,1.779,5320,0,20,0.479,1.779,5320,169,255,243.061,16.763
G21,5320,0,126,33.589,27.931,5320,0,126,33.589,27.931,5320,72,255,164.012,55.869
G22,5320,11,241,108.165,50.687,5320,11,237,107.509,50.141,5320,42,255,202.574,44.730
G23,5320,121,255,241.730,18.795,5320,16,225,127.974,58.747,5320,16,241,131.527,62.835
G24,5320,0,247,134.796,73.246,5320,0,215,113.085,62.841,5320,0,255,170.502,51.844
G25,5320,0,159,53.698,46.131,5320,0,159,53.698,46.131,5320,192,255,238.179,15.533
G26,5320,23,245,123.393,42.435,5320,23,169,108.594,29.090,5320,67,255,177.351,50.560
G27,5320,134,255,228.390,22.450,5320,106,238,172.798,23.189,5320,106,255,179.848,32.213
G28,5320,125,255,211.025,32.110,5320,32,215,115.745,47.068,5320,32,215,115.745,47.068
G29,5320,147,255,227.739,20.066,5320,5,201,87.624,54.325,5320,5,212,88.586,55.918
G30,5320,102,255,193.163,32.482,5320,0,226,115.714,73.541,5320,0,255,132.653,89.715
G31,5320,38,255,210.226,36.593,5320,0,194,55.786,67.199,5320,0,216,57.371,70.253
G32,5320,34,255,173.756,53.316,5320,1,173,112.855,37.435,5320,1,173,112.855,37.435
G33,5320,41,255,194.172,56.571,5320,18,169,102.196,47.186,5320,18,169,102.196,47.186
G34,5320,169,255,229.182,20.893,5320,53,240,159.668,46.759,5320,53,240,159.668,46.759
G35,5320,81,250,200.816,42.769,5320,0,242,163.269,77.016,5320,0,255,167.525,81.006
G36,5320,44,248,188.430,46.258,5320,0,247,125.108,97.978,5320,0,255,128.540,101.594
G37,5320,141,255,217.345,25.886,5320,126,236,194.246,21.020,5320,126,236,198.037,21.757
G38,5320,156,255,226.309,22.756,5320,105,207,149.804,24.841,5320,105,207,149.804,24.841
G39,5320,43,255,214.921,44.751,5320,35,252,181.889,42.424,5320,35,254,181.944,42.491
G40,5320,173,243,206.391,19.081,5320,173,243,206.310,18.996,5320,202,255,233.438,13.981
G41,5320,100,243,196.580,33.719,5320,100,241,194.816,32.374,5320,113,255,207.698,30.945
G42,5320,102,255,224.115,32.977,5320,97,252,200.028,32.727,5320,97,255,200.436,33.130
G43,5320,77,230,130.560,31.623,5320,77,230,130.560,31.623,5320,140,255,216.126,24.946
G44,5320,81,250,191.268,32.991,5320,79,250,182.697,29.510,5320,80,255,199.057,35.616
G45,5320,65,255,160.843,32.600,5320,65,212,159.295,30.525,5320,66,255,203.064,33.799
G46,5320,18,211,98.766,59.147,5320,18,211,98.490,58.818,5320,106,255,230.167,20.794
