Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,195,255,238.544,14.803,5320,99,243,197.374,33.908,5320,99,255,205.288,40.029
G2,5320,40,255,194.365,58.667,5320,40,247,187.976,53.344,5320,49,254,207.184,44.347
G3,5320,62,231,154.080,39.401,5320,62,231,154.080,39.401,5320,152,255,229.860,27.662
G4,5320,31,211,92.345,39.993,5320,31,211,92.351,39.992,5320,88,249,203.181,28.761
G5,5320,3,106,53.732,22.172,5320,3,106,53.732,22.172,5320,49,230,177.313,35.393
G6,5320,0,97,22.228,19.706,5320,0,97,22.228,19.706,5320,71,255,199.106,43.634
G7,5320,0,148,94.616,27.917,5320,0,148,94.616,27.917,5320,103,255,210.526,29.163
G8,5320,49,137,83.169,14.108,5320,49,137,83.169,14.108,5320,170,255,234.911,13.808
G9,5320,6,112,63.315,19.501,5320,6,112,63.315,19.501,5320,145,255,231.321,27.335
G10,5320,0,106,28.536,30.595,5320,0,106,28.536,30.595,5320,68,255,160.368,41.511
G11,5320,13,117,83.514,24.161,5320,13,117,83.514,24.161,5320,178,255,236.805,20.805
G12,5320,80,163,118.780,19.980,5320,80,163,118.780,19.980,5320,173,255,232.288,21.535
G13,5320,94,200,155.689,21.963,5320,90,197,154.805,21.904,5320,90,255,216.367,36.130
G14,5320,71,250,165.892,44.145,5320,71,240,158.397,38.632,5320,77,255,224.581,36.394
G15,5320,52,255,167.486,51.424,5320,52,250,159.085,47.306,5320,121,255,202.217,42.414
G16,5320,88,249,176.994,32.967,5320,88,241,168.773,27.320,5320,96,252,179.933,24.918
G17,5320,11,254,136.902,37.018,5320,11,227,136.154,35.101,5320,102,255,231.904,23.432
G18,5320,41,254,172.705,47.510,5320,6,228,154.471,50.960,5320,6,255,188.438,66.436
G19,5320,55,255,187.692,48.399,5320,0,240,30.523,58.120,5320,0,245,30.592,58.319
G20,5320,168,255,213.276,21.005,5320,87,241,154.390,32.005,5320,87,245,154.400,32.034
G21,5320,166,255,216.719,23.509,5320,12,188,126.339,35.713,5320,12,188,126.340,35.714
G22,5320,74,255,214.205,33.196,5320,7,165,116.221,30.619,5320,7,165,116.221,30.619
G23,5320,56,255,224.968,40.084,5320,0,200,57.575,35.915,5320,0,200,57.575,35.915
G24,5320,38,240,155.926,53.025,5320,0,217,70.864,78.695,5320,0,217,70.864,78.695
G25,5320,95,237,191.625,31.232,5320,8,202,108.763,46.835,5320,8,202,108.763,46.835
G26,5320,54,255,200.494,50.312,5320,0,83,3.811,10.642,5320,0,83,3.811,10.642
G27,5320,175,255,233.241,15.127,5320,0,49,2.368,7.446,5320,0,49,2.368,7.446
G28,5320,132,255,206.960,32.744,5320,0,70,10.937,17.720,5320,0,70,10.937,17.720
G29,5320,88,255,238.485,29.377,5320,69,226,160.184,42.489,5320,69,226,160.184,42.489
G30,5320,141,255,216.411,25.522,5320,14,208,123.390,51.418,5320,14,208,123.390,51.418
G31,5320,49,224,141.370,39.845,5320,0,50,2.692,7.098,5320,0,50,2.692,7.098
G32,5320,37,249,172.755,43.733,5320,0,61,6.858,14.276,5320,0,61,6.858,14.276
G33,5320,43,255,197.583,54.618,5320,0,112,29.391,25.826,5320,0,112,29.391,25.826
G34,5320,171,255,227.680,19.554,5320,0,230,97.193,66.203,5320,0,230,97.193,66.203
G35,5320,153,255,236.763,18.781,5320,28,161,93.322,37.656,5320,28,161,93.322,37.656
G36,5320,135,255,213.780,37.462,5320,8,128,66.555,24.670,5320,8,128,66.555,24.670
G37,5320,168,255,224.497,23.549,5320,21,132,86.708,24.204,5320,21,132,86.708,24.204
G38,5320,148,255,228.213,20.513,5320,48,155,97.076,31.780,5320,48,155,97.076,31.780
G39,5320,23,255,201.129,50.708,5320,22,241,166.631,39.307,5320,23,241,173.898,41.597
G40,5320,189,255,238.326,17.239,5320,13,168,61.498,39.628,5320,13,168,61.498,39.628
G41,5320,103,255,202.287,39.379,5320,38,227,100.866,45.636,5320,38,227,100.866,45.636
G42,5320,94,255,229.649,25.809,5320,90,228,177.325,25.871,5320,90,228,177.330,25.870
G43,5320,93,255,166.061,41.790,5320,93,240,158.160,34.029,5320,93,247,206.085,24.831
G44,5320,66,254,210.070,28.659,5320,66,239,205.355,26.253,5320,67,255,213.500,29.878
G45,5320,81,255,168.396,29.912,5320,81,219,168.054,29.641,5320,94,255,202.678,35.419
G46,5320,22,238,127.320,56.933,5320,22,235,127.123,56.644,5320,160,255,242.882,20.947
