Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,203,255,238.032,14.019,5320,92,241,194.142,34.833,5320,92,255,199.586,39.281
G2,5320,18,255,183.794,71.054,5320,18,246,175.005,64.111,5320,82,253,205.411,37.957
G3,5320,76,239,168.067,39.069,5320,76,239,168.067,39.068,5320,151,255,232.488,24.148
G4,5320,28,221,101.752,42.785,5320,28,221,101.752,42.785,5320,78,255,212.675,35.718
G5,5320,35,121,78.035,13.253,5320,35,121,78.035,13.253,5320,96,255,173.502,26.916
G6,5320,9,116,46.381,26.353,5320,9,116,46.381,26.353,5320,54,255,197.857,53.300
G7,5320,28,169,105.085,27.176,5320,28,169,105.085,27.176,5320,66,255,199.876,30.676
G8,5320,58,135,92.425,17.354,5320,58,135,92.425,17.354,5320,175,255,239.525,15.394
G9,5320,66,153,106.695,19.493,5320,66,153,106.695,19.493,5320,125,255,228.489,27.388
G10,5320,59,247,161.241,48.926,5320,59,236,160.219,47.392,5320,106,255,205.412,37.571
G11,5320,30,144,108.685,21.404,5320,30,144,108.685,21.404,5320,147,255,246.799,15.989
G12,5320,107,173,136.453,17.014,5320,107,173,136.453,17.014,5320,183,255,236.584,20.982
G13,5320,124,207,174.488,20.493,5320,124,207,174.488,20.493,5320,211,255,240.082,9.530
G14,5320,121,247,189.728,36.862,5320,121,247,189.718,36.852,5320,166,255,231.550,21.358
G15,5320,142,255,243.056,22.068,5320,142,254,236.943,20.453,5320,171,255,239.718,17.051
G16,5320,155,255,244.513,19.141,5320,119,251,218.370,24.636,5320,119,251,218.370,24.636
G17,5320,75,255,169.226,35.998,5320,75,242,166.151,30.584,5320,163,255,232.432,22.858
G18,5320,139,255,201.455,28.700,5320,36,241,176.533,39.696,5320,36,255,205.880,51.818
G19,5320,193,255,243.408,13.883,5320,42,251,194.733,49.746,5320,42,255,199.469,53.438
G20,5320,230,255,248.962,7.262,5320,0,247,147.672,77.302,5320,0,247,147.948,77.617
G21,5320,99,255,230.050,36.358,5320,0,250,129.216,79.283,5320,0,250,129.216,79.283
G22,5320,85,255,214.988,32.947,5320,7,182,122.657,29.344,5320,7,182,122.657,29.344
G23,5320,169,255,233.370,21.994,5320,0,160,14.758,31.273,5320,0,160,14.758,31.273
G24,5320,163,255,228.805,24.673,5320,0,95,13.652,20.021,5320,0,95,13.652,20.021
G25,5320,146,255,231.113,21.460,5320,0,72,2.070,6.832,5320,0,72,2.070,6.832
G26,5320,127,255,233.937,24.864,5320,0,11,0.045,0.514,5320,0,11,0.045,0.514
G27,5320,158,255,224.813,19.318,5320,0,62,3.083,9.666,5320,0,62,3.083,9.666
G28,5320,103,255,202.166,36.407,5320,0,80,14.519,21.816,5320,0,80,14.519,21.816
G29,5320,136,255,232.819,24.196,5320,0,44,0.343,2.068,5320,0,44,0.343,2.068
G30,5320,40,255,177.884,40.527,5320,0,189,53.769,50.887,5320,0,189,53.769,50.887
G31,5320,42,255,156.185,50.957,5320,0,154,24.815,36.640,5320,0,154,24.815,36.640
G32,5320,38,254,166.857,43.029,5320,0,96,17.645,27.624,5320,0,96,17.645,27.624
G33,5320,47,255,200.270,57.077,5320,0,133,45.493,33.583,5320,0,133,45.493,33.583
G34,5320,178,255,228.673,20.257,5320,1,242,131.470,61.750,5320,1,243,131.478,61.764
G35,5320,175,255,233.161,17.707,5320,60,250,204.652,31.193,5320,60,255,213.980,36.259
G36,5320,208,255,242.644,11.790,5320,86,252,198.189,34.612,5320,86,255,198.998,35.455
G37,5320,149,255,222.853,24.503,5320,55,230,157.256,47.440,5320,55,232,157.464,47.706
G38,5320,142,255,222.967,24.722,5320,56,188,112.632,36.726,5320,56,188,112.632,36.726
G39,5320,25,255,207.773,48.668,5320,21,248,171.916,43.434,5320,21,250,172.020,43.600
G40,5320,121,255,208.698,36.771,5320,121,253,206.437,34.941,5320,200,255,234.594,15.973
G41,5320,83,254,198.757,34.215,5320,83,251,192.307,31.526,5320,96,255,205.064,31.562
G42,5320,82,255,232.141,29.252,5320,81,251,204.538,30.195,5320,83,255,205.030,30.690
G43,5320,0,229,71.409,53.951,5320,0,229,71.409,53.951,5320,112,255,215.327,30.492
G44,5320,59,246,184.988,36.223,5320,59,244,182.194,34.720,5320,63,255,211.935,34.213
G45,5320,71,255,146.048,28.664,5320,71,195,145.607,28.274,5320,110,255,203.137,34.236
G46,5320,30,241,138.693,58.575,5320,30,241,138.355,58.134,5320,173,255,238.550,17.830
