Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,196,255,232.027,16.600,5320,95,247,189.155,31.759,5320,95,255,192.370,34.512
G2,5320,55,255,219.832,46.153,5320,48,248,205.022,40.593,5320,48,249,209.796,39.267
G3,5320,77,235,157.503,30.959,5320,77,235,157.503,30.959,5320,145,255,225.112,25.289
G4,5320,50,216,115.973,38.045,5320,50,216,115.973,38.045,5320,119,242,199.890,23.941
G5,5320,45,148,105.159,22.399,5320,45,148,105.155,22.400,5320,80,242,180.504,29.936
G6,5320,7,129,65.975,28.142,5320,7,129,65.975,28.142,5320,55,255,203.546,36.407
G7,5320,40,201,123.231,37.727,5320,40,201,123.231,37.727,5320,64,255,196.211,43.029
G8,5320,89,203,145.967,29.362,5320,89,203,145.967,29.362,5320,184,255,236.777,18.709
G9,5320,124,181,151.404,10.376,5320,124,181,151.404,10.376,5320,198,255,243.558,9.778
G10,5320,89,251,172.692,35.844,5320,89,250,172.557,35.825,5320,133,255,210.988,30.454
G11,5320,0,109,85.248,19.985,5320,0,109,85.248,19.985,5320,59,255,243.226,21.011
G12,5320,61,255,138.014,49.820,5320,61,250,137.732,49.338,5320,141,255,229.674,27.073
G13,5320,76,255,198.567,34.610,5320,67,249,188.816,33.996,5320,67,255,200.500,41.963
G14,5320,75,255,201.446,41.899,5320,66,248,183.206,40.052,5320,66,255,190.242,41.554
G15,5320,53,255,196.424,48.933,5320,53,254,189.344,46.397,5320,69,255,202.505,40.506
G16,5320,32,255,213.597,48.476,5320,32,253,199.762,49.962,5320,37,254,199.990,49.542
G17,5320,0,255,157.385,59.089,5320,0,251,156.698,58.229,5320,94,255,205.354,36.145
G18,5320,78,255,174.396,41.102,5320,74,251,167.498,38.257,5320,74,252,172.392,36.883
G19,5320,88,255,186.554,41.823,5320,86,253,177.664,36.480,5320,86,255,187.743,39.368
G20,5320,59,255,216.377,37.384,5320,48,231,160.313,40.410,5320,48,231,161.143,40.438
G21,5320,140,255,208.004,26.307,5320,0,227,94.097,65.084,5320,0,227,94.097,65.084
G22,5320,32,255,188.306,54.507,5320,19,207,130.362,37.295,5320,19,207,132.200,36.003
G23,5320,101,255,230.118,34.549,5320,33,210,100.995,37.108,5320,33,210,100.995,37.108
G24,5320,178,255,239.428,14.890,5320,16,212,95.705,45.024,5320,16,212,95.705,45.024
G25,5320,231,255,253.166,3.921,5320,0,166,64.285,39.736,5320,0,166,64.285,39.736
G26,5320,178,255,231.933,19.631,5320,0,45,1.365,5.507,5320,0,45,1.365,5.507
G27,5320,155,255,239.125,18.586,5320,0,119,12.408,27.134,5320,0,119,12.408,27.134
G28,5320,109,255,208.767,31.705,5320,0,120,41.417,35.550,5320,0,120,41.417,35.550
G29,5320,118,255,199.561,34.765,5320,0,110,29.997,31.867,5320,0,110,29.997,31.867
G30,5320,89,255,177.430,41.136,5320,0,198,59.475,38.035,5320,0,198,59.504,38.106
G31,5320,85,255,187.751,39.500,5320,0,167,16.765,27.067,5320,0,167,16.765,27.067
G32,5320,45,255,173.031,46.938,5320,0,152,40.404,51.681,5320,0,152,40.404,51.681
G33,5320,65,255,200.311,56.297,5320,0,162,86.343,50.878,5320,0,162,86.343,50.878
G34,5320,121,255,222.374,26.830,5320,19,248,147.419,55.126,5320,19,255,147.956,56.079
G35,5320,117,252,194.640,31.190,5320,107,246,188.322,30.700,5320,107,255,222.761,30.717
G36,5320,121,223,176.188,21.697,5320,92,219,168.525,22.019,5320,92,255,213.381,35.110
G37,5320,119,255,198.815,38.423,5320,117,243,171.894,31.736,5320,117,255,196.920,37.170
G38,5320,130,255,217.015,27.798,5320,96,229,150.508,31.013,5320,96,229,150.510,31.017
G39,5320,14,255,188.635,56.724,5320,14,247,177.316,50.618,5320,23,255,198.400,46.439
G40,5320,7,166,72.147,46.839,5320,7,166,72.147,46.839,5320,163,255,232.120,24.710
G41,5320,32,228,113.102,50.083,5320,32,228,112.916,49.756,5320,147,255,211.729,30.765
G42,5320,83,255,220.195,31.254,5320,82,254,213.457,31.412,5320,84,255,219.617,32.138
G43,5320,3,213,54.085,37.423,5320,3,213,54.085,37.423,5320,136,255,226.027,27.920
G44,5320,58,222,145.166,33.228,5320,58,222,138.370,32.181,5320,65,255,184.029,44.795
G45,5320,50,255,114.770,31.222,5320,50,217,114.328,29.980,5320,74,255,192.263,36.909
G46,5320,14,220,135.547,42.285,5320,14,220,135.362,42.024,5320,138,255,241.707,20.139
