Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,195,255,236.586,14.380,5320,85,240,184.931,36.585,5320,85,255,190.782,42.142
G2,5320,93,255,215.421,39.181,5320,93,237,188.592,23.646,5320,99,243,192.383,23.064
G3,5320,67,231,148.758,37.284,5320,67,231,148.758,37.284,5320,137,255,233.091,26.980
G4,5320,40,219,104.630,38.451,5320,40,219,104.575,38.326,5320,111,245,205.893,26.066
G5,5320,74,158,116.536,16.647,5320,74,158,116.536,16.647,5320,95,225,178.910,30.040
G6,5320,6,95,42.503,24.864,5320,6,95,42.503,24.864,5320,58,255,204.035,50.731
G7,5320,17,135,90.296,19.902,5320,17,135,90.296,19.902,5320,82,255,197.580,33.602
G8,5320,50,97,74.030,8.250,5320,50,97,74.030,8.250,5320,178,255,234.365,16.730
G9,5320,38,119,74.012,17.052,5320,38,119,74.012,17.052,5320,120,255,216.237,38.308
G10,5320,38,255,153.614,69.144,5320,0,140,51.365,32.774,5320,0,184,66.594,51.576
G11,5320,35,116,86.085,15.689,5320,35,116,86.085,15.689,5320,198,255,249.740,9.980
G12,5320,54,133,88.712,14.075,5320,54,133,88.712,14.075,5320,148,255,234.221,25.492
G13,5320,28,113,68.233,20.193,5320,28,113,68.233,20.193,5320,94,255,221.281,38.487
G14,5320,26,122,72.525,26.538,5320,26,122,72.525,26.538,5320,65,255,189.766,49.107
G15,5320,47,213,132.743,35.352,5320,21,209,118.906,43.458,5320,21,250,152.082,58.553
G16,5320,67,255,181.207,49.244,5320,12,123,78.235,25.890,5320,12,123,78.235,25.890
G17,5320,13,252,134.450,46.862,5320,13,222,132.080,42.546,5320,92,255,231.089,23.804
G18,5320,33,252,117.929,55.801,5320,33,231,113.730,48.639,5320,115,255,216.409,29.588
G19,5320,53,217,128.729,41.499,5320,53,217,128.588,41.316,5320,68,255,186.349,54.366
G20,5320,102,230,186.876,30.239,5320,61,229,157.672,35.296,5320,61,253,167.480,41.786
G21,5320,77,255,195.795,40.041,5320,35,172,113.808,26.915,5320,35,172,113.808,26.915
G22,5320,44,255,208.303,46.569,5320,13,177,137.264,33.823,5320,13,177,137.264,33.823
G23,5320,140,255,227.323,28.995,5320,0,222,37.012,56.867,5320,0,248,37.723,58.924
G24,5320,173,255,232.563,18.257,5320,0,231,136.164,67.566,5320,0,248,136.811,68.302
G25,5320,149,255,204.503,34.281,5320,0,184,109.761,48.376,5320,0,184,109.767,48.385
G26,5320,170,255,232.406,19.936,5320,0,151,54.480,43.747,5320,0,151,54.480,43.747
G27,5320,206,255,234.834,14.107,5320,0,121,27.535,29.395,5320,0,121,27.535,29.395
G28,5320,118,255,203.332,34.382,5320,0,113,33.846,32.377,5320,0,113,33.846,32.377
G29,5320,139,255,235.482,26.963,5320,0,122,32.070,26.207,5320,0,122,32.070,26.207
G30,5320,150,255,224.333,23.616,5320,0,121,24.730,29.340,5320,0,121,24.730,29.340
G31,5320,80,255,222.729,33.816,5320,0,75,0.930,6.459,5320,0,75,0.930,6.459
G32,5320,32,255,176.241,45.268,5320,0,103,24.382,33.145,5320,0,103,24.382,33.145
G33,5320,46,255,199.525,57.114,5320,0,146,59.664,38.674,5320,0,146,59.664,38.674
G34,5320,161,255,228.244,22.632,5320,10,242,130.832,53.452,5320,10,242,130.832,53.452
G35,5320,160,255,224.007,27.306,5320,0,254,140.559,77.326,5320,0,254,140.800,77.623
G36,5320,91,255,210.381,35.702,5320,0,197,79.493,66.677,5320,0,197,79.493,66.677
G37,5320,149,255,219.686,26.140,5320,67,185,138.150,31.436,5320,67,185,138.150,31.436
G38,5320,158,255,230.034,22.293,5320,81,179,121.579,25.562,5320,81,179,121.579,25.562
G39,5320,28,255,210.099,46.110,5320,25,247,179.748,41.665,5320,25,249,180.107,41.984
G40,5320,185,255,228.362,17.691,5320,136,248,201.334,22.486,5320,136,255,204.446,27.133
G41,5320,81,255,218.198,34.890,5320,74,248,187.912,34.188,5320,74,253,189.332,35.162
G42,5320,89,255,231.460,27.169,5320,85,245,191.454,22.846,5320,85,246,191.462,22.863
G43,5320,89,253,139.881,36.474,5320,89,247,139.826,36.362,5320,133,255,215.196,24.506
G44,5320,82,255,203.491,29.148,5320,82,250,194.730,27.840,5320,83,255,206.213,32.081
G45,5320,74,255,174.111,29.065,5320,74,218,172.655,27.424,5320,85,255,209.192,31.040
G46,5320,33,252,133.472,56.305,5320,33,251,133.319,56.084,5320,168,255,241.174,20.085
