Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,174,255,239.383,16.173,5320,48,184,122.008,39.661,5320,48,184,122.008,39.661
G2,5320,193,255,245.407,15.218,5320,136,233,184.434,19.460,5320,136,234,185.223,20.467
G3,5320,140,255,241.008,19.667,5320,120,224,190.030,14.108,5320,120,224,190.030,14.108
G4,5320,192,255,242.294,14.453,5320,147,252,213.885,25.692,5320,147,255,217.130,28.390
G5,5320,54,240,137.366,46.258,5320,54,238,137.323,46.196,5320,177,255,220.535,14.972
G6,5320,56,255,171.111,34.067,5320,56,228,167.172,32.231,5320,87,255,189.880,37.772
G7,5320,124,255,217.075,29.686,5320,112,239,191.514,25.730,5320,112,255,194.336,29.610
G8,5320,214,255,246.615,9.445,5320,182,250,210.833,13.530,5320,182,250,211.007,13.964
G9,5320,61,255,205.440,50.869,5320,61,250,202.128,48.226,5320,164,255,236.974,21.037
G10,5320,0,223,52.642,45.319,5320,0,221,52.503,44.885,5320,49,253,200.185,38.367
G11,5320,33,195,114.667,25.059,5320,33,195,114.667,25.059,5320,63,255,235.307,26.738
G12,5320,104,240,186.323,38.751,5320,104,236,181.969,37.034,5320,111,255,222.873,35.007
G13,5320,57,255,203.759,51.837,5320,42,211,148.860,40.183,5320,42,211,148.860,40.183
G14,5320,145,255,221.436,26.510,5320,70,245,148.614,51.438,5320,70,247,149.056,51.875
G15,5320,37,255,190.154,42.369,5320,37,249,158.269,49.478,5320,48,253,168.145,51.108
G16,5320,32,255,171.270,58.611,5320,32,242,167.676,54.640,5320,155,255,221.863,24.167
G17,5320,59,255,156.442,57.237,5320,59,254,154.523,54.787,5320,118,255,221.464,31.828
G18,5320,38,255,181.740,55.000,5320,21,249,146.015,62.514,5320,21,249,146.023,62.523
G19,5320,38,255,203.256,41.931,5320,21,159,108.296,25.488,5320,21,159,108.296,25.488
G20,5320,58,255,221.473,42.115,5320,35,210,122.112,32.650,5320,35,210,122.112,32.650
G21,5320,216,255,246.398,8.597,5320,105,234,175.973,37.052,5320,105,234,175.974,37.053
G22,5320,62,255,185.874,44.395,5320,54,236,162.867,38.907,5320,54,246,170.149,38.058
G23,5320,36,255,221.427,45.565,5320,19,251,174.241,50.747,5320,19,252,174.248,50.757
G24,5320,37,255,176.535,50.156,5320,19,155,100.007,33.349,5320,19,155,100.007,33.349
G25,5320,138,255,208.540,30.921,5320,1,132,86.565,27.183,5320,1,132,86.565,27.183
G26,5320,149,255,212.717,28.712,5320,0,116,49.555,31.875,5320,0,116,49.555,31.875
G27,5320,96,252,213.872,33.019,5320,0,186,55.293,43.664,5320,0,188,55.294,43.666
G28,5320,10,223,145.379,52.597,5320,10,223,130.252,49.770,5320,43,255,170.080,57.087
G29,5320,120,255,227.745,22.211,5320,0,148,76.684,44.396,5320,0,148,76.684,44.396
G30,5320,186,255,234.013,18.761,5320,0,94,24.695,28.473,5320,0,94,24.695,28.473
G31,5320,78,255,217.700,36.524,5320,0,104,8.922,23.143,5320,0,104,8.922,23.143
G32,5320,106,250,193.965,37.366,5320,0,159,84.711,55.659,5320,0,159,84.711,55.659
G33,5320,134,255,230.213,23.677,5320,87,231,181.862,29.446,5320,87,255,185.173,34.397
G34,5320,53,240,187.693,36.066,5320,0,229,132.487,76.842,5320,0,255,151.900,93.902
G35,5320,147,255,227.720,25.588,5320,0,157,96.907,44.530,5320,0,157,96.907,44.530
G36,5320,50,255,213.642,37.136,5320,0,184,81.487,51.791,5320,0,184,81.487,51.791
G37,5320,174,255,225.174,17.938,5320,100,193,165.439,16.057,5320,100,193,165.439,16.057
G38,5320,98,255,202.189,40.313,5320,35,190,125.421,44.836,5320,35,190,125.421,44.836
G39,5320,19,255,172.743,60.876,5320,0,119,13.164,20.427,5320,0,119,13.164,20.427
G40,5320,77,247,201.118,35.461,5320,41,245,163.336,49.438,5320,41,254,163.949,50.152
G41,5320,137,255,200.458,32.680,5320,114,241,173.852,31.533,5320,114,253,175.155,32.941
G42,5320,65,255,208.080,35.547,5320,36,226,147.444,43.749,5320,36,226,147.444,43.749
G43,5320,95,254,172.473,34.826,5320,95,254,172.012,34.253,5320,136,255,228.987,25.399
G44,5320,42,255,190.510,36.028,5320,18,255,126.375,55.537,5320,18,255,126.603,55.970
G45,5320,27,255,173.158,41.413,5320,12,255,163.222,45.578,5320,12,255,180.609,53.778
G46,5320,114,255,219.190,31.559,5320,108,242,203.825,27.930,5320,108,248,210.499,26.542
