Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,192,255,241.245,12.435,5320,50,189,127.606,39.424,5320,50,189,127.606,39.424
G2,5320,153,255,246.422,14.156,5320,150,222,185.524,14.960,5320,151,223,186.058,15.617
G3,5320,133,255,235.781,25.741,5320,130,227,196.341,11.840,5320,130,232,196.941,11.728
G4,5320,203,255,241.826,10.823,5320,157,249,206.496,19.249,5320,157,252,206.650,19.458
G5,5320,111,251,187.541,32.456,5320,111,248,187.191,32.092,5320,171,252,215.473,18.037
G6,5320,27,205,132.010,44.145,5320,27,205,131.714,44.019,5320,55,255,191.579,42.736
G7,5320,153,255,213.379,27.486,5320,141,239,189.633,21.935,5320,141,255,193.349,27.383
G8,5320,203,255,246.643,11.425,5320,171,229,201.613,10.179,5320,171,229,201.613,10.179
G9,5320,175,255,242.662,18.475,5320,175,252,228.772,14.785,5320,188,254,231.092,13.334
G10,5320,155,255,217.209,25.166,5320,155,252,213.592,22.902,5320,169,255,220.637,20.493
G11,5320,56,195,122.999,26.666,5320,56,195,122.999,26.666,5320,196,255,247.126,13.233
G12,5320,101,247,191.557,38.337,5320,101,244,184.902,35.081,5320,103,255,224.102,37.082
G13,5320,66,255,201.255,53.279,5320,52,206,151.620,38.377,5320,52,206,151.634,38.384
G14,5320,197,255,240.808,15.171,5320,126,228,182.770,22.719,5320,126,228,182.770,22.719
G15,5320,160,255,231.101,21.382,5320,137,247,211.548,26.447,5320,137,247,211.548,26.447
G16,5320,39,255,198.177,44.176,5320,0,227,71.836,80.592,5320,0,227,71.836,80.592
G17,5320,68,238,144.357,46.142,5320,68,238,144.350,46.136,5320,120,255,223.710,30.753
G18,5320,65,249,188.082,48.270,5320,50,248,180.492,57.588,5320,50,255,196.292,65.202
G19,5320,58,255,158.372,55.918,5320,38,204,107.444,32.511,5320,38,208,107.627,32.786
G20,5320,56,252,181.336,44.223,5320,46,240,161.021,47.312,5320,46,240,161.021,47.312
G21,5320,45,255,179.767,57.643,5320,0,218,134.384,54.762,5320,0,218,134.384,54.762
G22,5320,0,255,165.605,51.035,5320,0,207,113.898,53.320,5320,0,207,113.903,53.326
G23,5320,139,255,184.376,28.112,5320,139,251,183.044,25.836,5320,163,255,225.877,20.329
G24,5320,151,255,228.473,22.875,5320,133,237,192.304,23.492,5320,133,237,192.404,23.488
G25,5320,180,255,225.217,20.231,5320,93,232,171.413,33.411,5320,93,232,171.413,33.411
G26,5320,176,255,238.094,17.805,5320,0,204,99.113,67.364,5320,0,204,99.113,67.364
G27,5320,57,255,219.574,40.278,5320,0,173,39.654,54.472,5320,0,173,39.654,54.472
G28,5320,23,222,151.731,44.805,5320,23,222,133.513,52.103,5320,32,255,157.096,62.412
G29,5320,186,255,243.041,15.343,5320,153,238,203.824,19.132,5320,153,238,203.824,19.132
G30,5320,183,255,236.480,17.425,5320,83,227,164.707,28.370,5320,83,227,164.707,28.370
G31,5320,42,255,192.000,43.121,5320,0,194,69.642,64.308,5320,0,194,69.642,64.308
G32,5320,33,255,193.934,47.520,5320,0,175,100.613,63.364,5320,0,175,100.613,63.364
G33,5320,98,255,228.464,27.133,5320,53,236,184.306,32.072,5320,53,255,187.144,36.153
G34,5320,56,243,188.960,36.617,5320,0,237,122.823,78.853,5320,0,255,136.956,93.177
G35,5320,119,255,206.289,29.066,5320,0,225,84.162,58.754,5320,0,225,84.162,58.754
G36,5320,89,255,198.706,30.402,5320,0,209,124.358,60.902,5320,0,209,124.358,60.902
G37,5320,170,255,223.837,18.445,5320,130,209,180.763,16.211,5320,130,209,180.763,16.211
G38,5320,96,255,199.647,41.046,5320,27,195,121.771,49.944,5320,27,195,121.764,49.939
G39,5320,21,255,172.463,59.062,5320,0,82,10.549,17.086,5320,0,82,10.549,17.086
G40,5320,30,255,209.095,34.234,5320,0,240,172.463,69.046,5320,0,255,175.967,71.047
G41,5320,136,255,199.363,31.022,5320,135,241,181.286,27.295,5320,135,255,183.444,29.498
G42,5320,75,255,207.102,35.747,5320,40,227,144.045,46.063,5320,40,227,144.045,46.063
G43,5320,111,251,180.395,31.128,5320,111,240,179.272,29.528,5320,142,255,227.149,24.255
G44,5320,10,255,188.455,33.502,5320,2,255,117.308,50.314,5320,2,255,117.455,50.631
G45,5320,8,244,174.171,43.513,5320,1,239,164.108,46.981,5320,1,255,179.094,55.689
G46,5320,63,251,183.297,50.506,5320,63,247,181.884,50.024,5320,117,255,227.192,26.234
