Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,154,255,239.331,18.894,5320,55,207,143.252,35.996,5320,55,207,143.252,35.996
G2,5320,219,255,246.101,9.044,5320,139,232,190.946,11.556,5320,139,242,191.174,12.003
G3,5320,126,255,233.571,23.021,5320,122,246,195.244,16.564,5320,122,255,195.783,17.646
G4,5320,201,255,250.243,6.827,5320,153,252,222.911,17.860,5320,153,255,223.725,18.880
G5,5320,108,255,192.109,31.292,5320,108,243,190.558,29.971,5320,150,255,229.735,27.620
G6,5320,34,240,124.335,49.464,5320,34,240,124.335,49.464,5320,85,255,194.487,38.457
G7,5320,133,255,231.440,30.105,5320,133,250,202.573,26.073,5320,147,255,207.242,26.133
G8,5320,175,255,238.749,17.154,5320,108,190,139.052,15.958,5320,108,190,139.052,15.958
G9,5320,136,255,229.034,31.181,5320,127,235,186.137,27.068,5320,127,238,188.663,26.599
G10,5320,100,254,193.891,37.148,5320,100,251,189.561,33.975,5320,109,255,195.219,33.953
G11,5320,39,212,142.289,34.153,5320,39,212,142.289,34.153,5320,96,255,229.138,35.991
G12,5320,79,255,201.064,39.848,5320,79,250,184.256,37.573,5320,94,255,206.926,44.081
G13,5320,82,255,191.477,43.055,5320,5,191,99.663,38.275,5320,5,191,99.663,38.275
G14,5320,168,255,238.924,16.987,5320,0,185,69.670,66.548,5320,0,185,69.670,66.548
G15,5320,222,255,252.297,5.064,5320,0,237,123.569,65.216,5320,0,238,123.644,65.336
G16,5320,7,254,153.209,55.532,5320,7,219,144.074,52.229,5320,49,255,190.780,56.320
G17,5320,72,255,185.631,46.449,5320,72,241,177.202,40.028,5320,99,255,217.148,28.713
G18,5320,50,255,170.358,45.948,5320,0,220,86.398,63.776,5320,0,220,86.398,63.776
G19,5320,60,255,212.489,46.960,5320,0,14,0.052,0.621,5320,0,14,0.052,0.621
G20,5320,42,255,190.588,61.257,5320,0,172,30.740,39.858,5320,0,172,30.747,39.875
G21,5320,57,255,227.022,21.624,5320,52,246,219.435,25.506,5320,52,255,233.767,30.532
G22,5320,142,255,209.419,25.467,5320,142,246,205.039,21.403,5320,174,255,222.574,20.645
G23,5320,52,255,218.148,41.481,5320,0,164,95.839,39.392,5320,0,164,95.839,39.392
G24,5320,63,255,193.267,50.705,5320,0,61,7.694,13.039,5320,0,61,7.694,13.039
G25,5320,90,255,204.205,35.973,5320,0,165,92.658,54.050,5320,0,165,92.658,54.050
G26,5320,203,255,242.763,13.202,5320,30,221,144.558,42.249,5320,30,221,144.558,42.249
G27,5320,59,255,223.202,32.682,5320,8,220,79.199,57.777,5320,8,221,79.254,57.898
G28,5320,23,241,144.903,52.083,5320,23,241,133.651,48.910,5320,65,255,174.443,50.607
G29,5320,114,255,210.425,40.424,5320,0,112,37.728,17.745,5320,0,112,37.728,17.745
G30,5320,63,255,231.214,42.195,5320,0,231,146.239,64.690,5320,0,231,146.239,64.690
G31,5320,63,255,213.713,35.133,5320,20,216,126.334,47.238,5320,20,216,126.334,47.238
G32,5320,35,255,186.535,46.801,5320,5,171,95.990,55.897,5320,5,171,95.990,55.897
G33,5320,123,255,233.845,28.955,5320,79,252,174.726,36.652,5320,79,254,175.206,37.569
G34,5320,44,255,204.172,45.541,5320,0,253,129.939,100.494,5320,0,255,135.151,105.505
G35,5320,188,255,238.167,19.584,5320,109,237,178.924,45.749,5320,109,237,178.924,45.749
G36,5320,149,255,228.528,19.289,5320,115,223,181.396,23.251,5320,115,223,181.396,23.251
G37,5320,170,255,224.933,19.721,5320,130,221,183.337,18.513,5320,130,221,183.337,18.513
G38,5320,91,255,204.664,45.398,5320,4,190,109.745,51.920,5320,4,190,109.745,51.920
G39,5320,39,255,163.593,56.780,5320,0,79,9.251,16.803,5320,0,79,9.251,16.803
G40,5320,135,250,203.273,23.509,5320,73,247,169.365,33.826,5320,73,254,170.393,35.393
G41,5320,91,255,204.518,30.173,5320,86,247,188.000,30.078,5320,86,254,189.116,30.947
G42,5320,68,255,208.606,36.420,5320,23,230,137.688,46.698,5320,23,230,137.688,46.698
G43,5320,121,255,212.442,27.921,5320,121,254,210.359,26.931,5320,126,255,232.081,24.451
G44,5320,22,255,203.200,41.278,5320,0,255,111.969,62.716,5320,0,255,112.000,62.782
G45,5320,43,255,169.440,42.005,5320,6,255,146.858,56.768,5320,6,255,159.343,67.039
G46,5320,82,250,188.619,35.568,5320,82,241,186.683,34.650,5320,125,255,227.157,30.852
