Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,174,255,238.874,16.311,5320,52,201,133.205,41.079,5320,52,201,133.205,41.079
G2,5320,185,255,248.113,10.663,5320,150,253,210.869,18.473,5320,150,255,212.955,20.560
G3,5320,154,255,239.338,20.270,5320,130,207,190.621,13.569,5320,130,207,190.621,13.569
G4,5320,203,255,247.116,8.723,5320,185,253,220.367,16.952,5320,185,255,221.977,18.813
G5,5320,71,248,182.364,37.214,5320,71,247,182.317,37.164,5320,148,255,233.043,24.229
G6,5320,62,228,173.593,32.819,5320,62,216,168.709,30.514,5320,94,255,189.586,36.389
G7,5320,169,255,215.598,24.675,5320,136,240,182.843,22.680,5320,136,255,184.995,26.971
G8,5320,200,255,240.638,14.544,5320,147,235,186.120,17.518,5320,147,235,186.120,17.518
G9,5320,75,255,222.554,41.330,5320,75,254,216.695,37.906,5320,169,255,236.879,18.905
G10,5320,57,207,136.537,38.397,5320,57,207,136.537,38.397,5320,93,255,207.051,41.042
G11,5320,38,202,119.578,27.169,5320,38,202,119.578,27.169,5320,70,255,237.683,26.351
G12,5320,90,243,193.934,38.639,5320,73,240,184.709,35.607,5320,73,255,219.488,37.576
G13,5320,62,255,196.794,59.926,5320,43,197,132.602,41.901,5320,43,197,132.602,41.901
G14,5320,72,255,190.700,47.522,5320,57,244,168.952,40.675,5320,57,246,170.505,41.235
G15,5320,41,255,150.005,43.841,5320,41,198,142.734,34.088,5320,50,225,150.838,33.463
G16,5320,36,255,183.406,52.752,5320,36,212,135.450,35.546,5320,45,228,141.795,36.583
G17,5320,74,255,155.614,56.863,5320,74,252,153.728,54.541,5320,116,255,217.893,30.017
G18,5320,129,255,235.353,22.065,5320,108,247,202.754,21.406,5320,108,247,202.773,21.422
G19,5320,196,255,249.746,8.728,5320,73,221,176.254,32.631,5320,73,221,176.254,32.631
G20,5320,167,255,237.635,13.702,5320,0,202,64.253,60.756,5320,0,202,64.253,60.756
G21,5320,42,255,226.448,34.423,5320,0,156,17.542,31.271,5320,0,156,17.542,31.271
G22,5320,0,255,183.575,45.241,5320,0,193,77.221,61.097,5320,0,193,77.221,61.097
G23,5320,199,255,243.478,11.256,5320,102,246,184.610,29.646,5320,102,246,184.619,29.657
G24,5320,173,255,238.326,18.230,5320,34,166,83.741,29.084,5320,34,166,83.741,29.084
G25,5320,78,255,196.536,53.178,5320,0,71,23.015,20.830,5320,0,71,23.015,20.830
G26,5320,46,255,171.706,55.976,5320,0,65,4.469,13.005,5320,0,65,4.469,13.005
G27,5320,61,243,196.688,32.054,5320,0,159,23.964,42.686,5320,0,159,23.964,42.686
G28,5320,34,234,159.606,43.849,5320,34,230,134.470,47.611,5320,37,255,154.546,58.261
G29,5320,135,255,205.589,24.062,5320,44,228,144.866,49.698,5320,44,228,144.866,49.698
G30,5320,88,255,197.408,36.994,5320,30,226,144.070,48.781,5320,30,226,144.070,48.781
G31,5320,102,255,174.814,48.706,5320,0,215,86.402,71.695,5320,0,215,86.402,71.695
G32,5320,39,250,180.967,50.171,5320,0,168,89.701,62.484,5320,0,168,89.701,62.484
G33,5320,103,255,230.585,25.844,5320,49,235,181.975,31.057,5320,49,255,184.693,34.950
G34,5320,54,244,188.939,36.124,5320,0,233,129.426,79.182,5320,0,255,144.855,93.430
G35,5320,95,255,199.304,43.511,5320,11,226,105.948,74.410,5320,11,226,105.948,74.410
G36,5320,83,255,202.107,38.050,5320,5,220,132.559,68.619,5320,5,220,132.559,68.619
G37,5320,180,255,222.041,17.093,5320,149,207,180.413,13.058,5320,149,207,180.413,13.058
G38,5320,95,255,200.119,40.269,5320,32,198,124.539,48.385,5320,32,198,124.539,48.385
G39,5320,32,255,171.452,59.658,5320,0,92,12.835,19.489,5320,0,92,12.835,19.489
G40,5320,56,255,193.790,32.580,5320,4,231,160.322,66.390,5320,4,255,165.158,69.424
G41,5320,138,255,195.704,32.327,5320,128,243,180.776,27.952,5320,128,255,184.367,30.481
G42,5320,65,255,207.543,34.692,5320,36,230,148.083,45.521,5320,36,230,148.084,45.523
G43,5320,85,250,165.018,37.202,5320,85,245,164.335,36.118,5320,129,255,227.221,23.988
G44,5320,0,255,188.557,36.792,5320,0,255,124.126,50.736,5320,0,255,124.469,51.287
G45,5320,20,238,169.441,41.995,5320,9,236,160.963,45.097,5320,9,255,179.665,53.867
G46,5320,111,255,224.323,30.077,5320,99,243,206.794,25.191,5320,99,249,213.364,23.633
