Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,145,255,232.662,23.844,5320,29,190,127.015,46.378,5320,29,190,127.015,46.378
G2,5320,177,255,246.414,14.023,5320,143,244,198.766,16.427,5320,143,244,200.227,17.663
G3,5320,130,255,239.075,22.142,5320,115,227,200.008,17.694,5320,115,227,200.008,17.694
G4,5320,148,255,232.658,19.457,5320,148,247,210.813,19.500,5320,164,255,214.946,21.208
G5,5320,102,222,162.256,26.254,5320,102,222,162.214,26.200,5320,164,255,218.800,23.276
G6,5320,46,252,173.090,41.898,5320,46,249,168.663,38.101,5320,89,255,195.757,33.315
G7,5320,107,255,215.605,31.719,5320,102,242,201.869,26.038,5320,102,255,207.670,28.656
G8,5320,174,255,243.802,13.146,5320,174,254,230.224,11.530,5320,185,255,231.768,11.939
G9,5320,169,243,206.144,17.458,5320,169,243,206.144,17.458,5320,190,255,252.696,7.243
G10,5320,55,196,154.874,27.280,5320,55,196,154.874,27.280,5320,131,255,224.969,27.226
G11,5320,30,175,98.669,20.288,5320,30,175,98.669,20.288,5320,60,255,233.532,31.672
G12,5320,75,230,164.782,40.249,5320,75,230,164.686,40.177,5320,117,255,229.044,33.019
G13,5320,58,255,203.002,55.225,5320,58,253,197.496,53.718,5320,60,255,200.161,52.860
G14,5320,131,249,204.036,24.021,5320,131,249,204.036,24.021,5320,187,255,250.812,10.033
G15,5320,101,222,168.689,34.445,5320,101,222,168.689,34.445,5320,133,255,216.424,32.434
G16,5320,0,198,62.755,60.857,5320,0,198,62.755,60.857,5320,44,255,157.292,51.169
G17,5320,45,205,113.477,49.326,5320,45,205,113.477,49.326,5320,116,255,225.755,31.148
G18,5320,64,209,159.409,30.762,5320,64,209,159.407,30.766,5320,70,255,205.812,44.852
G19,5320,108,204,163.548,17.283,5320,108,204,163.548,17.283,5320,160,255,211.134,17.763
G20,5320,86,207,144.661,25.264,5320,86,207,144.661,25.264,5320,155,255,233.692,21.952
G21,5320,0,198,115.001,35.623,5320,0,198,115.001,35.623,5320,37,255,205.521,42.609
G22,5320,0,151,91.446,35.005,5320,0,151,91.446,35.005,5320,40,255,190.468,40.494
G23,5320,110,209,159.381,23.818,5320,110,209,159.381,23.818,5320,213,255,243.817,10.791
G24,5320,133,223,193.154,23.072,5320,133,223,193.154,23.072,5320,193,255,238.958,15.898
G25,5320,40,190,113.642,30.399,5320,40,190,113.642,30.399,5320,86,255,203.946,42.523
G26,5320,42,133,94.532,14.938,5320,42,133,94.532,14.938,5320,126,255,202.337,30.922
G27,5320,39,136,95.332,18.280,5320,39,136,95.332,18.280,5320,87,255,216.472,39.444
G28,5320,19,176,83.064,32.030,5320,19,176,83.064,32.030,5320,72,255,180.803,49.813
G29,5320,130,228,189.097,22.870,5320,130,228,189.097,22.870,5320,154,255,224.705,28.371
G30,5320,73,227,142.721,33.218,5320,73,227,142.721,33.218,5320,150,255,227.927,24.101
G31,5320,44,134,94.925,15.251,5320,44,134,94.925,15.251,5320,100,255,230.318,26.410
G32,5320,47,232,145.913,43.047,5320,47,232,145.913,43.046,5320,87,255,213.702,34.371
G33,5320,59,255,202.486,42.835,5320,59,251,193.861,38.220,5320,103,255,224.041,28.720
G34,5320,47,238,177.147,32.369,5320,0,213,123.906,65.650,5320,0,255,155.566,92.260
G35,5320,128,251,193.984,25.496,5320,128,228,189.603,25.346,5320,132,255,225.422,22.996
G36,5320,41,255,145.899,47.941,5320,41,197,132.248,30.312,5320,66,239,191.803,38.730
G37,5320,108,255,194.946,31.038,5320,108,244,194.097,30.011,5320,175,255,224.236,17.139
G38,5320,97,255,200.653,40.874,5320,44,242,157.077,60.356,5320,44,242,157.127,60.409
G39,5320,30,255,169.360,57.417,5320,0,125,17.476,25.214,5320,0,125,17.476,25.214
G40,5320,15,255,143.124,40.791,5320,15,176,131.854,30.747,5320,20,255,190.196,47.670
G41,5320,114,255,171.158,38.948,5320,114,248,170.449,37.714,5320,140,255,201.798,32.280
G42,5320,51,255,208.310,37.102,5320,28,247,167.452,53.014,5320,28,251,167.642,53.237
G43,5320,59,239,139.789,38.207,5320,59,239,139.677,38.024,5320,128,255,228.102,24.184
G44,5320,28,255,195.751,29.536,5320,9,255,139.036,48.171,5320,9,255,140.868,50.553
G45,5320,28,255,161.476,42.553,5320,13,255,155.218,44.398,5320,13,255,179.156,56.165
G46,5320,100,255,216.139,36.884,5320,100,250,203.751,33.024,5320,112,254,215.180,29.256
