Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,174,255,239.297,16.180,5320,46,171,118.079,37.043,5320,46,171,118.079,37.043
G2,5320,164,255,241.892,18.084,5320,142,231,187.544,20.229,5320,142,242,191.567,24.368
G3,5320,141,255,241.048,20.115,5320,115,207,164.688,12.225,5320,115,207,164.688,12.225
G4,5320,182,255,242.230,12.110,5320,138,243,184.191,24.732,5320,138,246,185.057,25.958
G5,5320,38,255,161.036,51.994,5320,38,243,158.232,49.368,5320,158,247,213.716,20.690
G6,5320,62,255,185.556,36.308,5320,62,245,177.200,33.700,5320,93,251,192.565,35.003
G7,5320,134,255,221.049,30.203,5320,95,236,143.549,30.847,5320,95,250,143.726,31.379
G8,5320,211,255,248.710,8.538,5320,55,160,118.686,19.341,5320,55,160,118.686,19.341
G9,5320,108,255,232.175,34.660,5320,20,231,157.042,41.802,5320,20,247,166.555,47.581
G10,5320,108,255,205.763,47.436,5320,20,254,170.905,48.665,5320,20,255,211.300,55.477
G11,5320,30,236,155.337,27.815,5320,30,231,155.234,27.577,5320,63,255,236.334,26.017
G12,5320,108,255,220.508,28.054,5320,47,252,171.798,49.176,5320,47,255,181.584,58.631
G13,5320,66,255,202.301,54.338,5320,0,121,27.003,29.501,5320,0,121,27.003,29.501
G14,5320,154,255,233.142,26.955,5320,0,100,11.673,23.370,5320,0,100,11.673,23.370
G15,5320,186,255,238.860,18.248,5320,0,160,10.264,24.280,5320,0,160,10.264,24.280
G16,5320,165,255,227.891,23.487,5320,0,204,74.180,55.905,5320,0,204,74.180,55.905
G17,5320,105,255,193.346,35.487,5320,88,231,169.912,24.222,5320,88,255,195.773,39.330
G18,5320,71,255,189.910,47.785,5320,0,174,56.529,55.826,5320,0,174,56.529,55.826
G19,5320,170,255,242.058,16.504,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G20,5320,230,255,251.135,5.764,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G21,5320,155,255,222.383,25.368,5320,0,67,7.075,14.333,5320,0,67,7.075,14.333
G22,5320,43,255,188.921,36.070,5320,0,197,78.477,53.019,5320,0,197,78.478,53.021
G23,5320,164,255,233.345,21.835,5320,0,132,72.271,42.430,5320,0,132,72.271,42.430
G24,5320,52,255,183.329,40.896,5320,0,55,4.449,10.338,5320,0,55,4.449,10.338
G25,5320,48,255,187.691,45.543,5320,0,44,1.745,5.628,5320,0,44,1.745,5.628
G26,5320,106,250,201.041,28.336,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G27,5320,67,238,184.000,34.986,5320,0,160,28.751,45.225,5320,0,160,28.751,45.225
G28,5320,26,234,168.140,46.355,5320,26,231,147.025,45.857,5320,52,255,167.290,51.976
G29,5320,194,255,246.502,13.305,5320,29,129,106.321,21.651,5320,29,129,106.321,21.651
G30,5320,167,255,231.450,25.193,5320,0,107,28.355,35.175,5320,0,107,28.355,35.175
G31,5320,43,255,213.973,39.251,5320,0,102,8.823,24.258,5320,0,102,8.823,24.258
G32,5320,40,251,182.140,51.061,5320,0,151,82.457,53.478,5320,0,151,82.457,53.478
G33,5320,138,255,232.107,26.496,5320,73,236,175.299,33.951,5320,73,255,176.943,36.910
G34,5320,67,245,190.385,37.110,5320,0,232,128.155,80.343,5320,0,255,139.959,91.826
G35,5320,150,255,227.352,21.571,5320,0,101,38.182,30.187,5320,0,101,38.182,30.187
G36,5320,47,255,208.718,37.100,5320,0,174,50.493,60.417,5320,0,174,50.493,60.417
G37,5320,170,255,225.713,18.306,5320,101,189,159.306,15.274,5320,101,189,159.306,15.274
G38,5320,95,255,201.479,38.959,5320,30,186,117.819,43.803,5320,30,186,117.819,43.803
G39,5320,29,255,170.150,56.731,5320,0,113,13.010,20.627,5320,0,113,13.010,20.627
G40,5320,62,251,201.284,41.001,5320,13,246,150.947,62.696,5320,13,253,151.336,63.138
G41,5320,142,255,200.868,31.424,5320,117,241,169.896,31.465,5320,117,252,170.794,32.759
G42,5320,52,255,205.527,35.927,5320,28,222,140.514,43.712,5320,28,222,140.514,43.712
G43,5320,105,252,180.987,33.987,5320,105,241,179.367,31.947,5320,133,255,227.141,25.545
G44,5320,51,255,192.316,34.910,5320,13,255,121.901,49.874,5320,13,255,121.992,50.075
G45,5320,28,255,174.233,41.207,5320,12,255,163.490,46.126,5320,12,255,178.542,53.377
G46,5320,104,255,214.113,35.771,5320,104,246,199.756,32.106,5320,106,250,211.388,28.337
