Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,146,255,234.123,22.428,5320,30,202,137.650,44.760,5320,30,202,137.650,44.760
G2,5320,113,255,235.090,31.318,5320,113,235,200.541,21.937,5320,150,251,208.826,19.713
G3,5320,137,255,239.399,21.811,5320,129,242,208.639,17.247,5320,129,242,208.639,17.247
G4,5320,134,255,231.511,19.491,5320,134,249,217.309,19.374,5320,165,255,230.424,24.722
G5,5320,40,206,125.135,41.821,5320,40,206,125.135,41.821,5320,151,255,232.145,20.780
G6,5320,35,250,163.240,38.326,5320,35,240,162.752,37.668,5320,88,255,202.912,31.474
G7,5320,109,255,216.941,31.444,5320,109,242,206.170,27.128,5320,110,255,210.536,29.005
G8,5320,163,255,235.379,20.202,5320,159,253,216.635,16.961,5320,159,254,218.420,17.983
G9,5320,48,242,133.125,62.335,5320,48,242,133.080,62.284,5320,127,255,208.832,32.925
G10,5320,39,222,94.906,52.373,5320,39,222,94.899,52.357,5320,137,255,231.570,22.874
G11,5320,21,187,107.446,21.827,5320,21,187,107.446,21.827,5320,54,255,236.158,29.540
G12,5320,91,239,182.463,39.551,5320,91,239,181.965,39.138,5320,131,255,226.028,33.457
G13,5320,101,255,202.106,38.192,5320,94,248,180.638,37.414,5320,94,250,180.827,37.453
G14,5320,100,255,205.220,38.827,5320,70,252,172.022,46.332,5320,70,255,176.159,49.477
G15,5320,100,255,224.277,34.503,5320,100,240,208.295,28.976,5320,103,255,214.574,29.050
G16,5320,129,255,215.589,28.611,5320,107,248,184.900,26.641,5320,107,255,194.048,29.665
G17,5320,51,251,132.984,53.324,5320,51,251,132.955,53.272,5320,145,255,214.058,25.764
G18,5320,42,252,166.659,43.747,5320,12,251,135.957,58.748,5320,12,255,137.751,60.824
G19,5320,50,255,207.118,51.368,5320,16,182,79.530,40.643,5320,16,182,79.530,40.643
G20,5320,62,255,224.052,35.170,5320,48,226,146.590,45.892,5320,48,226,146.590,45.892
G21,5320,68,255,199.933,47.881,5320,55,195,111.177,25.976,5320,55,195,111.177,25.976
G22,5320,51,255,179.743,40.523,5320,26,220,118.968,49.788,5320,26,220,118.981,49.811
G23,5320,40,255,204.962,48.114,5320,8,251,182.019,64.949,5320,8,255,191.251,71.151
G24,5320,48,255,156.223,55.542,5320,0,152,45.433,44.399,5320,0,152,45.433,44.399
G25,5320,53,255,175.007,48.444,5320,0,149,56.523,33.603,5320,0,149,56.523,33.603
G26,5320,207,255,246.544,10.929,5320,0,106,25.732,28.316,5320,0,106,25.732,28.316
G27,5320,55,255,205.171,34.730,5320,0,197,53.215,55.974,5320,0,197,53.215,55.974
G28,5320,27,231,155.513,51.458,5320,27,222,144.148,48.002,5320,53,255,166.744,50.718
G29,5320,95,255,186.950,40.142,5320,57,192,124.472,29.740,5320,57,192,124.472,29.740
G30,5320,147,255,223.037,23.415,5320,0,159,51.900,54.586,5320,0,159,51.900,54.586
G31,5320,41,255,218.730,41.388,5320,0,132,12.455,32.167,5320,0,132,12.455,32.167
G32,5320,39,254,190.781,45.115,5320,0,178,98.891,60.868,5320,0,178,98.891,60.868
G33,5320,141,255,229.327,27.581,5320,104,235,182.150,30.271,5320,104,255,185.233,34.969
G34,5320,65,248,187.157,34.646,5320,0,232,121.042,79.947,5320,0,255,134.212,93.521
G35,5320,129,255,215.359,38.047,5320,0,205,33.023,33.165,5320,0,205,33.023,33.165
G36,5320,52,255,214.973,28.641,5320,0,183,59.916,62.159,5320,0,183,59.916,62.159
G37,5320,175,255,225.581,17.619,5320,121,198,172.083,14.189,5320,121,198,172.083,14.189
G38,5320,97,255,198.815,40.586,5320,29,191,119.052,47.471,5320,29,191,119.052,47.471
G39,5320,30,255,173.726,61.125,5320,0,97,10.081,16.867,5320,0,97,10.081,16.867
G40,5320,52,251,195.082,48.281,5320,12,247,155.029,70.229,5320,12,253,155.545,70.646
G41,5320,136,255,201.257,32.343,5320,117,245,174.449,30.928,5320,117,252,174.934,31.653
G42,5320,59,255,207.621,35.956,5320,31,220,141.591,46.368,5320,31,220,141.591,46.368
G43,5320,129,253,198.571,28.139,5320,125,244,196.322,26.173,5320,125,255,228.413,24.381
G44,5320,29,255,195.827,32.527,5320,6,255,116.303,51.467,5320,6,255,116.373,51.619
G45,5320,44,255,177.004,45.747,5320,16,255,163.874,50.186,5320,16,255,175.015,55.821
G46,5320,84,255,205.044,44.120,5320,84,252,199.623,42.583,5320,119,255,221.459,30.615
