Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,146,255,233.619,23.501,5320,30,195,125.333,44.196,5320,30,195,125.333,44.196
G2,5320,165,255,244.883,16.165,5320,133,228,187.396,18.762,5320,133,230,188.070,19.480
G3,5320,139,255,240.104,20.208,5320,129,232,204.000,14.787,5320,129,232,204.002,14.789
G4,5320,169,255,242.647,14.321,5320,149,253,222.876,22.700,5320,149,255,226.540,24.928
G5,5320,116,235,183.373,23.474,5320,116,235,183.373,23.474,5320,169,255,236.798,14.563
G6,5320,35,226,161.655,34.300,5320,35,226,161.459,34.090,5320,93,255,203.337,32.676
G7,5320,147,255,217.108,27.644,5320,147,248,208.357,22.540,5320,150,255,214.011,24.704
G8,5320,217,255,247.683,8.953,5320,210,253,235.700,9.260,5320,210,255,236.067,9.409
G9,5320,52,254,215.706,35.054,5320,52,253,214.772,34.212,5320,86,255,243.170,22.720
G10,5320,20,200,87.946,32.429,5320,20,200,87.946,32.429,5320,44,255,160.268,58.626
G11,5320,20,178,94.274,24.609,5320,20,178,94.274,24.609,5320,52,255,235.970,28.807
G12,5320,85,236,172.656,42.011,5320,85,232,171.664,41.529,5320,114,255,226.818,33.342
G13,5320,53,255,198.793,51.928,5320,38,229,160.441,46.078,5320,38,229,160.531,46.069
G14,5320,175,255,231.977,19.911,5320,123,245,184.549,31.697,5320,123,250,188.499,35.154
G15,5320,101,242,176.214,21.092,5320,101,208,172.982,17.670,5320,105,252,189.760,20.301
G16,5320,54,255,146.851,50.879,5320,36,212,120.355,40.805,5320,36,212,121.577,41.409
G17,5320,39,253,125.402,72.565,5320,39,252,125.323,72.436,5320,119,255,219.756,31.158
G18,5320,61,255,204.501,44.639,5320,42,251,177.853,58.324,5320,42,255,180.488,59.653
G19,5320,111,255,191.771,36.317,5320,77,185,126.487,22.474,5320,77,185,126.487,22.474
G20,5320,166,255,237.282,22.582,5320,14,219,177.503,37.703,5320,14,219,177.503,37.703
G21,5320,137,255,217.054,30.233,5320,0,211,81.809,65.029,5320,0,211,81.809,65.029
G22,5320,29,255,193.745,47.439,5320,0,189,88.407,49.857,5320,0,189,88.407,49.857
G23,5320,170,255,214.157,21.855,5320,140,230,194.154,16.365,5320,140,255,209.714,27.009
G24,5320,170,255,241.287,14.006,5320,38,191,159.843,20.215,5320,38,191,159.843,20.215
G25,5320,173,255,228.375,19.677,5320,0,184,28.586,47.232,5320,0,184,28.586,47.232
G26,5320,94,255,211.006,32.283,5320,0,8,0.007,0.183,5320,0,8,0.007,0.183
G27,5320,73,255,204.395,39.145,5320,0,135,14.836,28.906,5320,0,135,14.836,28.906
G28,5320,36,248,167.848,48.574,5320,36,245,130.229,51.616,5320,42,255,142.562,56.307
G29,5320,87,255,217.433,30.699,5320,18,199,137.194,36.431,5320,18,224,137.690,37.014
G30,5320,99,255,203.574,44.503,5320,0,115,6.989,18.633,5320,0,115,6.989,18.633
G31,5320,140,255,203.236,24.703,5320,0,45,2.426,8.153,5320,0,45,2.426,8.153
G32,5320,65,255,188.351,42.005,5320,0,132,52.552,44.741,5320,0,132,52.552,44.741
G33,5320,125,255,232.132,28.464,5320,56,249,155.744,41.356,5320,56,255,156.822,43.476
G34,5320,48,251,189.917,38.434,5320,0,247,121.595,83.004,5320,0,255,129.722,91.885
G35,5320,162,255,234.464,19.383,5320,0,188,24.076,38.072,5320,0,188,24.076,38.072
G36,5320,79,255,226.447,33.191,5320,0,124,21.783,36.455,5320,0,124,21.783,36.455
G37,5320,171,255,227.292,17.600,5320,47,165,125.431,18.234,5320,47,165,125.431,18.234
G38,5320,93,255,199.632,41.336,5320,23,165,105.537,40.602,5320,23,165,105.537,40.602
G39,5320,33,255,169.378,62.439,5320,0,101,8.100,15.041,5320,0,101,8.100,15.041
G40,5320,80,255,200.121,41.005,5320,0,205,72.497,64.023,5320,0,205,72.497,64.023
G41,5320,135,255,205.224,32.580,5320,64,223,139.844,39.738,5320,64,223,139.844,39.738
G42,5320,71,255,208.701,35.560,5320,36,206,133.513,43.385,5320,36,206,133.513,43.385
G43,5320,102,255,206.439,34.925,5320,102,251,201.431,33.255,5320,120,255,224.877,25.414
G44,5320,30,255,192.476,34.712,5320,12,255,114.802,52.854,5320,12,255,114.853,52.961
G45,5320,25,255,174.312,46.379,5320,10,255,162.722,48.808,5320,10,255,175.165,54.944
G46,5320,90,255,209.927,41.191,5320,90,253,203.890,39.000,5320,118,255,222.811,28.870
