Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,165,255,228.820,23.370,5320,121,248,200.123,25.423,5320,121,255,211.094,28.975
G2,5320,51,255,213.727,43.105,5320,50,250,211.289,41.609,5320,50,255,225.629,39.603
G3,5320,74,215,136.329,30.136,5320,74,215,136.329,30.136,5320,148,255,230.779,20.851
G4,5320,15,198,103.681,44.146,5320,15,198,103.681,44.146,5320,84,254,215.248,29.420
G5,5320,46,183,78.881,18.877,5320,46,183,78.881,18.877,5320,63,255,139.614,38.777
G6,5320,0,79,28.764,17.254,5320,0,79,28.764,17.254,5320,61,255,202.044,41.753
G7,5320,19,106,71.796,21.099,5320,19,106,71.796,21.099,5320,55,255,192.705,46.683
G8,5320,0,87,33.452,20.648,5320,0,87,33.452,20.648,5320,53,255,220.757,44.373
G9,5320,0,74,27.270,25.668,5320,0,74,27.270,25.668,5320,109,255,218.160,32.985
G10,5320,1,165,56.814,34.873,5320,1,165,56.814,34.873,5320,16,255,168.181,66.714
G11,5320,0,67,41.412,11.376,5320,0,67,41.412,11.376,5320,132,255,242.239,19.830
G12,5320,22,90,55.670,17.061,5320,22,90,55.670,17.061,5320,128,255,223.101,25.258
G13,5320,0,117,52.202,31.905,5320,0,117,52.202,31.905,5320,136,255,214.940,29.662
G14,5320,0,124,53.051,45.133,5320,0,124,53.051,45.133,5320,90,255,189.914,44.134
G15,5320,0,89,26.071,20.513,5320,0,89,26.071,20.513,5320,30,225,117.875,37.096
G16,5320,0,123,14.775,23.385,5320,0,123,14.775,23.385,5320,48,255,214.468,45.925
G17,5320,7,182,84.305,46.674,5320,7,182,84.305,46.674,5320,107,255,218.810,31.328
G18,5320,0,195,126.480,34.266,5320,0,195,126.480,34.266,5320,55,255,201.492,36.633
G19,5320,0,169,78.276,59.235,5320,0,169,78.276,59.235,5320,67,255,190.733,42.714
G20,5320,4,206,116.757,34.413,5320,4,206,116.498,34.024,5320,23,255,190.180,45.438
G21,5320,0,198,71.855,55.582,5320,0,163,66.290,49.407,5320,28,255,155.575,57.876
G22,5320,0,255,205.513,49.852,5320,0,252,168.488,52.369,5320,52,255,173.185,48.410
G23,5320,0,255,214.121,59.627,5320,0,246,179.431,48.608,5320,57,255,192.954,34.325
G24,5320,0,255,117.832,102.270,5320,0,191,64.560,56.354,5320,34,255,141.419,56.572
G25,5320,46,255,207.089,43.707,5320,46,221,171.890,33.005,5320,73,221,175.659,30.005
G26,5320,52,255,191.183,52.836,5320,19,193,123.403,42.566,5320,19,193,123.403,42.566
G27,5320,61,255,223.488,42.588,5320,23,193,131.023,35.312,5320,23,193,131.023,35.312
G28,5320,132,255,220.867,29.639,5320,62,154,112.382,23.913,5320,62,154,112.382,23.913
G29,5320,97,255,212.722,38.602,5320,21,138,54.373,16.852,5320,21,138,54.373,16.852
G30,5320,116,255,213.945,31.386,5320,51,247,171.476,39.759,5320,51,253,174.111,42.871
G31,5320,121,255,202.702,28.432,5320,93,252,160.714,35.474,5320,93,255,164.669,41.367
G32,5320,37,255,173.922,50.331,5320,18,196,117.933,42.068,5320,18,196,117.933,42.068
G33,5320,53,255,192.318,59.653,5320,21,183,122.191,53.456,5320,21,183,122.191,53.456
G34,5320,52,254,179.160,59.062,5320,34,253,161.112,70.817,5320,34,255,164.022,73.934
G35,5320,17,254,144.230,69.592,5320,17,248,142.948,67.986,5320,76,255,211.343,45.509
G36,5320,17,217,91.315,56.056,5320,17,217,90.986,55.579,5320,82,255,212.641,35.516
G37,5320,38,255,210.753,24.309,5320,38,243,196.404,27.147,5320,115,255,210.076,31.957
G38,5320,160,255,223.985,20.848,5320,132,240,184.226,28.034,5320,132,240,184.519,28.300
G39,5320,29,255,190.331,48.348,5320,22,236,177.497,47.979,5320,22,252,185.051,52.625
G40,5320,36,181,93.689,32.298,5320,36,181,93.689,32.298,5320,74,243,173.468,38.014
G41,5320,29,204,136.218,27.361,5320,29,204,136.218,27.361,5320,90,246,197.877,28.398
G42,5320,65,255,213.980,28.142,5320,65,250,211.982,26.380,5320,68,255,228.604,21.931
G43,5320,0,181,39.670,37.827,5320,0,181,39.670,37.827,5320,94,255,219.796,32.900
G44,5320,14,228,113.495,45.687,5320,14,201,106.939,39.005,5320,50,255,169.505,54.152
G45,5320,21,183,91.362,26.075,5320,21,183,91.327,26.101,5320,45,255,188.764,59.006
G46,5320,17,211,103.152,43.726,5320,17,211,103.152,43.726,5320,133,255,243.106,20.066
