Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,197,255,238.614,13.506,5320,112,252,195.326,29.863,5320,112,255,198.552,33.038
G2,5320,48,255,196.842,52.332,5320,48,246,187.887,45.917,5320,54,255,196.449,43.599
G3,5320,80,246,168.155,36.028,5320,80,245,168.137,35.994,5320,148,255,230.660,21.846
G4,5320,93,250,180.873,36.819,5320,93,241,180.139,35.654,5320,103,255,215.080,27.046
G5,5320,29,255,172.220,63.837,5320,29,254,170.944,62.424,5320,45,254,199.608,58.536
G6,5320,0,109,50.746,25.766,5320,0,109,50.746,25.766,5320,67,255,209.024,34.454
G7,5320,36,255,141.404,64.110,5320,36,247,138.000,59.765,5320,80,255,183.250,44.900
G8,5320,62,255,203.609,52.853,5320,62,237,154.369,40.196,5320,77,237,162.564,37.006
G9,5320,233,255,253.788,3.031,5320,101,251,165.441,40.657,5320,101,251,165.468,40.702
G10,5320,29,255,151.377,76.081,5320,18,248,111.760,55.999,5320,18,255,148.535,55.092
G11,5320,0,96,66.604,17.231,5320,0,96,66.604,17.231,5320,120,255,240.669,22.904
G12,5320,38,253,142.914,68.953,5320,38,237,140.761,66.355,5320,124,255,225.138,25.912
G13,5320,120,255,223.194,24.122,5320,34,227,129.369,49.859,5320,34,238,129.609,50.299
G14,5320,183,255,233.177,21.163,5320,3,115,66.726,27.340,5320,3,115,66.726,27.340
G15,5320,36,255,201.389,52.368,5320,0,107,35.303,31.350,5320,0,107,35.578,31.502
G16,5320,39,255,167.083,62.755,5320,0,241,61.485,74.250,5320,0,254,63.991,76.632
G17,5320,34,255,141.764,70.264,5320,34,241,134.259,61.096,5320,107,255,211.366,29.924
G18,5320,78,255,200.166,42.679,5320,8,222,108.776,66.039,5320,8,223,108.810,66.092
G19,5320,156,255,220.764,24.477,5320,0,51,3.991,8.000,5320,0,51,3.991,8.000
G20,5320,180,255,241.796,15.386,5320,0,95,34.073,22.537,5320,0,95,34.073,22.537
G21,5320,53,255,203.799,42.295,5320,0,122,42.316,38.939,5320,0,122,42.316,38.939
G22,5320,45,255,222.873,34.388,5320,0,193,125.595,32.893,5320,0,193,125.595,32.893
G23,5320,197,255,243.905,14.552,5320,37,182,103.651,30.201,5320,37,182,103.651,30.201
G24,5320,161,255,243.115,20.457,5320,8,98,67.871,20.440,5320,8,98,67.871,20.440
G25,5320,105,255,228.280,31.055,5320,37,96,78.365,12.050,5320,37,96,78.365,12.050
G26,5320,87,255,211.171,36.863,5320,37,125,96.385,19.923,5320,37,125,96.385,19.923
G27,5320,44,255,201.171,40.392,5320,22,125,94.513,16.785,5320,22,125,94.513,16.785
G28,5320,126,255,220.074,27.815,5320,45,147,92.969,24.010,5320,45,147,92.969,24.010
G29,5320,107,255,221.774,38.636,5320,0,71,19.731,18.343,5320,0,71,19.731,18.343
G30,5320,148,255,239.273,16.909,5320,49,120,82.276,16.406,5320,49,120,82.276,16.406
G31,5320,41,255,187.202,54.631,5320,20,136,88.005,29.648,5320,20,136,88.005,29.648
G32,5320,40,248,160.057,39.022,5320,18,152,80.606,27.232,5320,18,152,80.606,27.232
G33,5320,49,255,191.177,59.628,5320,15,162,104.861,47.826,5320,15,162,104.861,47.826
G34,5320,41,255,189.659,59.693,5320,23,250,164.201,69.776,5320,23,250,164.676,70.244
G35,5320,172,255,217.303,19.687,5320,0,108,57.013,29.565,5320,0,108,57.013,29.565
G36,5320,42,255,210.983,32.752,5320,23,200,99.524,24.160,5320,23,200,99.524,24.160
G37,5320,96,255,219.105,23.851,5320,54,214,168.517,29.852,5320,54,214,168.517,29.852
G38,5320,152,255,224.112,20.356,5320,118,215,159.837,23.861,5320,118,215,159.837,23.861
G39,5320,26,255,194.509,51.558,5320,21,236,175.592,48.994,5320,21,239,177.835,50.591
G40,5320,76,255,201.405,36.567,5320,0,228,87.212,67.141,5320,0,233,87.312,67.338
G41,5320,107,243,196.179,27.643,5320,61,229,176.569,26.350,5320,61,254,181.590,28.610
G42,5320,80,255,223.586,27.718,5320,80,246,210.576,23.156,5320,81,255,215.424,21.685
G43,5320,20,221,87.087,47.192,5320,20,219,87.067,47.142,5320,84,255,224.888,35.617
G44,5320,29,230,124.803,44.506,5320,29,224,117.960,39.205,5320,50,255,165.126,54.378
G45,5320,36,215,108.424,29.815,5320,36,215,108.390,29.866,5320,40,255,194.131,57.255
G46,5320,25,236,102.534,39.128,5320,25,233,102.527,39.110,5320,127,255,237.944,24.607
