Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,153,255,222.470,25.496,5320,104,244,197.773,28.277,5320,104,255,212.460,32.372
G2,5320,35,249,180.525,51.357,5320,35,247,180.508,51.336,5320,53,255,219.232,46.829
G3,5320,87,228,142.649,23.028,5320,87,226,142.643,23.009,5320,142,255,231.514,23.015
G4,5320,39,175,107.447,25.616,5320,39,175,107.447,25.616,5320,96,255,209.501,37.500
G5,5320,17,128,79.254,29.574,5320,17,128,79.254,29.574,5320,49,255,174.996,68.428
G6,5320,7,124,67.156,23.742,5320,7,124,67.156,23.742,5320,58,255,203.757,36.323
G7,5320,24,160,96.788,35.118,5320,24,160,96.788,35.118,5320,53,255,187.990,47.666
G8,5320,18,170,111.260,35.182,5320,18,170,111.260,35.182,5320,48,255,213.527,40.016
G9,5320,47,147,111.201,21.449,5320,47,147,111.201,21.449,5320,109,255,229.682,30.830
G10,5320,32,196,120.670,34.926,5320,32,196,120.670,34.926,5320,58,253,169.693,36.981
G11,5320,0,91,66.079,14.740,5320,0,91,66.079,14.740,5320,96,255,243.873,21.316
G12,5320,35,176,104.239,42.618,5320,35,176,104.239,42.618,5320,114,255,229.541,27.981
G13,5320,49,199,143.809,40.798,5320,49,199,143.809,40.798,5320,71,255,193.071,51.670
G14,5320,0,126,68.596,28.674,5320,0,126,68.596,28.674,5320,96,255,187.357,34.503
G15,5320,0,203,92.802,65.371,5320,0,203,92.802,65.371,5320,129,255,219.418,28.296
G16,5320,47,239,171.793,41.969,5320,45,239,171.757,42.012,5320,45,255,193.521,45.099
G17,5320,36,224,118.601,54.977,5320,36,224,118.601,54.977,5320,100,255,220.960,29.599
G18,5320,64,253,194.730,45.927,5320,64,252,194.617,45.831,5320,82,255,218.438,43.926
G19,5320,0,253,103.786,81.368,5320,0,252,103.124,80.504,5320,52,255,157.707,60.400
G20,5320,0,181,68.235,46.187,5320,0,181,68.235,46.187,5320,49,255,165.974,55.675
G21,5320,0,222,105.266,57.034,5320,0,222,105.266,57.034,5320,34,255,153.355,54.884
G22,5320,156,238,211.433,13.429,5320,156,238,211.433,13.429,5320,170,255,241.690,9.828
G23,5320,180,255,239.445,16.082,5320,102,249,195.683,32.093,5320,102,252,196.844,33.078
G24,5320,168,255,238.968,19.928,5320,88,250,193.197,33.031,5320,88,251,193.727,33.551
G25,5320,76,255,166.325,54.624,5320,76,252,161.387,47.676,5320,117,255,211.311,28.682
G26,5320,85,202,170.017,24.020,5320,85,202,170.017,24.020,5320,125,255,238.364,22.048
G27,5320,184,253,205.947,15.997,5320,184,249,205.528,15.311,5320,207,255,248.607,7.776
G28,5320,108,255,218.550,30.643,5320,82,248,195.732,38.672,5320,82,248,197.597,40.198
G29,5320,147,255,230.646,26.991,5320,14,210,91.212,63.673,5320,14,210,91.212,63.673
G30,5320,102,255,231.472,25.840,5320,55,254,207.899,29.378,5320,55,255,211.164,28.864
G31,5320,100,247,171.740,35.331,5320,100,246,171.272,34.549,5320,123,252,200.509,31.060
G32,5320,40,248,162.421,42.164,5320,37,211,156.154,37.912,5320,37,252,173.219,46.207
G33,5320,43,255,193.817,60.067,5320,41,216,159.461,50.141,5320,41,216,159.520,50.142
G34,5320,50,242,182.907,47.077,5320,46,242,177.822,49.326,5320,46,255,189.348,55.385
G35,5320,160,255,225.590,24.495,5320,23,238,101.628,34.589,5320,23,238,101.631,34.599
G36,5320,84,255,215.922,27.728,5320,74,241,174.617,29.445,5320,74,250,176.030,30.594
G37,5320,133,255,214.121,22.954,5320,132,252,209.348,20.257,5320,137,255,219.296,21.045
G38,5320,134,255,223.349,21.910,5320,129,242,194.042,23.910,5320,129,242,194.179,24.070
G39,5320,27,255,196.205,48.340,5320,23,248,181.527,47.121,5320,23,248,186.691,49.694
G40,5320,32,255,166.879,49.211,5320,22,214,139.769,45.330,5320,22,253,157.213,62.666
G41,5320,70,225,167.784,30.501,5320,70,225,167.665,30.546,5320,73,255,209.290,30.539
G42,5320,59,255,214.197,32.315,5320,59,252,212.595,31.389,5320,64,255,228.630,26.745
G43,5320,0,182,46.433,35.548,5320,0,182,46.433,35.548,5320,60,255,228.483,30.581
G44,5320,7,236,112.754,47.878,5320,7,199,106.673,39.986,5320,49,255,169.477,56.189
G45,5320,15,239,93.191,30.350,5320,15,239,93.179,30.359,5320,46,255,190.929,59.894
G46,5320,58,224,130.935,27.362,5320,58,222,130.920,27.325,5320,136,255,230.848,28.446
