Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,141,255,227.608,23.915,5320,136,248,207.185,24.530,5320,136,255,225.654,28.398
G2,5320,42,255,170.269,54.340,5320,42,249,169.968,53.919,5320,58,255,204.555,46.941
G3,5320,55,201,110.049,24.448,5320,55,201,110.049,24.448,5320,141,255,230.633,22.758
G4,5320,25,154,87.810,31.155,5320,25,154,87.810,31.155,5320,126,255,214.928,33.363
G5,5320,16,121,90.760,22.484,5320,16,121,90.760,22.484,5320,49,255,209.288,43.963
G6,5320,0,74,27.384,16.102,5320,0,74,27.384,16.102,5320,73,255,207.843,32.561
G7,5320,14,155,75.344,37.188,5320,14,155,75.344,37.188,5320,53,255,178.310,48.698
G8,5320,7,159,73.889,33.917,5320,7,159,73.889,33.917,5320,45,255,200.674,40.230
G9,5320,24,115,85.094,21.875,5320,24,115,85.094,21.875,5320,86,255,227.251,45.240
G10,5320,29,126,77.366,22.877,5320,29,126,77.366,22.877,5320,92,255,195.031,39.003
G11,5320,0,72,44.763,14.995,5320,0,72,44.763,14.995,5320,147,255,239.701,22.597
G12,5320,24,185,103.334,43.626,5320,24,185,103.334,43.626,5320,116,255,226.808,25.302
G13,5320,48,198,132.861,40.596,5320,48,198,132.861,40.596,5320,71,255,181.033,53.929
G14,5320,47,211,140.921,35.437,5320,47,211,140.921,35.437,5320,83,255,220.890,36.536
G15,5320,43,132,105.956,19.101,5320,43,132,105.956,19.101,5320,128,255,233.470,29.590
G16,5320,0,117,39.162,34.686,5320,0,117,39.162,34.686,5320,24,255,199.279,56.167
G17,5320,21,222,120.638,62.479,5320,21,222,120.638,62.479,5320,80,255,224.721,29.122
G18,5320,59,255,197.657,43.524,5320,59,250,193.880,40.284,5320,70,255,214.883,34.665
G19,5320,48,255,180.498,62.691,5320,48,248,179.357,61.519,5320,66,255,210.925,54.328
G20,5320,37,237,118.777,58.883,5320,37,236,118.776,58.882,5320,134,255,202.067,37.450
G21,5320,9,193,59.315,44.361,5320,9,193,59.315,44.361,5320,91,255,219.407,35.320
G22,5320,86,255,212.695,34.580,5320,70,235,186.289,32.592,5320,70,243,195.815,32.823
G23,5320,193,255,243.447,15.331,5320,61,232,150.796,39.895,5320,61,232,150.904,40.052
G24,5320,180,255,231.422,20.715,5320,34,246,155.734,63.685,5320,34,247,156.251,64.240
G25,5320,103,255,204.165,27.221,5320,103,238,197.689,24.909,5320,115,255,209.661,27.391
G26,5320,17,234,123.717,53.662,5320,0,216,102.224,53.566,5320,0,255,165.745,77.945
G27,5320,17,255,162.842,68.051,5320,0,230,140.664,65.146,5320,0,255,183.807,61.222
G28,5320,119,255,219.612,29.199,5320,67,212,134.858,28.706,5320,67,212,134.867,28.719
G29,5320,140,255,222.814,35.967,5320,2,176,81.881,42.660,5320,2,176,81.915,42.720
G30,5320,38,255,122.489,51.580,5320,38,220,111.435,34.172,5320,50,229,141.361,28.985
G31,5320,30,165,94.873,32.254,5320,30,165,94.873,32.254,5320,55,245,141.877,50.324
G32,5320,32,251,136.613,51.652,5320,32,226,132.878,47.711,5320,35,230,152.184,43.066
G33,5320,41,255,193.862,59.068,5320,28,224,151.726,56.640,5320,28,224,151.741,56.638
G34,5320,52,245,184.610,48.618,5320,43,245,176.674,55.391,5320,43,255,185.046,60.643
G35,5320,82,255,169.989,41.165,5320,80,208,148.489,21.662,5320,82,255,185.812,39.418
G36,5320,84,255,156.536,29.467,5320,84,241,154.591,24.377,5320,106,255,234.434,24.525
G37,5320,97,255,185.869,29.243,5320,97,253,184.461,27.421,5320,134,255,226.439,20.210
G38,5320,152,255,223.172,19.560,5320,147,252,198.889,24.328,5320,147,254,199.414,25.033
G39,5320,33,255,193.367,51.023,5320,24,249,178.093,50.427,5320,24,249,183.129,53.206
G40,5320,101,255,187.865,35.665,5320,64,244,170.617,27.664,5320,64,255,202.843,39.149
G41,5320,82,190,144.242,20.346,5320,82,190,144.248,20.340,5320,140,248,200.822,24.120
G42,5320,86,255,210.219,28.709,5320,86,254,209.223,28.298,5320,90,255,229.526,23.474
G43,5320,0,180,52.172,37.333,5320,0,180,52.172,37.333,5320,93,255,226.639,34.377
G44,5320,18,216,110.720,44.076,5320,18,196,101.584,37.132,5320,45,255,163.873,60.806
G45,5320,24,221,99.713,27.962,5320,24,221,99.673,28.004,5320,40,255,197.328,56.171
G46,5320,10,195,88.834,42.439,5320,10,195,88.834,42.439,5320,132,255,239.677,22.152
