Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,165,255,228.105,22.547,5320,125,250,203.823,25.958,5320,125,255,215.187,28.883
G2,5320,33,254,184.226,59.048,5320,33,251,184.059,58.879,5320,48,255,213.921,53.432
G3,5320,82,222,143.576,28.352,5320,82,222,143.576,28.351,5320,137,255,231.063,24.444
G4,5320,48,188,113.703,24.954,5320,48,188,113.703,24.954,5320,84,255,209.428,32.672
G5,5320,0,115,70.375,35.313,5320,0,115,70.375,35.313,5320,45,255,179.764,65.157
G6,5320,7,102,54.709,19.687,5320,7,102,54.709,19.687,5320,72,255,205.436,33.912
G7,5320,24,140,84.771,27.476,5320,24,140,84.771,27.476,5320,52,255,179.987,45.964
G8,5320,20,140,91.090,25.802,5320,20,140,91.090,25.802,5320,46,255,205.340,44.042
G9,5320,13,113,86.663,22.574,5320,13,113,86.663,22.574,5320,54,255,235.285,29.514
G10,5320,0,103,31.717,27.325,5320,0,103,31.717,27.325,5320,47,255,185.384,50.961
G11,5320,0,74,48.011,13.513,5320,0,74,48.011,13.513,5320,122,255,240.751,23.552
G12,5320,30,145,80.261,36.327,5320,30,145,80.261,36.327,5320,129,255,224.792,26.451
G13,5320,47,155,108.885,29.033,5320,47,155,108.885,29.033,5320,76,255,177.611,52.849
G14,5320,13,200,120.989,43.196,5320,13,200,120.989,43.196,5320,51,255,193.834,39.481
G15,5320,47,204,132.418,43.098,5320,47,204,132.418,43.098,5320,201,255,248.302,8.826
G16,5320,45,148,95.667,30.934,5320,45,148,95.667,30.934,5320,119,255,216.059,41.198
G17,5320,3,203,87.473,66.973,5320,3,203,87.473,66.973,5320,94,255,223.294,33.203
G18,5320,23,201,130.613,51.606,5320,23,201,130.613,51.606,5320,39,255,189.684,67.037
G19,5320,22,200,122.101,41.422,5320,22,200,122.101,41.422,5320,38,255,180.814,55.824
G20,5320,37,217,160.378,42.672,5320,37,217,160.378,42.672,5320,72,255,219.254,42.228
G21,5320,16,190,102.644,46.074,5320,16,190,102.644,46.074,5320,33,255,199.071,45.539
G22,5320,23,188,154.575,20.824,5320,23,188,154.575,20.824,5320,38,255,231.359,26.267
G23,5320,95,255,227.833,31.798,5320,95,248,214.643,24.343,5320,152,255,231.655,14.047
G24,5320,13,252,130.156,62.134,5320,13,246,129.960,61.771,5320,34,255,194.721,53.565
G25,5320,8,143,53.998,25.938,5320,8,143,53.998,25.938,5320,42,255,162.403,55.270
G26,5320,13,166,91.332,31.214,5320,13,166,91.332,31.214,5320,29,255,201.038,42.543
G27,5320,47,167,104.448,23.205,5320,47,167,104.448,23.205,5320,86,255,188.137,34.604
G28,5320,46,166,113.023,30.943,5320,46,166,113.023,30.943,5320,78,247,182.273,46.639
G29,5320,66,255,210.783,50.462,5320,66,245,193.926,47.288,5320,107,255,225.595,33.430
G30,5320,0,165,26.827,25.021,5320,0,164,26.827,25.020,5320,155,255,218.011,31.645
G31,5320,0,127,40.331,41.986,5320,0,127,40.331,41.986,5320,109,255,213.523,31.790
G32,5320,71,181,123.134,20.654,5320,71,181,123.134,20.654,5320,161,255,232.117,28.821
G33,5320,74,226,154.063,42.219,5320,74,226,154.063,42.219,5320,105,255,212.617,38.281
G34,5320,48,202,153.003,40.597,5320,48,202,153.003,40.597,5320,59,255,196.200,53.682
G35,5320,1,255,167.277,74.595,5320,1,236,150.428,63.183,5320,116,255,211.086,29.717
G36,5320,0,181,32.054,38.116,5320,0,181,32.054,38.116,5320,58,255,219.429,32.261
G37,5320,40,204,136.593,28.448,5320,40,204,136.593,28.448,5320,106,255,234.364,14.368
G38,5320,147,237,194.846,18.897,5320,147,237,194.846,18.897,5320,159,255,223.298,20.430
G39,5320,34,234,173.600,35.443,5320,28,234,172.373,37.403,5320,28,255,200.476,50.627
G40,5320,37,223,112.036,37.536,5320,37,223,112.036,37.536,5320,119,255,201.736,28.405
G41,5320,39,163,114.258,19.349,5320,39,163,114.258,19.349,5320,96,255,198.030,25.818
G42,5320,90,237,192.039,25.730,5320,90,237,192.031,25.752,5320,100,255,230.856,23.621
G43,5320,0,161,36.181,30.175,5320,0,161,36.181,30.175,5320,77,255,220.463,38.414
G44,5320,12,238,110.189,48.818,5320,12,185,103.112,39.873,5320,45,255,167.851,56.763
G45,5320,22,230,94.992,28.211,5320,22,230,94.960,28.239,5320,36,255,194.008,55.803
G46,5320,46,214,107.032,33.528,5320,46,214,107.032,33.527,5320,126,255,236.977,26.655
