Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,165,255,228.770,21.314,5320,91,247,196.032,32.059,5320,91,254,201.487,34.552
G2,5320,46,255,202.423,55.960,5320,46,254,201.306,55.047,5320,58,255,218.236,48.568
G3,5320,102,241,168.242,25.073,5320,102,238,168.226,25.031,5320,138,255,231.359,23.343
G4,5320,63,208,133.603,27.051,5320,63,208,133.603,27.051,5320,90,255,211.491,34.236
G5,5320,0,148,96.245,37.327,5320,0,148,96.245,37.327,5320,43,254,180.839,66.635
G6,5320,11,143,77.124,26.408,5320,11,143,77.124,26.408,5320,61,255,205.189,33.648
G7,5320,28,161,103.515,30.984,5320,28,161,103.515,30.984,5320,51,255,180.078,47.026
G8,5320,23,164,106.836,31.399,5320,23,164,106.836,31.399,5320,43,255,197.092,43.870
G9,5320,66,161,117.682,26.326,5320,66,161,117.682,26.326,5320,174,255,245.083,15.553
G10,5320,17,227,141.514,42.996,5320,17,227,141.514,42.996,5320,31,255,204.408,43.480
G11,5320,0,91,67.947,16.631,5320,0,91,67.947,16.631,5320,145,255,239.727,21.392
G12,5320,41,174,107.877,38.619,5320,41,174,107.877,38.619,5320,121,255,227.133,28.045
G13,5320,61,229,147.793,35.763,5320,61,229,147.793,35.763,5320,77,255,197.204,41.055
G14,5320,44,231,131.478,48.401,5320,44,231,131.478,48.401,5320,141,255,230.134,21.410
G15,5320,4,245,120.314,55.737,5320,4,245,119.371,54.975,5320,16,255,182.082,49.951
G16,5320,52,255,204.846,48.789,5320,26,234,151.841,45.163,5320,26,247,159.136,49.353
G17,5320,29,203,116.124,49.919,5320,29,203,116.124,49.919,5320,107,255,221.050,30.222
G18,5320,21,203,147.766,41.863,5320,21,203,147.766,41.863,5320,62,255,192.204,46.728
G19,5320,0,218,107.966,74.841,5320,0,218,107.966,74.841,5320,53,255,202.295,40.581
G20,5320,0,255,205.064,67.732,5320,0,253,202.292,66.529,5320,48,255,233.661,30.648
G21,5320,76,255,224.188,35.110,5320,61,254,208.284,38.357,5320,61,255,208.487,38.513
G22,5320,117,255,225.882,24.667,5320,23,220,137.991,39.402,5320,23,220,138.010,39.428
G23,5320,24,255,201.326,58.604,5320,24,249,195.080,54.189,5320,61,255,221.596,35.509
G24,5320,0,255,45.171,63.384,5320,0,241,44.796,62.345,5320,29,246,164.364,50.216
G25,5320,0,246,70.021,93.513,5320,0,246,70.021,93.513,5320,29,255,215.725,40.924
G26,5320,88,251,202.735,19.823,5320,88,251,202.721,19.811,5320,129,255,234.377,15.248
G27,5320,147,255,215.212,21.678,5320,76,219,186.365,25.683,5320,76,255,202.431,37.487
G28,5320,127,255,220.986,27.868,5320,35,145,63.424,25.574,5320,35,145,63.424,25.574
G29,5320,25,255,218.386,47.906,5320,25,246,200.761,37.887,5320,85,247,213.238,20.483
G30,5320,0,236,111.858,69.635,5320,0,232,111.578,69.211,5320,34,235,156.261,50.688
G31,5320,33,255,207.855,38.598,5320,33,251,204.302,35.774,5320,67,255,224.167,31.607
G32,5320,37,247,161.045,42.255,5320,24,200,137.033,34.906,5320,24,229,141.515,38.249
G33,5320,39,255,194.356,59.901,5320,20,185,121.163,55.565,5320,20,185,121.163,55.565
G34,5320,49,255,188.980,51.534,5320,32,252,167.675,66.312,5320,32,253,169.181,67.734
G35,5320,148,255,230.231,21.465,5320,0,245,175.734,58.900,5320,0,245,176.420,59.364
G36,5320,68,255,229.390,32.040,5320,68,252,216.445,27.492,5320,70,252,218.679,25.491
G37,5320,116,255,214.423,22.251,5320,116,244,204.625,23.337,5320,127,253,213.490,27.516
G38,5320,157,255,223.131,20.284,5320,130,237,180.867,27.584,5320,130,237,180.943,27.711
G39,5320,28,255,192.197,50.888,5320,21,239,174.624,50.168,5320,21,245,177.523,52.036
G40,5320,46,255,180.706,47.182,5320,21,202,136.078,48.525,5320,21,242,151.321,62.759
G41,5320,89,210,157.991,23.897,5320,89,210,157.991,23.897,5320,110,243,198.150,24.229
G42,5320,74,255,214.361,29.273,5320,74,248,211.443,27.119,5320,80,255,227.228,22.636
G43,5320,0,180,36.451,45.935,5320,0,180,36.451,45.935,5320,96,255,221.960,25.846
G44,5320,0,215,104.624,47.678,5320,0,201,99.426,42.348,5320,52,255,169.683,54.709
G45,5320,5,230,82.936,27.180,5320,5,230,82.933,27.180,5320,42,255,189.176,60.021
G46,5320,71,236,139.924,27.816,5320,71,229,139.842,27.626,5320,131,255,231.156,28.200
