Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,163,255,241.004,16.979,5320,75,231,182.603,35.558,5320,75,231,182.603,35.558
G2,5320,78,255,223.898,44.066,5320,78,240,199.328,31.925,5320,87,241,202.124,27.922
G3,5320,76,255,212.192,57.441,5320,76,253,208.427,55.417,5320,126,254,227.844,27.396
G4,5320,116,255,218.486,23.556,5320,116,248,216.426,21.536,5320,192,255,242.656,9.722
G5,5320,62,215,162.667,28.497,5320,62,215,162.667,28.497,5320,95,255,223.477,23.499
G6,5320,0,254,76.004,63.194,5320,0,254,75.835,62.844,5320,60,255,192.465,39.157
G7,5320,56,252,164.033,52.427,5320,56,250,163.815,52.208,5320,65,255,185.269,47.563
G8,5320,43,216,122.613,36.177,5320,43,216,122.613,36.177,5320,72,255,193.244,56.218
G9,5320,58,164,132.073,13.717,5320,58,164,132.073,13.717,5320,101,255,233.209,24.855
G10,5320,47,172,119.463,23.316,5320,47,172,119.463,23.316,5320,85,255,201.795,34.401
G11,5320,27,254,135.804,60.256,5320,27,254,135.796,60.240,5320,111,255,226.232,32.567
G12,5320,156,252,219.413,18.053,5320,156,250,219.380,18.001,5320,201,255,243.052,12.473
G13,5320,63,230,163.930,39.403,5320,63,230,163.930,39.403,5320,94,255,205.562,30.808
G14,5320,50,255,181.305,61.418,5320,50,254,179.045,59.323,5320,81,255,207.550,41.955
G15,5320,36,244,160.512,45.380,5320,36,215,148.691,39.725,5320,67,235,165.801,35.376
G16,5320,19,243,168.588,63.587,5320,19,226,157.209,59.168,5320,31,237,186.399,41.403
G17,5320,41,250,147.734,69.098,5320,41,250,147.731,69.093,5320,126,255,217.136,29.588
G18,5320,90,255,203.121,35.221,5320,84,254,198.782,36.400,5320,84,255,202.969,36.708
G19,5320,136,255,240.872,21.500,5320,126,253,215.831,22.562,5320,126,254,216.796,23.596
G20,5320,172,255,250.522,10.116,5320,114,220,172.081,15.019,5320,114,220,172.081,15.019
G21,5320,0,255,194.921,65.510,5320,0,190,124.474,42.353,5320,30,194,129.622,35.934
G22,5320,8,255,209.195,45.257,5320,6,136,83.342,20.227,5320,22,160,83.626,20.093
G23,5320,93,255,216.499,38.508,5320,86,245,184.368,34.982,5320,86,248,184.832,35.143
G24,5320,0,255,171.411,60.929,5320,0,247,142.583,54.632,5320,0,255,152.168,53.536
G25,5320,103,246,214.495,27.538,5320,79,187,154.920,17.266,5320,79,187,154.920,17.266
G26,5320,98,251,179.792,27.298,5320,78,180,131.572,21.046,5320,78,180,131.572,21.046
G27,5320,88,255,179.473,41.270,5320,0,125,44.815,37.306,5320,0,125,44.815,37.306
G28,5320,58,255,203.005,48.622,5320,0,218,19.810,47.904,5320,0,228,20.185,49.261
G29,5320,123,255,225.995,25.598,5320,59,156,117.824,18.590,5320,59,156,117.824,18.590
G30,5320,137,255,225.871,27.358,5320,34,171,103.946,39.053,5320,34,171,103.946,39.053
G31,5320,96,255,211.512,30.293,5320,18,242,176.754,51.305,5320,18,242,176.754,51.305
G32,5320,94,255,221.192,35.428,5320,0,240,159.340,55.711,5320,0,240,159.340,55.711
G33,5320,76,255,201.307,49.597,5320,0,229,146.350,64.247,5320,0,229,146.577,64.422
G34,5320,194,254,226.698,11.565,5320,194,249,225.602,10.209,5320,214,255,250.967,7.282
G35,5320,188,255,231.297,15.795,5320,0,68,14.578,21.766,5320,0,68,14.578,21.766
G36,5320,38,255,216.413,35.341,5320,0,235,36.681,75.934,5320,0,235,36.681,75.934
G37,5320,95,255,229.740,22.437,5320,2,239,202.973,30.058,5320,2,239,202.973,30.058
G38,5320,126,255,226.359,24.080,5320,103,234,187.923,23.491,5320,103,234,187.923,23.491
G39,5320,31,255,168.299,53.543,5320,31,239,148.842,51.046,5320,43,255,154.288,54.725
G40,5320,32,241,171.301,44.972,5320,0,211,72.597,72.722,5320,0,220,72.854,73.185
G41,5320,78,239,188.033,31.257,5320,19,239,169.136,30.878,5320,19,255,179.771,33.428
G42,5320,65,255,221.161,31.627,5320,62,249,208.304,29.617,5320,63,255,211.481,30.004
G43,5320,42,192,89.764,28.760,5320,42,192,89.705,28.583,5320,148,255,217.503,27.421
G44,5320,60,231,157.931,33.710,5320,60,205,142.122,25.292,5320,61,248,175.621,33.744
G45,5320,21,195,114.630,41.534,5320,21,195,114.203,40.938,5320,42,255,203.585,52.877
G46,5320,0,254,82.591,55.617,5320,0,249,82.356,55.012,5320,129,255,233.469,27.010
